<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
01C,5,20210204,090000,8.48,8.48,8.48,8.48,60,0
01C,5,20210204,092000,8.46,8.46,8.46,8.46,100,0
01C,5,20210204,092500,8.25,8.25,8.23,8.23,1350,0
01C,5,20210204,093000,8.25,8.25,8.25,8.25,250,0
01C,5,20210204,094500,8.23,8.23,8.23,8.23,200,0
01C,5,20210204,102500,8.24,8.24,8.23,8.23,409,0
01C,5,20210204,103000,8.36,8.36,8.36,8.36,100,0
01C,5,20210204,104000,8.23,8.23,8.23,8.23,215,0
01C,5,20210204,112500,8.25,8.25,8.25,8.25,10,0
01C,5,20210204,115000,8.25,8.25,8.25,8.25,290,0
01C,5,20210204,115500,8.23,8.23,8.22,8.22,1185,0
01C,5,20210204,120000,8.21,8.21,8.15,8.15,2175,0
01C,5,20210204,120500,8.15,8.15,8.05,8.05,7617,0
01C,5,20210204,121000,8.06,8.06,8.02,8.02,2574,0
01C,5,20210204,121500,8.1,8.1,8.1,8.1,100,0
01C,5,20210204,123000,8.18,8.24,8.18,8.24,250,0
01C,5,20210204,123500,8.24,8.24,8.24,8.24,200,0
01C,5,20210204,124000,8.25,8.25,8.25,8.25,77,0
01C,5,20210204,124500,8.12,8.12,8.12,8.12,302,0
01C,5,20210204,125500,8.12,8.12,8.12,8.12,368,0
01C,5,20210204,130500,8.12,8.12,8.12,8.12,82,0
01C,5,20210204,132000,8.24,8.24,8.24,8.24,100,0
01C,5,20210204,132500,8.25,8.25,8.25,8.25,303,0
01C,5,20210204,135000,8.25,8.25,8.25,8.25,100,0
01C,5,20210204,141000,8.13,8.13,8.13,8.13,270,0
01C,5,20210204,143500,8.2,8.2,8.2,8.2,650,0
01C,5,20210204,145000,8.22,8.22,8.22,8.22,220,0
01C,5,20210204,151500,8.2,8.2,8.2,8.2,147,0
01C,5,20210204,152000,8.25,8.25,8.25,8.25,379,0
01C,5,20210204,153000,8.2,8.2,8.2,8.2,38,0
01C,5,20210204,154500,8.2,8.2,8.2,8.2,40,0
01C,5,20210204,160000,8.29,8.29,8.29,8.29,262,0
01C,5,20210204,162500,8.29,8.29,8.27,8.27,507,0
01C,5,20210204,164500,8.27,8.27,8.2,8.2,1100,0
01C,5,20210205,090500,8.2,8.2,8.2,8.2,240,0
01C,5,20210205,091000,8.2,8.2,8.2,8.2,200,0
01C,5,20210205,091500,8.2,8.2,8.2,8.2,45,0
01C,5,20210205,092000,8.3,8.3,8.15,8.15,782,0
01C,5,20210205,095000,8.2,8.2,8.2,8.2,188,0
01C,5,20210205,095500,8.2,8.2,8.2,8.2,732,0
01C,5,20210205,100000,8.28,8.28,8.28,8.28,180,0
01C,5,20210205,100500,8.19,8.19,8.18,8.18,230,0
01C,5,20210205,101500,8.19,8.19,8.19,8.19,38,0
