<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
4MS,5,20210204,090000,0.44,0.468,0.44,0.458,511604,0
4MS,5,20210204,090500,0.458,0.46,0.443,0.45,210476,0
4MS,5,20210204,091000,0.454,0.454,0.443,0.448,57110,0
4MS,5,20210204,091500,0.449,0.454,0.44,0.44,134383,0
4MS,5,20210204,092000,0.44,0.445,0.44,0.445,32533,0
4MS,5,20210204,092500,0.447,0.452,0.447,0.45,64628,0
4MS,5,20210204,093000,0.45,0.451,0.45,0.451,12226,0
4MS,5,20210204,093500,0.45,0.455,0.45,0.452,96628,0
4MS,5,20210204,094000,0.45,0.452,0.45,0.452,4400,0
4MS,5,20210204,094500,0.45,0.451,0.45,0.45,9629,0
4MS,5,20210204,095000,0.45,0.45,0.44,0.44,150910,0
4MS,5,20210204,095500,0.447,0.447,0.44,0.444,15751,0
4MS,5,20210204,100000,0.444,0.446,0.444,0.445,22640,0
4MS,5,20210204,100500,0.441,0.446,0.44,0.446,54778,0
4MS,5,20210204,101000,0.445,0.445,0.44,0.44,3000,0
4MS,5,20210204,101500,0.438,0.443,0.435,0.443,31112,0
4MS,5,20210204,102000,0.435,0.445,0.435,0.437,16834,0
4MS,5,20210204,102500,0.44,0.44,0.433,0.433,38000,0
4MS,5,20210204,103000,0.438,0.438,0.438,0.438,3117,0
4MS,5,20210204,103500,0.438,0.439,0.438,0.438,22431,0
4MS,5,20210204,104000,0.438,0.44,0.438,0.44,3777,0
4MS,5,20210204,104500,0.44,0.442,0.44,0.442,26493,0
4MS,5,20210204,105000,0.442,0.444,0.442,0.442,4585,0
4MS,5,20210204,105500,0.44,0.442,0.439,0.442,6700,0
4MS,5,20210204,110000,0.438,0.439,0.432,0.432,83626,0
4MS,5,20210204,110500,0.432,0.438,0.432,0.438,5966,0
4MS,5,20210204,111000,0.437,0.437,0.437,0.437,73,0
4MS,5,20210204,111500,0.437,0.437,0.437,0.437,2950,0
4MS,5,20210204,112000,0.437,0.438,0.434,0.434,7500,0
4MS,5,20210204,112500,0.434,0.438,0.434,0.438,13200,0
4MS,5,20210204,113000,0.434,0.434,0.431,0.431,23500,0
4MS,5,20210204,113500,0.435,0.438,0.435,0.437,20150,0
4MS,5,20210204,114000,0.437,0.437,0.431,0.431,20000,0
4MS,5,20210204,114500,0.437,0.437,0.432,0.432,4100,0
4MS,5,20210204,115000,0.432,0.432,0.43,0.43,75099,0
4MS,5,20210204,115500,0.435,0.435,0.43,0.43,27401,0
4MS,5,20210204,120000,0.434,0.434,0.434,0.434,400,0
4MS,5,20210204,120500,0.434,0.434,0.434,0.434,700,0
4MS,5,20210204,121500,0.434,0.435,0.43,0.435,4609,0
4MS,5,20210204,122000,0.431,0.434,0.43,0.43,10152,0
4MS,5,20210204,122500,0.43,0.434,0.43,0.43,6214,0
4MS,5,20210204,123000,0.43,0.434,0.43,0.434,8072,0
4MS,5,20210204,123500,0.429,0.429,0.429,0.429,256,0
4MS,5,20210204,124000,0.433,0.434,0.433,0.433,3600,0
4MS,5,20210204,124500,0.429,0.436,0.429,0.43,9992,0
4MS,5,20210204,125000,0.435,0.439,0.435,0.439,248,0
4MS,5,20210204,125500,0.431,0.431,0.431,0.431,7150,0
4MS,5,20210204,130000,0.43,0.437,0.429,0.429,34650,0
4MS,5,20210204,130500,0.43,0.43,0.429,0.429,4420,0
4MS,5,20210204,131000,0.43,0.434,0.43,0.434,300,0
4MS,5,20210204,131500,0.434,0.435,0.434,0.435,6000,0
4MS,5,20210204,132000,0.435,0.435,0.435,0.435,500,0
4MS,5,20210204,132500,0.43,0.43,0.43,0.43,500,0
4MS,5,20210204,133000,0.435,0.435,0.435,0.435,200,0
4MS,5,20210204,134500,0.43,0.435,0.43,0.435,16703,0
4MS,5,20210204,135000,0.435,0.435,0.435,0.435,2,0
4MS,5,20210204,135500,0.435,0.435,0.435,0.435,600,0
4MS,5,20210204,140000,0.43,0.43,0.429,0.429,1018,0
4MS,5,20210204,140500,0.43,0.43,0.429,0.429,2096,0
4MS,5,20210204,141000,0.43,0.43,0.43,0.43,300,0
4MS,5,20210204,142000,0.429,0.429,0.423,0.423,62082,0
4MS,5,20210204,142500,0.422,0.422,0.421,0.421,56300,0
4MS,5,20210204,143500,0.423,0.427,0.421,0.427,10751,0
4MS,5,20210204,150000,0.425,0.425,0.425,0.425,25000,0
4MS,5,20210204,150500,0.425,0.426,0.425,0.426,3376,0
4MS,5,20210204,151000,0.425,0.426,0.425,0.426,10100,0
4MS,5,20210204,151500,0.425,0.425,0.425,0.425,100,0
4MS,5,20210204,152000,0.427,0.43,0.427,0.43,9743,0
4MS,5,20210204,153000,0.43,0.43,0.43,0.43,132,0
4MS,5,20210204,153500,0.428,0.428,0.428,0.428,2000,0
4MS,5,20210204,154000,0.428,0.43,0.428,0.43,13166,0
4MS,5,20210204,154500,0.431,0.431,0.431,0.431,3150,0
4MS,5,20210204,155000,0.428,0.428,0.428,0.428,625,0
4MS,5,20210204,155500,0.429,0.429,0.429,0.429,4685,0
4MS,5,20210204,160000,0.43,0.43,0.43,0.43,1,0
4MS,5,20210204,160500,0.429,0.429,0.429,0.429,10640,0
4MS,5,20210204,161000,0.429,0.429,0.429,0.429,4800,0
4MS,5,20210204,161500,0.43,0.43,0.43,0.43,100,0
4MS,5,20210204,162500,0.429,0.429,0.42,0.42,131931,0
4MS,5,20210204,163000,0.425,0.425,0.418,0.418,12981,0
4MS,5,20210204,163500,0.417,0.417,0.41,0.417,91137,0
4MS,5,20210204,164000,0.417,0.425,0.417,0.425,50000,0
4MS,5,20210204,164500,0.423,0.424,0.423,0.424,23579,0
4MS,5,20210205,090000,0.426,0.426,0.424,0.424,22930,0
4MS,5,20210205,090500,0.424,0.431,0.424,0.431,2138,0
4MS,5,20210205,091000,0.43,0.43,0.42,0.42,11000,0
4MS,5,20210205,091500,0.428,0.428,0.428,0.428,6007,0
4MS,5,20210205,092000,0.428,0.428,0.424,0.424,11395,0
4MS,5,20210205,092500,0.424,0.424,0.419,0.419,20000,0
4MS,5,20210205,093500,0.427,0.427,0.42,0.425,26273,0
4MS,5,20210205,094500,0.42,0.42,0.416,0.416,2549,0
4MS,5,20210205,095500,0.418,0.418,0.414,0.414,17310,0
4MS,5,20210205,100000,0.416,0.426,0.416,0.426,10963,0
4MS,5,20210205,102000,0.42,0.42,0.42,0.42,6500,0
4MS,5,20210205,102500,0.42,0.42,0.42,0.42,12199,0
4MS,5,20210205,103000,0.42,0.426,0.42,0.426,150,0
4MS,5,20210205,103500,0.42,0.42,0.419,0.419,5000,0
4MS,5,20210205,104000,0.426,0.426,0.42,0.426,554,0
4MS,5,20210205,104500,0.42,0.425,0.414,0.425,13900,0
4MS,5,20210205,105000,0.415,0.423,0.415,0.415,5754,0
4MS,5,20210205,105500,0.416,0.416,0.412,0.412,52219,0
4MS,5,20210205,110000,0.421,0.421,0.421,0.421,2500,0
4MS,5,20210205,110500,0.42,0.42,0.42,0.42,30,0
4MS,5,20210205,111500,0.416,0.416,0.416,0.416,5084,0
4MS,5,20210205,112000,0.416,0.416,0.413,0.413,31008,0
4MS,5,20210205,112500,0.419,0.419,0.419,0.419,2000,0
4MS,5,20210205,114500,0.415,0.415,0.415,0.415,4500,0
4MS,5,20210205,115000,0.418,0.419,0.418,0.419,6253,0
4MS,5,20210205,120500,0.419,0.419,0.419,0.419,2395,0
4MS,5,20210205,121000,0.42,0.42,0.42,0.42,2000,0
4MS,5,20210205,121500,0.42,0.42,0.42,0.42,2000,0
4MS,5,20210205,122500,0.42,0.42,0.42,0.42,1400,0
4MS,5,20210205,124000,0.42,0.423,0.42,0.423,15000,0
4MS,5,20210205,125000,0.42,0.42,0.42,0.42,3000,0
4MS,5,20210205,125500,0.423,0.423,0.423,0.423,605,0
4MS,5,20210205,132000,0.418,0.418,0.418,0.418,564,0
4MS,5,20210205,133500,0.423,0.423,0.423,0.423,2,0
4MS,5,20210205,134000,0.423,0.423,0.423,0.423,726,0
4MS,5,20210205,135000,0.424,0.424,0.424,0.424,15000,0
4MS,5,20210205,135500,0.424,0.424,0.424,0.424,1,0
4MS,5,20210205,140000,0.427,0.427,0.425,0.425,10858,0
4MS,5,20210205,140500,0.424,0.424,0.423,0.423,15356,0
4MS,5,20210205,141500,0.423,0.423,0.423,0.423,2498,0
4MS,5,20210205,142500,0.424,0.428,0.424,0.428,7476,0
4MS,5,20210205,143000,0.424,0.424,0.42,0.42,10000,0
4MS,5,20210205,144000,0.42,0.42,0.418,0.418,4263,0
4MS,5,20210205,145500,0.419,0.424,0.419,0.424,2640,0
4MS,5,20210205,150000,0.424,0.424,0.424,0.424,1169,0
4MS,5,20210205,150500,0.424,0.426,0.424,0.426,14923,0
4MS,5,20210205,151000,0.429,0.446,0.429,0.444,166551,0
4MS,5,20210205,151500,0.446,0.448,0.44,0.445,31666,0
4MS,5,20210205,152000,0.44,0.442,0.44,0.442,42471,0
4MS,5,20210205,152500,0.44,0.44,0.433,0.434,5287,0
