<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
7LV,5,20210204,090000,37.8,37.8,37.8,37.8,2,0
7LV,5,20210205,090000,37.6,37.6,37.6,37.6,2,0
7LV,5,20210208,090000,32.2,32.2,32.2,32.2,2,0
7LV,5,20210208,095000,37.4,37.4,37.4,37.4,1,0
7LV,5,20210208,111000,35,35,35,35,1,0
7LV,5,20210208,131500,35,35,35,35,20,0
7LV,5,20210209,090000,37.6,37.6,37.6,37.6,2,0
7LV,5,20210209,093000,33.8,33.8,32,32,204,0
7LV,5,20210209,113500,33.8,33.8,33.8,33.8,50,0
7LV,5,20210209,145500,33,33,33,33,31,0
7LV,5,20210209,150000,32.4,32.4,32.4,32.4,49,0
7LV,5,20210209,163500,32.6,32.6,32.6,32.6,50,0
7LV,5,20210210,090000,32.2,32.2,32.2,32.2,5,0
7LV,5,20210210,092000,32.2,32.2,31.4,31.4,90,0
7LV,5,20210210,092500,33.4,33.4,33.4,33.4,30,0
7LV,5,20210210,093000,33.4,33.4,33.4,33.4,37,0
7LV,5,20210210,160000,33.4,33.4,33.4,33.4,25,0
7LV,5,20210210,164500,33.4,33.4,33,33,172,0
7LV,5,20210211,090000,33,33,33,33,2,0
7LV,5,20210211,092000,33,33,33,33,1,0
7LV,5,20210211,125500,33.2,33.2,33.2,33.2,31,0
7LV,5,20210211,135500,33,33,33,33,5,0
7LV,5,20210211,140000,36.2,36.2,36.2,36.2,16,0
7LV,5,20210211,162000,34,34,34,34,100,0
7LV,5,20210212,161500,34,34,34,34,2,0
7LV,5,20210212,162000,33.8,33.8,33.8,33.8,2,0
7LV,5,20210215,090000,33.8,33.8,33.8,33.8,11,0
7LV,5,20210215,122000,31.8,31.8,31.8,31.8,26,0
7LV,5,20210215,150500,33,33,33,33,71,0
7LV,5,20210216,090000,33.8,33.8,33.8,33.8,2,0
7LV,5,20210216,094000,33,33,33,33,30,0
7LV,5,20210216,103000,31.8,31.8,31.8,31.8,31,0
7LV,5,20210216,132500,31.8,31.8,31.8,31.8,39,0
7LV,5,20210216,141500,31.8,31.8,31.8,31.8,11,0
7LV,5,20210217,090000,33.8,33.8,33.8,33.8,2,0
7LV,5,20210217,095000,33,33,33,33,47,0
7LV,5,20210218,090000,33.2,33.2,33.2,33.2,2,0
7LV,5,20210218,093000,33.4,33.4,33.4,33.4,15,0
7LV,5,20210218,094000,33.2,33.2,33.2,33.2,31,0
7LV,5,20210218,152500,33.2,33.2,33.2,33.2,21,0
7LV,5,20210219,090000,36,36,36,36,102,0
7LV,5,20210219,094500,35,35,35,35,50,0
7LV,5,20210219,102000,34.2,34.2,34.2,34.2,15,0
7LV,5,20210222,090000,34.2,34.2,34.2,34.2,2,0
7LV,5,20210222,143500,31,31,29,29,100,0
7LV,5,20210222,145500,30.6,30.6,30.6,30.6,4,0
7LV,5,20210222,150500,30.6,30.6,30.6,30.6,7,0
7LV,5,20210222,151500,30.6,30.6,30.6,30.6,20,0
7LV,5,20210222,152000,31.2,31.2,31.2,31.2,8,0
7LV,5,20210222,153500,31.2,31.4,31.2,31.4,40,0
7LV,5,20210222,160500,31,31,31,31,11,0
7LV,5,20210223,090000,34.2,34.2,34.2,34.2,2,0
7LV,5,20210223,141000,32,32,32,32,5,0
7LV,5,20210224,090000,34.4,34.4,34.4,34.4,5,0
7LV,5,20210224,094000,32.4,32.4,32.4,32.4,31,0
7LV,5,20210224,135500,32.4,32.4,32.4,32.4,152,0
7LV,5,20210224,155500,34,34,34,34,10,0
7LV,5,20210224,164000,34,34.4,34,34.4,18,0
7LV,5,20210225,090000,34.2,34.2,34.2,34.2,10,0
7LV,5,20210226,090000,34,34,34,34,2,0
7LV,5,20210226,110500,32.6,34,32.6,34,95,0
7LV,5,20210226,163500,32,32,32,32,15,0
7LV,5,20210301,090000,33,33,33,33,2,0
7LV,5,20210301,094500,32.4,33,32.4,33,66,0
7LV,5,20210301,101000,33,33,33,33,5,0
7LV,5,20210301,140500,32.8,32.8,32.8,32.8,2,0
7LV,5,20210301,164000,32.2,32.2,32.2,32.2,28,0
7LV,5,20210302,090000,32.2,32.2,29.4,29.4,46,0
7LV,5,20210302,103000,31.8,31.8,31.8,31.8,13,0
7LV,5,20210302,113000,31.8,32.2,31.8,32.2,45,0
7LV,5,20210302,141500,31.2,31.2,31.2,31.2,18,0
7LV,5,20210302,143000,33,33,33,33,60,0
7LV,5,20210302,154500,33,33,33,33,15,0
7LV,5,20210302,164500,33.8,33.8,33.8,33.8,27,0
7LV,5,20210303,090000,33.8,33.8,33.8,33.8,2,0
7LV,5,20210303,100500,30.6,30.6,28,28,291,0
7LV,5,20210303,101000,27.4,27.4,27.4,27.4,31,0
7LV,5,20210303,101500,30.8,32.8,30.8,32.8,40,0
7LV,5,20210303,121000,30.2,30.2,30.2,30.2,33,0
7LV,5,20210303,121500,30,30,30,30,10,0
7LV,5,20210303,122500,30,30.8,30,30.8,58,0
7LV,5,20210303,134500,30.8,30.8,30.2,30.2,40,0
7LV,5,20210303,144500,30.2,30.2,30.2,30.2,15,0
7LV,5,20210303,145500,30.2,30.2,30.2,30.2,50,0
7LV,5,20210303,151000,30.2,30.2,30.2,30.2,36,0
7LV,5,20210304,090000,31.8,31.8,31.8,31.8,2,0
7LV,5,20210304,095500,29,29,29,29,50,0
7LV,5,20210304,101000,29,29,29,29,20,0
7LV,5,20210304,110000,30,30,30,30,31,0
7LV,5,20210304,130500,30.8,30.8,30.8,30.8,13,0
7LV,5,20210305,090000,30.8,30.8,30.8,30.8,63,0
7LV,5,20210305,091000,31.4,31.4,31.4,31.4,3,0
7LV,5,20210305,105500,29,29,29,29,20,0
7LV,5,20210305,162500,31,31.2,31,31.2,52,0
7LV,5,20210308,090000,31.2,31.2,31.2,31.2,2,0
7LV,5,20210309,090000,31.2,31.2,31.2,31.2,2,0
7LV,5,20210309,152500,28.8,28.8,28.8,28.8,30,0
7LV,5,20210309,160000,29.8,29.8,29.8,29.8,30,0
7LV,5,20210309,164500,30,30,30,30,50,0
7LV,5,20210310,090000,29,30.6,29,30.6,28,0
7LV,5,20210310,091500,30.6,30.6,30.6,30.6,24,0
7LV,5,20210310,102500,30.6,30.6,30.6,30.6,28,0
7LV,5,20210310,115000,29,29,28.6,28.6,75,0
7LV,5,20210310,164500,28.8,28.8,28.8,28.8,5,0
7LV,5,20210311,090000,30.6,30.6,30.6,30.6,2,0
7LV,5,20210312,090000,30.2,30.2,30.2,30.2,2,0
7LV,5,20210312,103500,30.2,30.2,30.2,30.2,18,0
7LV,5,20210312,104000,30.4,30.4,30.4,30.4,8,0
7LV,5,20210312,111000,30.4,30.4,30.4,30.4,7,0
7LV,5,20210312,140000,30,30,30,30,52,0
7LV,5,20210315,090000,30.6,30.6,30.6,30.6,2,0
7LV,5,20210315,091500,29.8,29.8,29.8,29.8,19,0
7LV,5,20210315,093000,30.6,30.6,30.6,30.6,18,0
7LV,5,20210315,113000,31,31.2,31,31.2,70,0
7LV,5,20210315,162500,30,30,30,30,5,0
7LV,5,20210315,163000,30,31.2,30,31.2,80,0
7LV,5,20210316,090000,31.4,31.4,31.4,31.4,2,0
7LV,5,20210316,091000,31,31,31,31,100,0
7LV,5,20210317,090000,31.4,31.4,31.4,31.4,2,0
7LV,5,20210317,092000,31.4,31.4,31.4,31.4,14,0
7LV,5,20210317,101000,31,31,31,31,100,0
7LV,5,20210317,162000,31,31,31,31,40,0
7LV,5,20210318,090000,33,33,33,33,2,0
7LV,5,20210318,092000,31.8,31.8,31.8,31.8,9,0
7LV,5,20210319,090000,32.8,32.8,32.8,32.8,2,0
7LV,5,20210319,092500,30.2,30.2,30.2,30.2,25,0
7LV,5,20210319,125000,31.8,31.8,31.8,31.8,6,0
7LV,5,20210322,090000,32,32,32,32,2,0
7LV,5,20210322,091500,30,30,30,30,83,0
7LV,5,20210322,092500,30,30,30,30,100,0
7LV,5,20210322,093000,30,30,30,30,50,0
7LV,5,20210322,130000,30,30,30,30,191,0
7LV,5,20210323,090000,31.8,31.8,31.8,31.8,2,0
7LV,5,20210323,101500,31.2,31.6,31.2,31.6,50,0
7LV,5,20210323,140000,29.8,29.8,29.8,29.8,10,0
7LV,5,20210324,090000,32.8,32.8,32.8,32.8,2,0
7LV,5,20210324,124000,32,32,32,32,60,0
7LV,5,20210324,125000,32,32,32,32,2,0
7LV,5,20210324,164000,32,32,32,32,52,0
7LV,5,20210325,090000,31.6,31.6,29.8,29.8,36,0
7LV,5,20210325,094000,29.8,29.8,29.8,29.8,18,0
7LV,5,20210325,130000,29.8,29.8,29,29,39,0
7LV,5,20210326,090000,31.2,31.2,31.2,31.2,32,0
