<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ABK,5,20210204,132000,2.1,2.1,2.1,2.1,1000,0
ABK,5,20210204,150500,2.1,2.1,2.1,2.1,1000,0
ABK,5,20210204,163000,2.2,2.2,2.2,2.2,1000,0
ABK,5,20210204,163500,2.3,2.3,2.3,2.3,1000,0
ABK,5,20210205,093000,2.4,2.4,2.4,2.4,500,0
ABK,5,20210205,102000,2.3,2.3,2.3,2.3,1000,0
ABK,5,20210205,115500,2.4,2.4,2.4,2.4,1000,0
ABK,5,20210205,121000,2.5,2.5,2.5,2.5,1000,0
ABK,5,20210205,141000,2.5,2.5,2.5,2.5,1000,0
ABK,5,20210208,093500,2.6,2.6,2.6,2.6,100,0
ABK,5,20210209,090000,2.6,2.6,2.6,2.6,840,0
ABK,5,20210210,110500,2.5,2.5,2.5,2.5,70,0
ABK,5,20210212,102500,2.6,3.12,2.6,3.12,1005,0
ABK,5,20210212,103000,3.12,3.12,3.12,3.12,195,0
ABK,5,20210212,103500,3.7,3.7,3.7,3.7,5,0
ABK,5,20210212,111000,2.7,2.7,2.7,2.7,500,0
ABK,5,20210212,111500,2.7,2.7,2.7,2.7,500,0
ABK,5,20210212,113000,2.82,2.82,2.82,2.82,1000,0
ABK,5,20210212,114500,2.92,2.92,2.5,2.5,1055,0
ABK,5,20210212,134000,2.7,2.7,2.7,2.7,1,0
ABK,5,20210212,135000,2.82,2.82,2.82,2.82,181,0
ABK,5,20210212,135500,2.7,2.7,2.7,2.7,999,0
ABK,5,20210212,140000,2.5,2.5,2.5,2.5,631,0
ABK,5,20210215,112500,2.62,2.62,2.62,2.62,1000,0
ABK,5,20210215,113000,2.7,2.7,2.7,2.7,1000,0
ABK,5,20210215,114000,2.7,2.7,2.7,2.7,1000,0
ABK,5,20210215,124000,2.7,2.7,2.7,2.7,371,0
ABK,5,20210215,133000,2.6,2.6,2.6,2.6,1504,0
ABK,5,20210215,133500,2.5,2.5,2.5,2.5,553,0
ABK,5,20210215,140500,2.6,2.6,2.6,2.6,1000,0
ABK,5,20210215,141000,2.24,2.24,2.24,2.24,56,0
ABK,5,20210215,153500,2.6,2.6,2.6,2.6,1000,0
ABK,5,20210216,103000,2.5,2.5,2.5,2.5,100,0
ABK,5,20210217,090000,2.6,2.7,2.6,2.7,1371,0
ABK,5,20210217,102500,2.68,2.7,2.68,2.7,1000,0
ABK,5,20210217,103500,2.7,2.7,2.7,2.7,200,0
ABK,5,20210217,104000,2.7,2.7,2.7,2.7,1000,0
ABK,5,20210217,111000,2.7,2.7,2.6,2.6,1448,0
ABK,5,20210217,131000,2.7,2.7,2.7,2.7,599,0
ABK,5,20210218,095000,2.7,2.7,2.7,2.7,1060,0
ABK,5,20210218,100500,2.8,2.8,2.8,2.8,791,0
ABK,5,20210218,125000,2.8,2.8,2.8,2.8,50,0
ABK,5,20210219,134500,2.68,2.68,2.68,2.68,500,0
ABK,5,20210222,135500,2.8,2.8,2.8,2.8,106,0
ABK,5,20210225,090000,2.8,2.88,2.8,2.88,1296,0
ABK,5,20210225,090500,2.9,2.9,2.9,2.9,4,0
ABK,5,20210225,102500,2.9,2.9,2.9,2.9,996,0
ABK,5,20210225,104500,2.9,2.9,2.9,2.9,400,0
ABK,5,20210225,113500,2.9,2.98,2.9,2.98,1005,0
ABK,5,20210225,141000,2.86,2.86,2.86,2.86,495,0
ABK,5,20210225,141500,2.86,2.86,2.86,2.86,305,0
ABK,5,20210225,145000,2.96,2.96,2.96,2.96,500,0
ABK,5,20210225,150500,2.96,3,2.96,3,3595,0
ABK,5,20210225,152000,3.1,3.1,3.1,3.1,1000,0
ABK,5,20210225,153500,3.22,3.22,3.22,3.22,100,0
ABK,5,20210225,155500,3.34,3.34,3.34,3.34,400,0
ABK,5,20210225,162000,3.44,3.9,3.44,3.9,810,0
ABK,5,20210225,163500,3.4,3.4,3.4,3.4,700,0
