<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ACA,5,20210204,093500,0.44,0.44,0.44,0.44,780,0
ACA,5,20210204,144500,0.43,0.43,0.412,0.412,12259,0
ACA,5,20210204,160500,0.412,0.412,0.412,0.412,1631,0
ACA,5,20210205,090000,0.406,0.406,0.406,0.406,4826,0
ACA,5,20210205,092000,0.41,0.41,0.41,0.41,780,0
ACA,5,20210205,123000,0.424,0.424,0.424,0.424,1706,0
ACA,5,20210205,124500,0.424,0.424,0.424,0.424,4626,0
ACA,5,20210205,130000,0.424,0.424,0.424,0.424,200,0
ACA,5,20210205,131000,0.426,0.426,0.426,0.426,500,0
ACA,5,20210205,134500,0.436,0.436,0.436,0.436,250,0
ACA,5,20210205,150500,0.434,0.434,0.434,0.434,1607,0
ACA,5,20210205,154500,0.434,0.434,0.43,0.43,3809,0
ACA,5,20210205,164500,0.436,0.44,0.436,0.44,19800,0
ACA,5,20210208,090000,0.444,0.452,0.444,0.452,2000,0
ACA,5,20210208,090500,0.452,0.452,0.452,0.452,12425,0
ACA,5,20210208,091000,0.452,0.452,0.452,0.452,2323,0
ACA,5,20210208,091500,0.452,0.458,0.452,0.458,2252,0
ACA,5,20210208,093500,0.44,0.44,0.44,0.44,5050,0
ACA,5,20210208,095500,0.458,0.458,0.458,0.458,100,0
ACA,5,20210208,100000,0.458,0.47,0.458,0.47,2450,0
ACA,5,20210208,105000,0.442,0.442,0.442,0.442,1000,0
ACA,5,20210208,144000,0.442,0.442,0.442,0.442,1500,0
ACA,5,20210208,164000,0.464,0.468,0.464,0.468,6444,0
ACA,5,20210208,164500,0.468,0.468,0.46,0.46,29656,0
ACA,5,20210209,090000,0.468,0.468,0.468,0.468,2400,0
ACA,5,20210209,091000,0.468,0.47,0.468,0.47,8129,0
ACA,5,20210209,095000,0.47,0.47,0.47,0.47,1871,0
ACA,5,20210209,095500,0.47,0.47,0.47,0.47,10000,0
ACA,5,20210209,101000,0.47,0.48,0.47,0.48,43755,0
ACA,5,20210209,101500,0.484,0.49,0.484,0.49,4499,0
ACA,5,20210209,103000,0.48,0.48,0.48,0.48,6161,0
ACA,5,20210209,103500,0.478,0.478,0.478,0.478,4166,0
ACA,5,20210209,104500,0.478,0.478,0.478,0.478,9834,0
ACA,5,20210209,111500,0.486,0.486,0.486,0.486,150,0
ACA,5,20210209,113500,0.486,0.486,0.486,0.486,5016,0
ACA,5,20210209,115000,0.476,0.476,0.476,0.476,931,0
ACA,5,20210209,121500,0.476,0.476,0.476,0.476,1000,0
ACA,5,20210209,125500,0.486,0.49,0.474,0.474,41827,0
