<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ACK,5,20210204,090500,15.4,16.1,15.4,16.1,73,0
ACK,5,20210204,091000,16.1,16.1,16.1,16.1,65,0
ACK,5,20210204,092000,16.2,16.2,16.2,16.2,10,0
ACK,5,20210204,140500,16.2,16.2,16.2,16.2,10,0
ACK,5,20210204,160500,15.4,15.4,14,14,300,0
ACK,5,20210204,161000,13,14,13,14,1338,0
ACK,5,20210204,161500,14.4,14.4,13,13,3135,0
ACK,5,20210204,162000,13.1,13.1,13,13,1300,0
ACK,5,20210204,162500,13,13.8,13,13.8,610,0
ACK,5,20210204,163000,13.8,13.8,13.8,13.8,85,0
ACK,5,20210204,163500,13.8,13.8,12.4,12.4,920,0
ACK,5,20210204,164000,12.6,13,12.4,12.4,1217,0
ACK,5,20210204,164500,12.4,12.9,12.4,12.9,410,0
ACK,5,20210205,090000,13.4,13.4,13.4,13.4,62,0
ACK,5,20210205,091000,13.4,15.2,13.4,15.2,125,0
ACK,5,20210205,092000,14.5,15.2,14.5,15.2,171,0
ACK,5,20210205,092500,15.2,15.2,14.2,15.2,140,0
ACK,5,20210205,093000,14.2,14.2,14.2,14.2,71,0
ACK,5,20210205,093500,15,15,15,15,10,0
ACK,5,20210205,094000,15,15.1,15,15,239,0
ACK,5,20210205,094500,15.1,15.1,14.4,14.4,1077,0
ACK,5,20210205,095000,14.4,15,14.4,15,252,0
ACK,5,20210205,100000,14.4,14.4,14.2,14.2,123,0
ACK,5,20210205,102500,13.6,13.6,13.3,13.3,454,0
ACK,5,20210205,103500,13.2,13.2,13.2,13.2,2,0
ACK,5,20210205,104000,13.3,13.3,13.3,13.3,110,0
ACK,5,20210205,105000,13.2,13.3,13.2,13.3,108,0
ACK,5,20210205,111500,13.3,13.3,13.3,13.3,370,0
ACK,5,20210205,112000,13.6,13.6,13.6,13.6,131,0
