<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ACR,5,20210204,091500,2.42,2.42,2.42,2.42,1544,0
ACR,5,20210204,094500,2.18,2.56,2.06,2.56,1951,0
ACR,5,20210204,101500,2.2,2.3,2.1,2.3,2647,0
ACR,5,20210204,102000,2.12,2.12,2.12,2.12,1359,0
ACR,5,20210204,103500,2.12,2.12,2.1,2.1,2149,0
ACR,5,20210204,104000,2.08,2.08,2.08,2.08,850,0
ACR,5,20210204,104500,2.06,2.16,2.06,2.16,4600,0
ACR,5,20210204,111000,2.14,2.14,2.14,2.14,1000,0
ACR,5,20210204,114000,2.14,2.14,2.14,2.14,559,0
ACR,5,20210204,114500,2.14,2.14,2.14,2.14,941,0
ACR,5,20210204,121000,2.16,2.16,2.16,2.16,400,0
ACR,5,20210204,122500,2.16,2.16,2.16,2.16,7,0
ACR,5,20210204,124500,2.16,2.16,2.16,2.16,700,0
ACR,5,20210204,125500,2.16,2.16,2.16,2.16,424,0
ACR,5,20210204,132000,2.16,2.16,2.14,2.14,500,0
ACR,5,20210204,145500,2.14,2.14,2.14,2.14,985,0
ACR,5,20210205,094000,2.2,2.2,2.2,2.2,9,0
ACR,5,20210205,094500,2.14,2.14,2.14,2.14,490,0
ACR,5,20210205,112000,2.18,2.18,2.18,2.18,50,0
ACR,5,20210205,120000,2.1,2.1,2.1,2.1,875,0
ACR,5,20210205,121500,2.1,2.1,2.1,2.1,125,0
ACR,5,20210205,125500,2.06,2.06,2.06,2.06,1,0
ACR,5,20210205,150000,2.14,2.14,2.14,2.14,100,0
ACR,5,20210205,160000,2.14,2.16,2.14,2.16,200,0
ACR,5,20210205,162500,2.16,2.16,2.14,2.14,818,0
ACR,5,20210208,112500,2.12,2.12,2.1,2.1,547,0
ACR,5,20210208,121000,2.12,2.12,2.1,2.1,5300,0
ACR,5,20210208,124500,2.16,2.16,2.16,2.16,12,0
ACR,5,20210208,125000,2.1,2.1,2.08,2.08,109,0
