<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ADX,5,20210208,111000,1.16,1.16,1.15,1.15,1500,0
ADX,5,20210208,133500,1.17,1.17,1.15,1.15,1100,0
ADX,5,20210208,145500,1.17,1.17,1.17,1.17,1937,0
ADX,5,20210209,101500,1.17,1.17,1.17,1.17,30,0
ADX,5,20210209,144500,1.19,1.2,1.19,1.2,2100,0
ADX,5,20210209,145000,1.24,1.25,1.24,1.25,1530,0
ADX,5,20210209,152000,1.25,1.25,1.25,1.25,1727,0
ADX,5,20210209,161000,1.25,1.25,1.25,1.25,500,0
ADX,5,20210210,130500,1.24,1.24,1.2,1.2,20000,0
ADX,5,20210211,115000,1.25,1.25,1.25,1.25,20,0
ADX,5,20210211,151500,1.25,1.25,1.21,1.21,500,0
ADX,5,20210212,151500,1.24,1.24,1.24,1.24,100,0
ADX,5,20210215,104500,1.26,1.26,1.26,1.26,10,0
ADX,5,20210216,112500,1.26,1.26,1.26,1.26,10,0
ADX,5,20210216,141000,1.22,1.22,1.2,1.2,2000,0
ADX,5,20210216,141500,1.2,1.2,1.2,1.2,1727,0
ADX,5,20210216,164500,1.2,1.2,1.2,1.2,1473,0
ADX,5,20210219,090000,1.23,1.23,1.23,1.23,100,0
ADX,5,20210219,090500,1.24,1.25,1.24,1.25,5004,0
ADX,5,20210219,091000,1.25,1.25,1.25,1.25,1000,0
ADX,5,20210219,092000,1.25,1.26,1.25,1.26,2900,0
ADX,5,20210219,092500,1.27,1.27,1.27,1.27,1939,0
ADX,5,20210219,093000,1.29,1.29,1.27,1.27,750,0
ADX,5,20210219,095500,1.29,1.33,1.29,1.33,1161,0
ADX,5,20210219,100000,1.32,1.32,1.32,1.32,2039,0
ADX,5,20210219,104500,1.34,1.34,1.33,1.33,5735,0
ADX,5,20210219,121500,1.33,1.33,1.33,1.33,265,0
ADX,5,20210219,135500,1.33,1.33,1.3,1.3,1235,0
ADX,5,20210219,163500,1.32,1.32,1.32,1.32,765,0
ADX,5,20210219,164000,1.33,1.34,1.33,1.34,3235,0
ADX,5,20210222,104000,1.34,1.34,1.34,1.34,20,0
ADX,5,20210222,110000,1.3,1.3,1.3,1.3,20,0
ADX,5,20210222,110500,1.27,1.27,1.27,1.27,800,0
ADX,5,20210222,113500,1.3,1.3,1.3,1.3,1780,0
ADX,5,20210222,115000,1.3,1.3,1.3,1.3,6735,0
ADX,5,20210222,120000,1.3,1.3,1.3,1.3,1400,0
ADX,5,20210222,150000,1.3,1.3,1.3,1.3,485,0
ADX,5,20210222,160500,1.24,1.24,1.24,1.24,850,0
