<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AER,5,20210204,110500,0.285,0.285,0.285,0.285,600,0
AER,5,20210205,110000,0.285,0.285,0.285,0.285,40,0
AER,5,20210210,110000,0.25,0.25,0.25,0.25,200,0
AER,5,20210210,150000,0.25,0.25,0.25,0.25,1000,0
AER,5,20210211,110000,0.25,0.25,0.25,0.25,600,0
AER,5,20210215,150000,0.1901,0.1901,0.1901,0.1901,1000,0
AER,5,20210216,110000,0.25,0.25,0.25,0.25,2000,0
AER,5,20210216,111000,0.25,0.25,0.25,0.25,594,0
AER,5,20210216,150000,0.29,0.29,0.29,0.29,1500,0
AER,5,20210216,150500,0.29,0.29,0.29,0.29,33,0
AER,5,20210304,110000,0.27,0.27,0.27,0.27,50,0
AER,5,20210304,111500,0.27,0.27,0.27,0.27,800,0
AER,5,20210304,150000,0.27,0.27,0.27,0.27,644,0
AER,5,20210305,110000,0.213,0.213,0.213,0.213,356,0
AER,5,20210305,150000,0.27,0.27,0.27,0.27,3572,0
AER,5,20210308,110000,0.27,0.27,0.27,0.27,1933,0
AER,5,20210308,150000,0.2701,0.2701,0.2701,0.2701,500,0
AER,5,20210309,150000,0.282,0.282,0.282,0.282,2200,0
AER,5,20210310,110000,0.282,0.282,0.282,0.282,50,0
AER,5,20210310,150000,0.29,0.29,0.29,0.29,800,0
AER,5,20210311,110000,0.2999,0.2999,0.2999,0.2999,150,0
AER,5,20210311,112000,0.2999,0.2999,0.2999,0.2999,30,0
AER,5,20210311,150000,0.25,0.25,0.25,0.25,100,0
AER,5,20210312,110000,0.298,0.298,0.298,0.298,140,0
AER,5,20210315,110000,0.28,0.28,0.28,0.28,170,0
AER,5,20210315,150000,0.25,0.25,0.25,0.25,200,0
AER,5,20210315,150500,0.25,0.25,0.25,0.25,800,0
AER,5,20210316,110000,0.28,0.28,0.28,0.28,200,0
AER,5,20210316,150000,0.28,0.28,0.28,0.28,380,0
AER,5,20210316,152500,0.28,0.28,0.28,0.28,1000,0
AER,5,20210317,110000,0.298,0.298,0.298,0.298,160,0
AER,5,20210317,150000,0.298,0.298,0.298,0.298,2500,0
AER,5,20210319,110000,0.298,0.298,0.298,0.298,50,0
AER,5,20210322,110000,0.289,0.289,0.289,0.289,100,0
AER,5,20210322,150000,0.25,0.25,0.25,0.25,12500,0
AER,5,20210322,152000,0.25,0.25,0.25,0.25,2000,0
AER,5,20210323,110000,0.289,0.289,0.289,0.289,200,0
AER,5,20210324,110000,0.25,0.25,0.25,0.25,105,0
AER,5,20210324,110500,0.25,0.25,0.25,0.25,1500,0
AER,5,20210324,112500,0.25,0.25,0.25,0.25,100,0
AER,5,20210325,110000,0.25,0.25,0.25,0.25,1000,0
AER,5,20210326,110000,0.25,0.25,0.25,0.25,40,0
