<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AGL,5,20210204,090000,59,59,59,59,9,0
AGL,5,20210204,092500,59.3,59.3,59.3,59.3,30,0
AGL,5,20210204,095000,59.3,59.3,59.3,59.3,5,0
AGL,5,20210204,103500,57.23,57.23,57.23,57.23,35,0
AGL,5,20210204,104000,58.23,58.23,58.23,58.23,23,0
AGL,5,20210204,111000,58.6,58.6,57.47,57.47,100,0
AGL,5,20210204,123500,57.5,57.5,57.5,57.5,100,0
AGL,5,20210204,134000,58.9,58.9,58.9,58.9,18,0
AGL,5,20210204,134500,58.9,59.1,58.9,59.1,17,0
AGL,5,20210204,135000,59.1,59.1,59.1,59.1,21,0
AGL,5,20210204,135500,59.1,59.29,59.1,59.29,137,0
AGL,5,20210204,140000,59.29,59.3,59.29,59.3,49,0
AGL,5,20210204,145000,58.1,58.1,58,58,150,0
AGL,5,20210204,152500,58,58,57.8,57.8,100,0
AGL,5,20210204,161000,57.8,57.8,57.8,57.8,50,0
AGL,5,20210204,164000,57.8,57.8,57.6,57.6,185,0
AGL,5,20210204,164500,57.6,57.6,57.6,57.6,5,0
AGL,5,20210205,092000,57.6,57.6,57.6,57.6,6,0
AGL,5,20210205,092500,58.64,58.64,58.64,58.64,9,0
AGL,5,20210205,100000,58.6,58.6,58.6,58.6,18,0
AGL,5,20210205,100500,58.6,58.6,58.6,58.6,36,0
AGL,5,20210205,101000,58,58,58,58,50,0
AGL,5,20210205,101500,58.64,58.64,57.5,57.5,147,0
AGL,5,20210205,102500,56.71,57,56.7,56.7,28,0
AGL,5,20210205,103000,56.7,56.7,56.7,56.7,9,0
AGL,5,20210205,111500,57,57,57,57,60,0
AGL,5,20210205,112000,58,58,58,58,60,0
AGL,5,20210205,113000,58.5,58.5,58.5,58.5,10,0
AGL,5,20210205,114000,58.5,58.5,58,58,30,0
AGL,5,20210205,121000,58.64,58.64,58.64,58.64,57,0
AGL,5,20210205,125000,58.1,58.1,58,58,74,0
AGL,5,20210205,130500,57.6,59.4,57.6,59.4,76,0
AGL,5,20210205,161000,59.39,59.39,59.39,59.39,27,0
AGL,5,20210208,090000,59.39,59.39,59.39,59.39,35,0
AGL,5,20210208,090500,59.39,59.39,59.39,59.39,21,0
AGL,5,20210208,091000,59.39,59.41,59.39,59.41,32,0
AGL,5,20210208,092000,59.41,59.42,59.41,59.42,200,0
AGL,5,20210208,092500,59.42,59.42,59.42,59.42,55,0
AGL,5,20210208,093000,60,60.2,60,60.2,135,0
AGL,5,20210208,093500,61,61,61,61,43,0
AGL,5,20210208,100000,61,61,61,61,85,0
AGL,5,20210208,100500,61,61,61,61,22,0
AGL,5,20210208,101000,61.09,61.09,61.09,61.09,15,0
AGL,5,20210208,101500,61.73,61.74,61.73,61.74,55,0
AGL,5,20210208,102000,61.99,61.99,61.99,61.99,29,0
AGL,5,20210208,102500,60.01,60.01,60,60,151,0
AGL,5,20210208,103000,60.01,63.98,60.01,63.98,257,0
AGL,5,20210208,104000,63,64,63,64,160,0
AGL,5,20210208,105500,60.3,60.3,60,60,200,0
AGL,5,20210208,110000,61.99,62,61.99,62,24,0
AGL,5,20210208,112000,62,62,62,62,36,0
AGL,5,20210208,130000,60.6,60.6,60,60,50,0
AGL,5,20210208,164500,62.5,62.5,62.5,62.5,5,0
AGL,5,20210209,090000,63.87,63.87,63.87,63.87,53,0
AGL,5,20210209,091000,62.5,62.5,61,61,200,0
AGL,5,20210209,101000,63.36,63.4,63.36,63.4,100,0
AGL,5,20210209,102000,61,61,60.28,60.28,200,0
AGL,5,20210209,105000,62.67,62.67,62.67,62.67,35,0
AGL,5,20210209,113000,60.4,60.4,60,60,250,0
AGL,5,20210209,164500,60.2,60.2,60.2,60.2,20,0
AGL,5,20210210,100000,60.2,60.2,60.2,60.2,2,0
AGL,5,20210210,100500,60.2,60.2,60.2,60.2,145,0
AGL,5,20210210,101000,60.2,60.2,60.2,60.2,3,0
AGL,5,20210210,111000,60.2,60.2,59.5,59.5,200,0
AGL,5,20210210,112500,60.1,60.1,60.1,60.1,17,0
AGL,5,20210210,113000,60.1,60.2,60.1,60.2,66,0
AGL,5,20210210,122500,60.2,60.2,60.2,60.2,85,0
