<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AIN,5,20210204,090500,2.24,2.24,2.24,2.24,250,0
AIN,5,20210204,102500,2.22,2.22,2.22,2.22,200,0
AIN,5,20210204,103000,2.2,2.22,2.2,2.22,1010,0
AIN,5,20210204,122000,2.22,2.22,2.22,2.22,450,0
AIN,5,20210204,131000,2.2,2.2,2.2,2.2,150,0
AIN,5,20210204,132000,2.18,2.18,2.18,2.18,200,0
AIN,5,20210204,134000,2.14,2.14,2.08,2.08,6103,0
AIN,5,20210204,140000,2.18,2.18,2.18,2.18,130,0
AIN,5,20210204,143000,2.1,2.1,2.1,2.1,1111,0
AIN,5,20210204,150500,2.1,2.1,2.08,2.08,737,0
AIN,5,20210204,153000,2.1,2.1,2.08,2.08,3071,0
AIN,5,20210204,153500,2.08,2.08,2.08,2.08,29,0
AIN,5,20210204,161000,2.1,2.14,2.1,2.14,700,0
AIN,5,20210204,164000,2.08,2.08,2.08,2.08,471,0
AIN,5,20210204,164500,2.12,2.12,2.12,2.12,2309,0
AIN,5,20210205,090000,2.04,2.14,2,2.14,13050,0
AIN,5,20210205,091500,2.14,2.18,2.14,2.18,1400,0
AIN,5,20210205,093000,2.02,2.02,2,2,11400,0
AIN,5,20210205,094000,2,2,2,2,10000,0
AIN,5,20210205,095000,1.99,1.99,1.99,1.99,150,0
AIN,5,20210205,100500,1.99,2,1.99,2,1750,0
AIN,5,20210205,101000,2,2.08,2,2.08,2550,0
AIN,5,20210205,104000,2.04,2.04,2.04,2.04,50,0
AIN,5,20210205,105500,2.02,2.02,1.99,1.99,1342,0
AIN,5,20210205,110000,1.99,2.08,1.99,2.08,1078,0
AIN,5,20210205,120000,2.08,2.1,2.08,2.1,425,0
AIN,5,20210205,150000,2.02,2.02,2,2,16000,0
AIN,5,20210205,150500,2,2.1,2,2.1,325,0
AIN,5,20210205,162500,1.99,1.99,1.99,1.99,2048,0
AIN,5,20210205,163500,2,2,2,2,1571,0
AIN,5,20210205,164000,2,2,2,2,957,0
AIN,5,20210205,164500,2,2.08,2,2.08,4994,0
AIN,5,20210208,090000,2.1,2.1,2.08,2.08,8301,0
AIN,5,20210208,092000,2.02,2.02,2.02,2.02,961,0
AIN,5,20210208,095000,2.04,2.08,2,2.08,2100,0
AIN,5,20210208,110000,2.06,2.08,2.04,2.08,2200,0
AIN,5,20210208,122000,2.04,2.04,2.04,2.04,957,0
AIN,5,20210208,122500,2.04,2.06,2,2.06,1300,0
AIN,5,20210208,125000,2,2,2,2,6600,0
AIN,5,20210208,130500,2,2,2,2,500,0
AIN,5,20210208,131000,2,2,2,2,81,0
AIN,5,20210208,133500,2,2,2,2,3419,0
AIN,5,20210208,134000,2,2,2,2,107,0
AIN,5,20210208,134500,2,2,2,2,9900,0
AIN,5,20210208,135000,2,2,2,2,5980,0
AIN,5,20210208,150000,2,2,2,2,2900,0
AIN,5,20210208,151000,2,2,2,2,500,0
AIN,5,20210208,151500,2.04,2.04,1.9,1.9,34570,0
AIN,5,20210208,153500,1.9,1.9,1.9,1.9,34,0
AIN,5,20210208,154500,1.9,1.9,1.9,1.9,3566,0
AIN,5,20210208,155000,1.9,1.9,1.9,1.9,1500,0
AIN,5,20210208,155500,1.9,1.9,1.85,1.85,97520,0
AIN,5,20210208,161500,1.89,1.89,1.89,1.89,200,0
AIN,5,20210208,162000,1.9,1.94,1.9,1.94,1000,0
AIN,5,20210208,162500,1.95,1.97,1.95,1.97,538,0
AIN,5,20210208,163000,1.97,2,1.97,2,1150,0
AIN,5,20210208,163500,2,2.02,2,2.02,915,0
AIN,5,20210208,164000,2.04,2.04,2.02,2.02,500,0
AIN,5,20210209,090000,2.06,2.06,2.06,2.06,2200,0
AIN,5,20210209,093500,1.96,1.96,1.96,1.96,1275,0
AIN,5,20210209,094500,1.98,1.98,1.98,1.98,2870,0
AIN,5,20210209,095000,1.98,1.98,1.96,1.96,5215,0
AIN,5,20210209,101000,1.96,1.96,1.96,1.96,578,0
AIN,5,20210209,102000,1.94,1.96,1.94,1.96,1000,0
AIN,5,20210209,103500,1.93,1.93,1.93,1.93,500,0
AIN,5,20210209,105000,1.92,1.92,1.82,1.82,10660,0
AIN,5,20210209,105500,1.84,1.84,1.84,1.84,500,0
AIN,5,20210209,110000,1.82,1.93,1.8,1.85,11495,0
AIN,5,20210209,110500,1.85,2,1.85,2,1050,0
AIN,5,20210209,111000,1.84,1.99,1.8,1.99,13820,0
AIN,5,20210209,111500,1.8,1.8,1.8,1.8,1259,0
AIN,5,20210209,112000,1.8,1.8,1.8,1.8,1200,0
AIN,5,20210209,112500,1.8,1.8,1.8,1.8,27541,0
AIN,5,20210209,113000,1.81,1.9,1.8,1.8,64550,0
AIN,5,20210209,114000,1.85,1.85,1.85,1.85,500,0
AIN,5,20210209,121500,1.88,1.88,1.88,1.88,200,0
AIN,5,20210209,124000,1.89,1.9,1.89,1.9,3459,0
AIN,5,20210209,124500,1.9,1.9,1.9,1.9,1150,0
AIN,5,20210209,140000,1.88,1.88,1.88,1.88,2000,0
AIN,5,20210209,140500,1.88,1.9,1.85,1.9,1860,0
AIN,5,20210209,141000,1.85,1.85,1.8,1.8,25628,0
AIN,5,20210209,143500,1.84,1.84,1.84,1.84,600,0
AIN,5,20210209,144500,1.8,1.8,1.79,1.79,5267,0
AIN,5,20210209,150000,1.77,1.79,1.77,1.79,233,0
AIN,5,20210209,150500,1.76,1.76,1.76,1.76,599,0
AIN,5,20210209,152000,1.8,1.8,1.8,1.8,560,0
AIN,5,20210209,153000,1.8,1.8,1.8,1.8,660,0
AIN,5,20210209,153500,1.8,1.8,1.8,1.8,1500,0
AIN,5,20210209,154500,1.8,1.8,1.8,1.8,3500,0
AIN,5,20210209,155500,1.8,1.8,1.8,1.8,2279,0
AIN,5,20210209,160000,1.8,1.8,1.8,1.8,1648,0
AIN,5,20210209,161000,1.8,1.8,1.8,1.8,474,0
AIN,5,20210209,162000,1.8,1.8,1.8,1.8,1006,0
AIN,5,20210209,162500,1.79,1.79,1.79,1.79,1800,0
AIN,5,20210209,163500,1.79,1.85,1.79,1.85,1557,0
AIN,5,20210209,164000,1.85,1.85,1.85,1.85,170,0
AIN,5,20210209,164500,1.8,1.8,1.8,1.8,2088,0
AIN,5,20210210,090000,1.76,1.85,1.76,1.85,2410,0
AIN,5,20210210,091000,1.85,1.85,1.85,1.85,172,0
AIN,5,20210210,091500,1.85,1.85,1.85,1.85,500,0
AIN,5,20210210,092000,1.84,1.86,1.84,1.86,3000,0
AIN,5,20210210,092500,1.86,1.88,1.86,1.86,3710,0
AIN,5,20210210,093000,1.88,1.9,1.88,1.9,2315,0
AIN,5,20210210,094500,1.89,1.89,1.89,1.89,600,0
AIN,5,20210210,095000,1.89,1.89,1.89,1.89,2000,0
AIN,5,20210210,102500,1.87,1.87,1.87,1.87,200,0
AIN,5,20210210,103500,1.89,1.89,1.89,1.89,1100,0
AIN,5,20210210,104000,1.9,1.9,1.89,1.9,670,0
AIN,5,20210210,104500,1.9,1.9,1.9,1.9,500,0
AIN,5,20210210,111000,1.9,1.9,1.9,1.9,1200,0
AIN,5,20210210,112500,1.9,1.9,1.9,1.9,150,0
AIN,5,20210210,113500,1.9,1.9,1.9,1.9,1387,0
AIN,5,20210210,114000,1.9,1.93,1.9,1.93,2100,0
AIN,5,20210210,123500,1.9,1.9,1.9,1.9,1575,0
AIN,5,20210210,124000,1.93,1.93,1.93,1.93,10,0
AIN,5,20210210,125500,1.9,1.9,1.89,1.89,897,0
AIN,5,20210210,130000,1.92,1.92,1.91,1.91,695,0
AIN,5,20210210,130500,1.89,1.89,1.86,1.86,4337,0
AIN,5,20210210,135000,1.85,1.87,1.8,1.87,8579,0
AIN,5,20210210,150000,1.85,1.85,1.85,1.85,500,0
AIN,5,20210210,150500,1.85,1.85,1.85,1.85,2730,0
AIN,5,20210210,153500,1.85,1.87,1.85,1.87,738,0
AIN,5,20210210,154500,1.87,1.9,1.87,1.9,725,0
AIN,5,20210210,163000,1.81,1.81,1.8,1.8,3000,0
AIN,5,20210210,164500,1.79,1.84,1.78,1.84,2025,0
AIN,5,20210211,090000,1.84,1.84,1.84,1.84,1150,0
AIN,5,20210211,090500,1.84,1.89,1.84,1.89,1230,0
AIN,5,20210211,093000,1.89,1.89,1.89,1.89,158,0
AIN,5,20210211,093500,1.89,1.9,1.89,1.9,525,0
AIN,5,20210211,094500,1.88,1.88,1.88,1.88,800,0
AIN,5,20210211,095500,1.88,1.9,1.88,1.9,180,0
AIN,5,20210211,104000,1.9,1.9,1.9,1.9,350,0
AIN,5,20210211,111500,1.85,1.88,1.83,1.88,1580,0
AIN,5,20210211,115500,1.83,1.83,1.82,1.82,219,0
AIN,5,20210211,120000,1.82,1.9,1.82,1.9,1575,0
AIN,5,20210211,120500,1.88,1.91,1.88,1.91,3885,0
AIN,5,20210211,121000,1.82,1.91,1.82,1.91,525,0
AIN,5,20210211,131000,1.82,1.82,1.8,1.8,5000,0
AIN,5,20210211,132500,1.89,1.89,1.89,1.89,25,0
AIN,5,20210211,152000,1.88,1.96,1.88,1.96,6705,0
AIN,5,20210211,152500,1.95,1.97,1.95,1.97,5100,0
AIN,5,20210211,153500,1.87,1.87,1.87,1.87,1602,0
AIN,5,20210211,154000,1.9,1.9,1.9,1.9,75,0
AIN,5,20210211,155000,1.89,1.89,1.89,1.89,584,0
AIN,5,20210212,090000,1.9,1.92,1.9,1.92,1105,0
AIN,5,20210212,090500,1.9,1.9,1.9,1.9,500,0
AIN,5,20210212,091000,1.92,1.93,1.92,1.93,1175,0
AIN,5,20210212,091500,1.93,1.93,1.93,1.93,3495,0
AIN,5,20210212,092500,1.94,1.95,1.94,1.95,1985,0
AIN,5,20210212,093000,1.96,1.97,1.96,1.97,950,0
AIN,5,20210212,095000,1.97,1.98,1.97,1.98,3533,0
AIN,5,20210212,095500,1.98,1.98,1.98,1.98,1500,0
AIN,5,20210212,100000,1.98,1.98,1.98,1.98,1050,0
AIN,5,20210212,101000,1.98,1.98,1.98,1.98,380,0
AIN,5,20210212,102000,1.99,1.99,1.98,1.98,940,0
AIN,5,20210212,102500,1.98,1.98,1.98,1.98,880,0
AIN,5,20210212,103000,2,2,2,2,600,0
AIN,5,20210212,103500,2,2.02,2,2.02,1000,0
AIN,5,20210212,104500,2.02,2.02,2.02,2.02,350,0
AIN,5,20210212,105500,2.02,2.02,2.02,2.02,1972,0
AIN,5,20210212,110000,2.02,2.12,2.02,2.12,10392,0
AIN,5,20210212,110500,2.12,2.12,2.12,2.12,150,0
AIN,5,20210212,111500,2.1,2.1,2.1,2.1,500,0
AIN,5,20210212,115000,2.1,2.14,2.1,2.14,10766,0
AIN,5,20210212,115500,2.16,2.16,2.16,2.16,20,0
AIN,5,20210212,120000,2.14,2.14,2.14,2.14,280,0
AIN,5,20210212,120500,2.14,2.16,2.02,2.02,2331,0
AIN,5,20210212,121000,2.12,2.16,2.12,2.16,110,0
AIN,5,20210212,121500,2.14,2.28,2.14,2.28,45354,0
AIN,5,20210212,122000,2.2,2.26,2.2,2.24,4060,0
AIN,5,20210212,122500,2.26,2.26,2.26,2.26,20,0
AIN,5,20210212,123000,2.26,2.26,2.26,2.26,800,0
AIN,5,20210212,123500,2.22,2.22,2.22,2.22,1000,0
AIN,5,20210212,130500,2.18,2.18,2.18,2.18,3043,0
AIN,5,20210212,131000,2.18,2.18,2.18,2.18,500,0
AIN,5,20210212,133000,2.16,2.18,2.1,2.1,3250,0
AIN,5,20210212,134000,2.1,2.18,2.1,2.18,1900,0
AIN,5,20210212,135000,2.1,2.18,2.1,2.18,1100,0
AIN,5,20210212,140000,2.1,2.18,2.1,2.18,800,0
AIN,5,20210212,141000,2.08,2.14,2.08,2.14,1050,0
AIN,5,20210212,142000,2.14,2.16,2.14,2.16,2000,0
AIN,5,20210212,142500,2.08,2.08,2.08,2.08,315,0
AIN,5,20210212,143500,2.08,2.16,2.06,2.16,4911,0
AIN,5,20210212,150000,2.16,2.18,2.16,2.18,5000,0
AIN,5,20210212,150500,2.18,2.22,2.18,2.22,150,0
