<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AIT,5,20210204,090000,0.755,0.78,0.755,0.78,44889,0
AIT,5,20210204,090500,0.77,0.78,0.77,0.78,10603,0
AIT,5,20210204,091000,0.78,0.78,0.78,0.78,1000,0
AIT,5,20210204,091500,0.78,0.78,0.78,0.78,1000,0
AIT,5,20210204,093000,0.77,0.77,0.77,0.77,500,0
AIT,5,20210204,093500,0.77,0.77,0.77,0.77,897,0
AIT,5,20210204,101000,0.77,0.77,0.77,0.77,200,0
AIT,5,20210204,103500,0.745,0.745,0.74,0.74,13937,0
AIT,5,20210204,104000,0.74,0.74,0.74,0.74,14356,0
AIT,5,20210204,112500,0.76,0.76,0.76,0.76,1000,0
AIT,5,20210204,115000,0.77,0.77,0.77,0.77,633,0
AIT,5,20210204,164000,0.76,0.76,0.76,0.76,480,0
AIT,5,20210204,164500,0.76,0.76,0.76,0.76,644,0
AIT,5,20210205,091000,0.75,0.75,0.74,0.74,5000,0
AIT,5,20210205,092000,0.735,0.735,0.73,0.73,5000,0
AIT,5,20210205,100000,0.73,0.73,0.73,0.73,2468,0
AIT,5,20210205,103500,0.76,0.76,0.76,0.76,500,0
AIT,5,20210205,152000,0.76,0.76,0.76,0.76,300,0
AIT,5,20210205,152500,0.76,0.765,0.76,0.765,500,0
AIT,5,20210205,163500,0.74,0.74,0.72,0.72,4368,0
AIT,5,20210205,164000,0.745,0.745,0.745,0.745,100,0
AIT,5,20210205,164500,0.755,0.755,0.755,0.755,1200,0
AIT,5,20210208,091500,0.76,0.765,0.76,0.765,500,0
AIT,5,20210208,102500,0.765,0.77,0.765,0.77,4000,0
AIT,5,20210208,115500,0.77,0.77,0.77,0.77,200,0
AIT,5,20210208,132000,0.765,0.765,0.765,0.765,130,0
AIT,5,20210208,133000,0.765,0.765,0.765,0.765,1100,0
AIT,5,20210208,134500,0.76,0.76,0.76,0.76,7,0
AIT,5,20210208,140000,0.76,0.76,0.76,0.76,190,0
AIT,5,20210208,151000,0.745,0.745,0.745,0.745,303,0
AIT,5,20210208,151500,0.745,0.745,0.745,0.745,250,0
AIT,5,20210208,154000,0.75,0.75,0.75,0.75,747,0
AIT,5,20210208,160000,0.75,0.75,0.75,0.75,300,0
AIT,5,20210209,091500,0.76,0.765,0.76,0.765,1000,0
AIT,5,20210209,092500,0.765,0.765,0.765,0.765,1000,0
AIT,5,20210209,093500,0.765,0.775,0.765,0.775,500,0
AIT,5,20210209,095000,0.75,0.75,0.75,0.75,155,0
AIT,5,20210209,100500,0.75,0.75,0.75,0.75,945,0
AIT,5,20210209,123500,0.76,0.76,0.76,0.76,200,0
AIT,5,20210209,151000,0.765,0.78,0.765,0.78,6500,0
AIT,5,20210209,151500,0.74,0.78,0.73,0.77,106200,0
AIT,5,20210209,152000,0.74,0.775,0.73,0.765,66657,0
AIT,5,20210209,152500,0.77,0.77,0.74,0.765,38800,0
AIT,5,20210209,153000,0.765,0.77,0.73,0.765,49820,0
AIT,5,20210209,153500,0.76,0.775,0.735,0.77,50680,0
AIT,5,20210209,154000,0.77,0.77,0.76,0.76,4000,0
AIT,5,20210209,154500,0.76,0.76,0.76,0.76,9890,0
AIT,5,20210209,155000,0.77,0.77,0.77,0.77,1500,0
AIT,5,20210209,155500,0.77,0.775,0.77,0.775,3000,0
AIT,5,20210209,160000,0.75,0.78,0.745,0.745,6000,0
AIT,5,20210209,160500,0.77,0.775,0.77,0.775,1000,0
AIT,5,20210209,161500,0.78,0.785,0.78,0.785,4853,0
AIT,5,20210209,162000,0.785,0.79,0.785,0.79,16200,0
AIT,5,20210209,162500,0.79,0.82,0.79,0.82,26173,0
AIT,5,20210209,163000,0.82,0.825,0.8,0.825,7778,0
AIT,5,20210209,163500,0.79,0.835,0.79,0.82,26590,0
AIT,5,20210209,164000,0.805,0.81,0.805,0.81,1500,0
AIT,5,20210209,164500,0.81,0.81,0.81,0.81,9130,0
AIT,5,20210210,090000,0.805,0.805,0.8,0.8,2000,0
AIT,5,20210210,090500,0.815,0.835,0.815,0.815,18722,0
AIT,5,20210210,091000,0.835,0.88,0.835,0.88,41927,0
AIT,5,20210210,091500,0.875,0.88,0.825,0.825,32987,0
AIT,5,20210210,092000,0.855,0.855,0.85,0.85,18070,0
AIT,5,20210210,092500,0.85,0.86,0.85,0.86,8224,0
AIT,5,20210210,093000,0.84,0.865,0.84,0.865,7939,0
AIT,5,20210210,093500,0.84,0.85,0.82,0.85,25904,0
AIT,5,20210210,094000,0.845,0.85,0.845,0.85,1500,0
AIT,5,20210210,094500,0.85,0.85,0.85,0.85,500,0
AIT,5,20210210,095000,0.85,0.85,0.85,0.85,2000,0
AIT,5,20210210,095500,0.845,0.845,0.845,0.845,2000,0
AIT,5,20210210,101000,0.845,0.845,0.845,0.845,767,0
AIT,5,20210210,105500,0.84,0.84,0.84,0.84,2500,0
AIT,5,20210210,110000,0.84,0.84,0.835,0.835,4000,0
AIT,5,20210210,110500,0.83,0.83,0.82,0.82,16392,0
AIT,5,20210210,111000,0.84,0.845,0.81,0.81,8397,0
AIT,5,20210210,112500,0.81,0.81,0.805,0.805,3000,0
AIT,5,20210210,113000,0.805,0.805,0.8,0.8,6000,0
AIT,5,20210210,114000,0.8,0.8,0.8,0.8,4000,0
AIT,5,20210210,115500,0.825,0.83,0.825,0.83,3542,0
AIT,5,20210210,120000,0.825,0.825,0.825,0.825,2419,0
AIT,5,20210210,121000,0.825,0.825,0.825,0.825,1219,0
AIT,5,20210210,130000,0.805,0.805,0.805,0.805,3172,0
AIT,5,20210210,131500,0.815,0.825,0.815,0.825,1000,0
AIT,5,20210210,135000,0.825,0.83,0.825,0.83,1000,0
AIT,5,20210210,143000,0.83,0.83,0.83,0.83,1400,0
AIT,5,20210210,143500,0.83,0.835,0.83,0.835,5000,0
AIT,5,20210210,145000,0.835,0.85,0.835,0.85,21481,0
AIT,5,20210210,145500,0.855,0.87,0.855,0.87,7400,0
AIT,5,20210210,150000,0.87,0.91,0.87,0.91,53864,0
AIT,5,20210210,150500,0.905,0.905,0.895,0.895,7261,0
AIT,5,20210210,151000,0.89,0.89,0.87,0.87,9077,0
AIT,5,20210210,151500,0.88,0.88,0.86,0.86,7700,0
AIT,5,20210210,152000,0.88,0.88,0.88,0.88,2000,0
AIT,5,20210210,152500,0.89,0.9,0.89,0.9,12051,0
AIT,5,20210210,153000,0.89,0.89,0.89,0.89,2389,0
AIT,5,20210210,153500,0.9,0.9,0.9,0.9,1200,0
AIT,5,20210210,154000,0.9,0.9,0.9,0.9,3000,0
AIT,5,20210210,154500,0.9,0.9,0.9,0.9,3000,0
AIT,5,20210210,155000,0.9,0.91,0.9,0.91,5268,0
AIT,5,20210210,155500,0.9,0.9,0.88,0.88,2851,0
AIT,5,20210210,160500,0.91,0.91,0.91,0.91,1249,0
AIT,5,20210210,161000,0.91,0.92,0.91,0.92,2025,0
AIT,5,20210210,161500,0.92,0.92,0.92,0.92,3000,0
AIT,5,20210210,162000,0.91,0.91,0.9,0.9,3293,0
AIT,5,20210210,162500,0.9,0.93,0.9,0.93,16344,0
AIT,5,20210210,163000,0.93,0.94,0.93,0.94,20608,0
AIT,5,20210210,163500,0.91,0.94,0.91,0.94,4007,0
AIT,5,20210210,164500,0.93,0.93,0.93,0.93,1500,0
AIT,5,20210211,090000,0.9,0.93,0.885,0.9,63563,0
AIT,5,20210211,090500,0.925,0.93,0.925,0.93,5564,0
AIT,5,20210211,091000,0.93,0.93,0.93,0.93,500,0
AIT,5,20210211,091500,0.95,0.95,0.95,0.95,2000,0
AIT,5,20210211,092000,0.96,0.965,0.96,0.965,1813,0
AIT,5,20210211,092500,0.965,0.965,0.955,0.955,4000,0
AIT,5,20210211,093000,0.96,0.96,0.96,0.96,3250,0
AIT,5,20210211,093500,0.955,0.955,0.955,0.955,5472,0
AIT,5,20210211,094000,0.96,0.96,0.93,0.93,4960,0
AIT,5,20210211,094500,0.91,0.95,0.91,0.95,17860,0
AIT,5,20210211,095000,0.94,0.94,0.94,0.94,900,0
AIT,5,20210211,101500,0.91,0.91,0.9,0.9,4730,0
AIT,5,20210211,104500,0.9,0.92,0.895,0.92,3772,0
AIT,5,20210211,105500,0.89,0.89,0.885,0.885,6419,0
AIT,5,20210211,112500,0.9,0.9,0.9,0.9,1300,0
AIT,5,20210211,114000,0.885,0.885,0.885,0.885,2750,0
AIT,5,20210211,114500,0.88,0.9,0.865,0.9,9316,0
AIT,5,20210211,115000,0.87,0.87,0.86,0.87,20937,0
AIT,5,20210211,115500,0.87,0.87,0.87,0.87,1000,0
AIT,5,20210211,120000,0.88,0.9,0.88,0.9,4517,0
AIT,5,20210211,120500,0.9,0.9,0.9,0.9,695,0
AIT,5,20210211,124000,0.885,0.885,0.885,0.885,500,0
AIT,5,20210211,125500,0.9,0.9,0.9,0.9,5000,0
AIT,5,20210211,131000,0.88,0.88,0.88,0.88,5000,0
AIT,5,20210211,135000,0.88,0.88,0.88,0.88,2500,0
AIT,5,20210211,140000,0.9,0.9,0.9,0.9,7777,0
AIT,5,20210211,141500,0.88,0.88,0.88,0.88,1200,0
AIT,5,20210211,144000,0.88,0.9,0.88,0.9,1500,0
AIT,5,20210211,144500,0.9,0.92,0.9,0.92,9226,0
AIT,5,20210211,145000,0.915,0.92,0.915,0.92,7837,0
AIT,5,20210211,150000,0.92,0.92,0.92,0.92,3014,0
AIT,5,20210211,151000,0.92,0.92,0.885,0.885,2271,0
AIT,5,20210211,151500,0.92,0.92,0.92,0.92,1900,0
AIT,5,20210211,154000,0.92,0.92,0.92,0.92,100,0
AIT,5,20210211,160500,0.92,0.925,0.92,0.925,215,0
AIT,5,20210211,161000,0.92,0.92,0.92,0.92,3100,0
AIT,5,20210211,161500,0.915,0.915,0.915,0.915,1000,0
AIT,5,20210211,162000,0.915,0.915,0.89,0.89,3185,0
AIT,5,20210211,164000,0.89,0.92,0.89,0.92,7090,0
AIT,5,20210212,090000,0.92,0.92,0.92,0.92,200,0
AIT,5,20210212,094500,0.9,0.9,0.89,0.89,1313,0
AIT,5,20210212,095000,0.89,0.89,0.89,0.89,787,0
AIT,5,20210212,095500,0.89,0.89,0.89,0.89,47,0
AIT,5,20210212,101000,0.89,0.89,0.89,0.89,2000,0
AIT,5,20210212,104000,0.89,0.89,0.88,0.88,2000,0
