<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ALD,5,20210204,133500,17.9,17.9,17.9,17.9,3,0
ALD,5,20210205,090000,17.8,17.9,17.8,17.9,47,0
ALD,5,20210205,105000,17.9,17.9,17.9,17.9,49,0
ALD,5,20210205,105500,18,18,18,18,237,0
ALD,5,20210205,121000,18.2,18.2,18.2,18.2,5,0
ALD,5,20210205,141000,17.2,17.2,17.2,17.2,100,0
ALD,5,20210208,090000,15,15,15,15,10,0
ALD,5,20210208,101000,15,17.6,15,17.6,100,0
ALD,5,20210208,110000,14.4,14.4,14.4,14.4,69,0
ALD,5,20210208,112000,14.4,14.4,14.4,14.4,19,0
ALD,5,20210208,112500,14.2,14.2,14.2,14.2,6,0
ALD,5,20210208,113000,17,17,17,17,1,0
ALD,5,20210208,162000,17.6,17.6,17.6,17.6,5,0
ALD,5,20210208,164000,17.6,17.6,17.6,17.6,20,0
ALD,5,20210208,164500,17.5,17.5,17.5,17.5,20,0
ALD,5,20210209,090000,17.6,17.6,17.6,17.6,95,0
ALD,5,20210209,090500,17.8,17.8,17.8,17.8,5,0
ALD,5,20210209,091000,17.8,17.8,17.8,17.8,24,0
ALD,5,20210209,110000,15.1,15.1,15.1,15.1,5,0
ALD,5,20210209,110500,15.1,15.1,15.1,15.1,15,0
ALD,5,20210209,112500,17.4,17.4,17.4,17.4,1,0
ALD,5,20210209,115000,15.1,15.1,15.1,15.1,100,0
ALD,5,20210209,115500,17,17,17,17,2,0
ALD,5,20210209,120500,15.1,15.1,15.1,15.1,74,0
ALD,5,20210209,131000,15.1,15.1,15.1,15.1,80,0
ALD,5,20210209,140000,15.3,15.3,15.3,15.3,122,0
ALD,5,20210209,152500,16,16,16,16,9,0
ALD,5,20210209,162500,15.2,16,15.2,16,2,0
ALD,5,20210209,164000,15.2,15.2,15.2,15.2,2,0
ALD,5,20210209,164500,16,16,16,16,14,0
ALD,5,20210210,143500,14.3,14.3,14.3,14.3,439,0
ALD,5,20210210,145000,14.3,14.3,14.3,14.3,47,0
ALD,5,20210210,151000,14.3,14.3,14.3,14.3,3,0
ALD,5,20210210,161000,14.2,14.2,14.2,14.2,5,0
ALD,5,20210210,164500,16.6,16.6,16.6,16.6,51,0
ALD,5,20210211,090000,17,17,17,17,71,0
ALD,5,20210211,091000,14.3,14.3,14.2,14.2,71,0
ALD,5,20210211,091500,14.2,14.2,14.2,14.2,50,0
ALD,5,20210211,092500,14.2,14.2,14.2,14.2,5,0
ALD,5,20210211,105500,14.2,14.2,14.2,14.2,236,0
ALD,5,20210211,123500,15.1,16.3,15.1,16.3,16,0
ALD,5,20210211,124000,15.1,15.1,15.1,15.1,9,0
ALD,5,20210211,124500,15.1,15.1,15.1,15.1,24,0
ALD,5,20210211,131000,15.1,15.1,15.1,15.1,26,0
ALD,5,20210211,131500,16.4,16.4,16.4,16.4,10,0
ALD,5,20210211,132500,16.2,16.2,16.2,16.2,8,0
ALD,5,20210212,115000,15.5,15.5,15.5,15.5,58,0
ALD,5,20210215,105000,14.6,14.6,14.6,14.6,1,0
ALD,5,20210215,120500,14.6,14.6,14.6,14.6,19,0
ALD,5,20210215,123000,14.2,14.2,14,14,157,0
ALD,5,20210215,130500,13.2,13.2,13,13,40,0
ALD,5,20210215,131000,14,14,14,14,10,0
ALD,5,20210215,133500,14,15.5,14,15.5,353,0
ALD,5,20210215,134000,16.2,16.2,16.2,16.2,35,0
ALD,5,20210215,141000,16.2,16.8,16.2,16.8,146,0
ALD,5,20210215,152500,16.8,17,16.8,17,70,0
ALD,5,20210216,104000,15,15,15,15,100,0
ALD,5,20210216,114500,14.1,14.1,14.1,14.1,41,0
ALD,5,20210216,124500,14.1,14.1,14.1,14.1,159,0
ALD,5,20210216,141500,14.3,14.3,14.3,14.3,100,0
ALD,5,20210216,142500,14.7,14.7,14.7,14.7,20,0
ALD,5,20210216,143000,14.3,14.3,14.2,14.2,233,0
ALD,5,20210216,163000,14.7,14.7,14.7,14.7,1,0
ALD,5,20210217,164500,16,16,16,16,105,0
ALD,5,20210218,102500,16,16,16,16,68,0
ALD,5,20210218,125000,16,16,16,16,58,0
ALD,5,20210218,131500,16.4,16.4,16.4,16.4,5,0
ALD,5,20210222,092000,16.4,16.5,16.4,16.5,168,0
ALD,5,20210222,121500,16.4,16.4,16.4,16.4,61,0
ALD,5,20210222,153500,16,16,16,16,50,0
ALD,5,20210223,164500,16.4,16.4,16.4,16.4,6,0
ALD,5,20210224,091500,14.5,14.5,13.7,14.5,305,0
ALD,5,20210224,092000,14.5,14.5,14.5,14.5,13,0
ALD,5,20210224,093000,14.5,14.5,14.5,14.5,32,0
ALD,5,20210224,095000,14.5,14.5,13.8,14.4,352,0
ALD,5,20210224,100500,14.4,14.4,14.4,14.4,11,0
