<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ALU,5,20210208,090000,0.99,0.995,0.99,0.995,630,0
ALU,5,20210208,095000,0.995,0.995,0.995,0.995,657,0
ALU,5,20210211,161500,1.04,1.04,1.04,1.04,1713,0
ALU,5,20210215,100000,1.09,1.09,1.09,1.09,2150,0
ALU,5,20210216,094500,1.07,1.07,1.07,1.07,300,0
ALU,5,20210217,114500,1.06,1.2,1.06,1.2,33600,0
ALU,5,20210217,115000,1.23,1.27,1.23,1.27,11005,0
ALU,5,20210217,115500,1.27,1.27,1.21,1.21,1700,0
ALU,5,20210217,120000,1.25,1.25,1.25,1.25,1000,0
ALU,5,20210217,120500,1.26,1.26,1.26,1.26,1100,0
ALU,5,20210217,122500,1.25,1.25,1.25,1.25,444,0
ALU,5,20210217,123000,1.25,1.25,1.2,1.2,14400,0
ALU,5,20210217,124000,1.17,1.17,1.14,1.14,15338,0
ALU,5,20210217,132000,1.15,1.15,1.15,1.15,605,0
ALU,5,20210217,140000,1.15,1.15,1.15,1.15,36,0
ALU,5,20210217,140500,1.15,1.15,1.14,1.14,5859,0
ALU,5,20210217,141000,1.14,1.14,1.14,1.14,53,0
ALU,5,20210217,142000,1.1,1.1,1.1,1.1,7100,0
ALU,5,20210217,150000,1.1,1.1,1.1,1.1,25,0
ALU,5,20210217,162500,1.1,1.1,1.1,1.1,470,0
ALU,5,20210217,164000,1.11,1.11,1.1,1.1,4375,0
ALU,5,20210218,090500,1.05,1.05,1.05,1.05,1000,0
ALU,5,20210218,101000,1.05,1.05,1.05,1.05,2725,0
ALU,5,20210218,110000,1.05,1.05,1.05,1.05,470,0
ALU,5,20210219,112000,1.1,1.1,1.1,1.1,247,0
ALU,5,20210219,154500,1.08,1.08,1.07,1.07,1500,0
ALU,5,20210222,163500,1.13,1.19,1.13,1.19,1000,0
ALU,5,20210223,093000,1.17,1.17,1.17,1.17,200,0
ALU,5,20210223,134000,1.07,1.07,1.07,1.07,800,0
ALU,5,20210224,092500,1.07,1.07,1.07,1.07,541,0
ALU,5,20210225,152500,1.11,1.13,1.11,1.13,2500,0
ALU,5,20210226,091000,1.05,1.05,1.05,1.05,405,0
ALU,5,20210303,163500,1.01,1.01,1.01,1.01,196,0
ALU,5,20210309,131500,1.13,1.13,1.13,1.13,1000,0
ALU,5,20210310,144000,1.13,1.13,1.13,1.13,618,0
ALU,5,20210311,123000,1.01,1.01,1.01,1.01,1,0
ALU,5,20210311,150500,1.14,1.14,1.14,1.14,1,0
ALU,5,20210315,124000,1.01,1.01,1.01,1.01,320,0
ALU,5,20210317,142000,1.01,1.01,1.01,1.01,444,0
ALU,5,20210317,162000,1.13,1.13,1.13,1.13,741,0
ALU,5,20210319,124000,1.12,1.12,1.12,1.12,201,0
ALU,5,20210324,103500,1.12,1.12,1.12,1.12,900,0
ALU,5,20210326,120000,1.14,1.14,1.14,1.14,499,0
ALU,5,20210326,124000,1.15,1.15,1.15,1.15,500,0
