<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AOL,5,20210204,125000,35,35,35,35,10,0
AOL,5,20210208,090000,35,35,35,35,100,0
AOL,5,20210209,140000,34,34,34,34,10,0
AOL,5,20210209,160000,34,34,34,34,20,0
AOL,5,20210210,145000,34,34,34,34,30,0
AOL,5,20210212,110000,33,33,33,33,10,0
AOL,5,20210215,140500,32,32,32,32,10,0
AOL,5,20210215,141500,32,32,32,32,10,0
AOL,5,20210217,093500,31,31,31,31,10,0
AOL,5,20210217,094500,31,31,31,31,20,0
AOL,5,20210224,104000,32,32,32,32,55,0
AOL,5,20210226,111000,33.6,34,33.6,34,50,0
AOL,5,20210303,124500,33,33,33,33,20,0
AOL,5,20210304,121500,34,34,34,34,120,0
AOL,5,20210305,090000,34.8,34.8,34.8,34.8,40,0
AOL,5,20210312,093500,32.8,32.8,32.8,32.8,12,0
AOL,5,20210315,101500,33,33,33,33,10,0
AOL,5,20210315,113000,33,33,33,33,25,0
AOL,5,20210319,122000,33,33,33,33,20,0
AOL,5,20210322,124500,33,33,33,33,12000,0
AOL,5,20210324,154500,33,33,33,33,10,0
AOL,5,20210325,093000,32,32,29.2,29.2,1000,0
AOL,5,20210325,152000,33.8,34,33.8,34,35,0
