<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
APA,5,20210204,110000,0.73,0.73,0.73,0.73,300,0
APA,5,20210205,110000,0.74,0.74,0.74,0.74,200,0
APA,5,20210208,110000,0.74,0.74,0.74,0.74,880,0
APA,5,20210209,110000,0.775,0.775,0.775,0.775,1,0
APA,5,20210209,150000,0.74,0.74,0.74,0.74,100,0
APA,5,20210210,110000,0.77,0.77,0.77,0.77,1,0
APA,5,20210210,150500,0.77,0.77,0.77,0.77,1196,0
APA,5,20210211,110000,0.775,0.775,0.775,0.775,100,0
APA,5,20210211,150000,0.765,0.765,0.765,0.765,680,0
APA,5,20210212,110000,0.74,0.74,0.74,0.74,399,0
APA,5,20210212,150000,0.775,0.775,0.775,0.775,1,0
APA,5,20210215,110000,0.76,0.76,0.76,0.76,110,0
APA,5,20210215,150000,0.77,0.77,0.77,0.77,5029,0
APA,5,20210216,110000,0.785,0.785,0.785,0.785,20,0
APA,5,20210216,150000,0.7,0.7,0.7,0.7,1238,0
APA,5,20210217,110000,0.75,0.75,0.75,0.75,50,0
APA,5,20210217,110500,0.75,0.75,0.75,0.75,1543,0
APA,5,20210217,111500,0.75,0.75,0.75,0.75,1100,0
APA,5,20210217,150000,0.73,0.73,0.73,0.73,575,0
APA,5,20210218,110000,0.75,0.75,0.75,0.75,328,0
APA,5,20210218,150000,0.75,0.75,0.75,0.75,672,0
APA,5,20210219,150000,0.75,0.75,0.75,0.75,1236,0
APA,5,20210222,110000,0.8,0.8,0.8,0.8,2250,0
APA,5,20210222,150000,0.8,0.8,0.8,0.8,1550,0
APA,5,20210223,110000,0.78,0.78,0.78,0.78,20,0
APA,5,20210223,111500,0.78,0.78,0.78,0.78,1573,0
APA,5,20210223,150000,0.77,0.77,0.77,0.77,1640,0
APA,5,20210224,110000,0.725,0.725,0.725,0.725,200,0
APA,5,20210224,150000,0.7,0.7,0.7,0.7,1419,0
APA,5,20210224,150500,0.7,0.7,0.7,0.7,600,0
APA,5,20210225,110000,0.7,0.7,0.7,0.7,1250,0
APA,5,20210225,112500,0.7,0.7,0.7,0.7,27,0
APA,5,20210225,150000,0.735,0.735,0.735,0.735,1,0
APA,5,20210226,110000,0.735,0.735,0.735,0.735,399,0
APA,5,20210301,110000,0.71,0.71,0.71,0.71,100,0
APA,5,20210302,110000,0.73,0.73,0.73,0.73,316,0
APA,5,20210302,112500,0.73,0.73,0.73,0.73,1183,0
APA,5,20210302,150000,0.7,0.7,0.7,0.7,3654,0
APA,5,20210304,150000,0.705,0.705,0.705,0.705,425,0
APA,5,20210305,110000,0.705,0.705,0.705,0.705,20,0
APA,5,20210305,150000,0.71,0.71,0.71,0.71,255,0
APA,5,20210308,110000,0.71,0.71,0.71,0.71,50,0
APA,5,20210308,150000,0.74,0.74,0.74,0.74,2490,0
APA,5,20210309,150000,0.74,0.74,0.74,0.74,1500,0
APA,5,20210310,110000,0.715,0.715,0.715,0.715,1010,0
APA,5,20210310,150000,0.73,0.73,0.73,0.73,280,0
APA,5,20210311,110000,0.75,0.75,0.75,0.75,320,0
APA,5,20210311,150000,0.76,0.76,0.76,0.76,1695,0
APA,5,20210311,152500,0.76,0.76,0.76,0.76,1983,0
APA,5,20210312,110000,0.78,0.78,0.78,0.78,1350,0
APA,5,20210312,150000,0.8,0.8,0.8,0.8,458,0
APA,5,20210315,110000,0.8,0.8,0.8,0.8,350,0
APA,5,20210315,150000,0.8,0.8,0.8,0.8,250,0
APA,5,20210316,110000,0.77,0.77,0.77,0.77,375,0
APA,5,20210316,150000,0.8,0.8,0.8,0.8,205,0
APA,5,20210317,150000,0.79,0.79,0.79,0.79,101,0
APA,5,20210317,150500,0.79,0.79,0.79,0.79,999,0
APA,5,20210318,110000,0.8,0.8,0.8,0.8,337,0
APA,5,20210318,150000,0.8,0.8,0.8,0.8,1198,0
APA,5,20210319,110000,0.85,0.85,0.85,0.85,205,0
APA,5,20210319,150000,0.86,0.86,0.86,0.86,6650,0
APA,5,20210319,150500,0.86,0.86,0.86,0.86,3000,0
APA,5,20210319,151500,0.86,0.86,0.86,0.86,4046,0
APA,5,20210322,110000,0.91,0.91,0.91,0.91,509,0
APA,5,20210322,150000,0.895,0.895,0.895,0.895,2635,0
APA,5,20210322,150500,0.895,0.895,0.895,0.895,1234,0
APA,5,20210322,151000,0.895,0.895,0.895,0.895,166,0
APA,5,20210323,110000,0.9,0.9,0.9,0.9,7784,0
APA,5,20210323,110500,0.9,0.9,0.9,0.9,2000,0
APA,5,20210323,111500,0.9,0.9,0.9,0.9,358,0
APA,5,20210323,150000,0.88,0.88,0.88,0.88,5000,0
APA,5,20210323,151000,0.88,0.88,0.88,0.88,2296,0
APA,5,20210323,152500,0.88,0.88,0.88,0.88,1,0
APA,5,20210324,110000,0.88,0.88,0.88,0.88,1,0
APA,5,20210324,150000,0.81,0.81,0.81,0.81,425,0
APA,5,20210324,150500,0.81,0.81,0.81,0.81,2575,0
APA,5,20210325,110000,0.81,0.81,0.81,0.81,4625,0
