<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
APC,5,20210204,103000,1.43,1.43,1.43,1.43,179,0
APC,5,20210204,112500,1.5,1.5,1.5,1.5,50,0
APC,5,20210204,114000,1.43,1.43,1.43,1.43,311,0
APC,5,20210204,124000,1.43,1.43,1.43,1.43,589,0
APC,5,20210204,130000,1.5,1.5,1.5,1.5,75,0
APC,5,20210205,092500,1.49,1.5,1.49,1.5,350,0
APC,5,20210205,133000,1.42,1.42,1.4,1.4,914,0
APC,5,20210205,134000,1.36,1.36,1.36,1.36,2,0
APC,5,20210205,150500,1.37,1.37,1.36,1.36,1000,0
APC,5,20210205,153500,1.36,1.36,1.36,1.36,500,0
APC,5,20210205,155000,1.44,1.44,1.44,1.44,70,0
APC,5,20210205,162000,1.36,1.36,1.35,1.35,1314,0
APC,5,20210205,164500,1.35,1.35,1.35,1.35,1000,0
APC,5,20210208,090000,1.35,1.35,1.35,1.35,170,0
APC,5,20210208,102500,1.35,1.35,1.35,1.35,30,0
APC,5,20210208,103000,1.41,1.45,1.41,1.45,2310,0
APC,5,20210208,162000,1.5,1.51,1.5,1.51,1000,0
APC,5,20210208,164500,1.41,1.41,1.41,1.41,148,0
APC,5,20210209,095000,1.42,1.42,1.42,1.42,625,0
APC,5,20210209,105500,1.42,1.42,1.42,1.42,1000,0
APC,5,20210209,120000,1.42,1.42,1.42,1.42,1225,0
APC,5,20210209,151500,1.41,1.41,1.41,1.41,1150,0
APC,5,20210209,162500,1.41,1.41,1.41,1.41,1000,0
APC,5,20210209,163000,1.44,1.44,1.44,1.44,291,0
APC,5,20210209,164500,1.42,1.42,1.42,1.42,500,0
APC,5,20210210,154500,1.51,1.51,1.51,1.51,1000,0
APC,5,20210210,160500,1.51,1.52,1.51,1.52,871,0
APC,5,20210210,161500,1.52,1.52,1.52,1.52,129,0
APC,5,20210210,164500,1.5,1.5,1.5,1.5,871,0
APC,5,20210211,092000,1.55,1.55,1.55,1.55,256,0
APC,5,20210211,125500,1.55,1.55,1.55,1.55,392,0
APC,5,20210211,131000,1.6,1.6,1.6,1.6,1000,0
APC,5,20210211,155000,1.51,1.51,1.51,1.51,50,0
APC,5,20210211,164500,1.52,1.52,1.51,1.51,1143,0
APC,5,20210212,090000,1.51,1.51,1.51,1.51,100,0
APC,5,20210212,101500,1.41,1.41,1.41,1.41,500,0
APC,5,20210212,102000,1.41,1.41,1.41,1.41,104,0
APC,5,20210212,104500,1.41,1.41,1.4,1.4,871,0
APC,5,20210212,105000,1.4,1.42,1.4,1.42,1689,0
APC,5,20210212,123500,1.49,1.49,1.49,1.49,610,0
APC,5,20210212,134000,1.44,1.44,1.44,1.44,490,0
APC,5,20210212,153500,1.42,1.42,1.4,1.4,1500,0
APC,5,20210212,154500,1.42,1.42,1.42,1.42,708,0
APC,5,20210212,164000,1.42,1.42,1.4,1.4,1131,0
APC,5,20210212,164500,1.37,1.37,1.37,1.37,500,0
APC,5,20210215,090000,1.49,1.49,1.49,1.49,118,0
APC,5,20210215,103000,1.49,1.49,1.49,1.49,1372,0
APC,5,20210215,103500,1.5,1.5,1.5,1.5,667,0
APC,5,20210215,104500,1.63,1.63,1.63,1.63,530,0
APC,5,20210215,105000,1.65,1.69,1.65,1.69,578,0
APC,5,20210215,105500,1.75,1.76,1.75,1.75,5176,0
APC,5,20210215,110500,1.51,1.51,1.51,1.51,1,0
APC,5,20210215,112500,1.74,1.74,1.74,1.74,43,0
APC,5,20210215,120000,1.58,1.58,1.58,1.58,399,0
APC,5,20210215,123000,1.58,1.58,1.58,1.58,1,0
APC,5,20210215,123500,1.53,1.53,1.53,1.53,1,0
APC,5,20210215,150500,1.69,1.69,1.69,1.69,135,0
APC,5,20210215,151500,1.54,1.54,1.54,1.54,1,0
APC,5,20210215,161000,1.65,1.65,1.65,1.65,10,0
APC,5,20210215,163000,1.6,1.6,1.6,1.6,1000,0
APC,5,20210215,164500,1.54,1.54,1.54,1.54,251,0
APC,5,20210216,130500,1.56,1.56,1.5,1.5,3079,0
APC,5,20210216,131000,1.72,1.75,1.72,1.75,305,0
APC,5,20210216,133000,1.7,1.7,1.7,1.7,500,0
APC,5,20210216,141500,1.55,1.55,1.55,1.55,125,0
APC,5,20210216,144500,1.55,1.55,1.55,1.55,913,0
APC,5,20210217,091500,1.55,1.55,1.55,1.55,5000,0
APC,5,20210217,114000,1.6,1.73,1.6,1.73,818,0
APC,5,20210217,115500,1.74,1.75,1.71,1.71,2163,0
APC,5,20210217,121500,1.7,1.7,1.7,1.7,1019,0
APC,5,20210217,134000,1.7,1.7,1.7,1.7,240,0
APC,5,20210217,154500,1.7,1.7,1.7,1.7,619,0
APC,5,20210217,160000,1.77,1.77,1.77,1.77,300,0
APC,5,20210217,164000,1.7,1.7,1.7,1.7,1100,0
APC,5,20210217,164500,1.77,1.77,1.77,1.77,590,0
APC,5,20210218,150000,1.8,1.8,1.8,1.8,250,0
APC,5,20210218,160500,1.8,1.82,1.8,1.82,8906,0
APC,5,20210218,161000,1.9,1.9,1.9,1.9,1946,0
APC,5,20210218,161500,1.9,1.9,1.9,1.9,1054,0
APC,5,20210218,162000,1.9,1.9,1.9,1.9,200,0
APC,5,20210218,163500,1.95,1.95,1.95,1.95,100,0
APC,5,20210219,090000,1.68,1.68,1.65,1.65,1403,0
APC,5,20210219,090500,1.64,1.7,1.64,1.68,3360,0
APC,5,20210219,091000,1.75,1.8,1.75,1.8,647,0
APC,5,20210219,091500,1.75,1.75,1.75,1.75,1,0
APC,5,20210219,092500,1.75,1.8,1.75,1.8,865,0
APC,5,20210219,093500,1.85,1.86,1.85,1.86,2400,0
APC,5,20210219,094000,1.86,1.86,1.86,1.86,600,0
