<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
APS,5,20210205,095000,3.3,3.3,3.3,3.3,304,0
APS,5,20210205,095500,3.54,3.54,3.54,3.54,46,0
APS,5,20210205,101000,3.54,3.54,3.54,3.54,237,0
APS,5,20210205,101500,3.54,3.54,3.54,3.54,186,0
APS,5,20210205,160000,3.74,3.74,3.74,3.74,3,0
APS,5,20210208,092500,3.74,3.74,3.74,3.74,554,0
APS,5,20210208,095000,3.4,3.4,3.4,3.4,295,0
APS,5,20210208,101500,3.2,3.2,3.2,3.2,200,0
APS,5,20210208,103500,3.2,3.2,3.2,3.2,59,0
APS,5,20210209,115500,3.4,3.4,3.4,3.4,295,0
APS,5,20210212,090000,3.5,3.5,3.5,3.5,300,0
APS,5,20210212,103000,3.5,3.5,3.5,3.5,100,0
APS,5,20210212,160500,3.5,3.5,3.5,3.5,157,0
APS,5,20210215,091000,3.52,3.52,3.5,3.5,295,0
APS,5,20210215,091500,3.5,3.5,3.5,3.5,200,0
APS,5,20210215,144000,3.5,3.5,3.3,3.3,500,0
APS,5,20210216,100000,3.32,3.32,3.32,3.32,85,0
APS,5,20210216,111500,3.32,3.32,3.32,3.32,3,0
APS,5,20210217,161500,3.32,3.32,3.32,3.32,319,0
APS,5,20210219,090000,3.4,3.4,3.4,3.4,100,0
APS,5,20210219,113000,3.34,3.34,3.34,3.34,124,0
APS,5,20210219,135500,3.3,3.3,3.3,3.3,307,0
APS,5,20210222,090500,3.22,3.22,3.16,3.16,1406,0
APS,5,20210223,125500,3.22,3.22,3.22,3.22,500,0
APS,5,20210223,133500,3.16,3.16,3.16,3.16,500,0
APS,5,20210223,155500,3.16,3.16,3.16,3.16,700,0
APS,5,20210224,165500,3.24,3.24,3.24,3.24,311,0
APS,5,20210305,094000,3.22,3.22,3.22,3.22,943,0
APS,5,20210309,090000,3.3,3.3,3.3,3.3,1305,0
APS,5,20210309,102000,3.4,3.4,3.4,3.4,300,0
APS,5,20210309,103000,3.36,3.36,3.36,3.36,3,0
APS,5,20210309,105500,3.46,3.46,3.46,3.46,10,0
APS,5,20210309,112500,3.46,3.68,3.46,3.68,330,0
APS,5,20210309,152500,3.64,3.64,3.64,3.64,244,0
APS,5,20210309,161500,3.64,3.64,3.64,3.64,31,0
APS,5,20210310,090000,3.68,3.68,3.68,3.68,272,0
APS,5,20210310,092500,3.44,3.44,3.44,3.44,421,0
APS,5,20210312,145500,3.3,3.3,3.3,3.3,456,0
APS,5,20210312,163000,3.44,3.44,3.44,3.44,292,0
APS,5,20210312,163500,3.62,3.62,3.62,3.62,10,0
APS,5,20210315,090000,3.6,3.6,3.6,3.6,105,0
APS,5,20210315,092000,3.38,3.38,3.38,3.38,569,0
APS,5,20210315,104000,3.38,3.38,3.38,3.38,30,0
APS,5,20210315,135500,3.4,3.4,3.4,3.4,200,0
APS,5,20210315,145500,3.4,3.4,3.4,3.4,97,0
APS,5,20210316,135500,3.5,3.5,3.5,3.5,200,0
APS,5,20210317,090000,3.5,3.5,3.5,3.5,150,0
APS,5,20210317,164000,3.5,3.5,3.5,3.5,450,0
APS,5,20210318,090000,3.5,3.5,3.5,3.5,350,0
APS,5,20210322,120000,3.6,3.68,3.6,3.68,845,0
APS,5,20210322,131000,3.6,3.6,3.6,3.6,33,0
APS,5,20210322,134000,3.6,3.6,3.6,3.6,267,0
APS,5,20210323,091500,3.56,3.64,3.56,3.64,1100,0
APS,5,20210323,110000,3.68,3.68,3.68,3.68,1000,0
APS,5,20210326,142500,3.44,3.44,3.44,3.44,20,0
