<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AQA,5,20210204,090000,14.9,14.9,14.9,14.9,1,0
AQA,5,20210204,102000,14.1,14.1,14.1,14.1,10,0
AQA,5,20210204,103000,14.1,14.1,14.1,14.1,20,0
AQA,5,20210204,103500,13.8,13.8,13.8,13.8,359,0
AQA,5,20210204,112500,14,14,14,14,10,0
AQA,5,20210204,133500,14.1,14.8,14.1,14.8,132,0
AQA,5,20210204,134000,14.8,15.3,14.8,15.3,410,0
AQA,5,20210205,091000,14.5,14.6,14.5,14.6,4260,0
AQA,5,20210205,091500,14,14,14,14,512,0
AQA,5,20210205,093000,14,14,14,14,27,0
AQA,5,20210205,093500,14,14,13.9,13.9,150,0
AQA,5,20210205,095000,13.9,13.9,13.6,13.6,1541,0
AQA,5,20210205,095500,13.5,13.5,13.5,13.5,15,0
AQA,5,20210205,105000,13.5,13.5,13.5,13.5,439,0
AQA,5,20210205,120000,13.6,13.6,13.6,13.6,100,0
AQA,5,20210205,120500,13.6,13.6,13.6,13.6,100,0
AQA,5,20210205,132000,13.6,13.6,13.6,13.6,50,0
AQA,5,20210205,132500,13.5,13.5,13.5,13.5,41,0
AQA,5,20210208,090500,14.5,15.7,14.5,15.7,110,0
AQA,5,20210208,102000,13.5,13.5,13.5,13.5,1,0
AQA,5,20210208,103000,13.5,13.5,13.5,13.5,16,0
AQA,5,20210208,151500,13.5,13.5,13.4,13.4,84,0
AQA,5,20210208,163500,14.1,14.1,14.1,14.1,10,0
AQA,5,20210209,090000,14.2,14.2,14.2,14.2,1,0
AQA,5,20210209,091000,13,13,13,13,66,0
AQA,5,20210209,091500,14.2,14.2,14.2,14.2,5,0
AQA,5,20210209,111000,13.4,13.4,13.4,13.4,40,0
AQA,5,20210209,113000,13.4,13.4,13.4,13.4,5,0
AQA,5,20210209,124500,13,13,13,13,4,0
AQA,5,20210209,132500,13.4,13.4,13.4,13.4,10,0
AQA,5,20210210,090000,12.9,13.4,12.9,13.4,133,0
AQA,5,20210210,092000,13.4,13.4,13.4,13.4,11,0
AQA,5,20210210,095500,13.2,13.2,13.2,13.2,92,0
AQA,5,20210210,103000,13.1,13.1,13.1,13.1,9,0
AQA,5,20210210,112500,12.9,12.9,12.9,12.9,30,0
AQA,5,20210210,113000,12.9,12.9,12.9,12.9,5,0
AQA,5,20210210,114500,12.9,12.9,12.9,12.9,22,0
AQA,5,20210210,143000,13.1,13.1,13.1,13.1,10,0
AQA,5,20210210,151500,12.9,12.9,12.9,12.9,20,0
AQA,5,20210210,161000,12.5,12.5,12.5,12.5,180,0
AQA,5,20210211,090000,12.4,12.4,12.4,12.4,50,0
AQA,5,20210211,121000,11.5,11.5,11.4,11.4,20,0
AQA,5,20210211,142000,11.5,11.5,11.5,11.5,10,0
AQA,5,20210211,143000,11.5,11.5,11.5,11.5,20,0
AQA,5,20210211,160500,11.5,12,11.5,12,100,0
AQA,5,20210212,090000,12,12,12,12,1,0
AQA,5,20210212,093500,11.9,11.9,11.9,11.9,120,0
AQA,5,20210212,111500,11.8,13.5,11.8,13.5,745,0
AQA,5,20210215,090000,13.8,13.8,13.8,13.8,11,0
AQA,5,20210215,092000,13.8,15,13.8,15,290,0
AQA,5,20210215,094500,14,14,14,14,10,0
AQA,5,20210215,120500,13.9,13.9,13.9,13.9,72,0
AQA,5,20210215,121000,13.4,13.4,13.4,13.4,17,0
AQA,5,20210215,130500,13,13,13,13,10,0
AQA,5,20210215,131000,13.6,13.6,13.6,13.6,10,0
AQA,5,20210215,133000,13.6,13.6,13.6,13.6,20,0
AQA,5,20210215,133500,13.8,13.8,13.8,13.8,10,0
AQA,5,20210215,143000,13.6,13.6,13.6,13.6,4,0
AQA,5,20210215,160500,13.6,13.6,13.6,13.6,100,0
AQA,5,20210216,090000,13.5,13.5,13.5,13.5,1,0
AQA,5,20210216,115000,12.8,12.8,12.8,12.8,30,0
AQA,5,20210216,115500,12.5,12.5,12.5,12.5,10,0
AQA,5,20210216,121500,12.5,12.5,12.5,12.5,102,0
AQA,5,20210216,123500,12.8,12.8,12.8,12.8,10,0
AQA,5,20210216,130000,12.8,13.4,12.8,13.4,55,0
AQA,5,20210216,131000,12.5,12.5,12.5,12.5,230,0
AQA,5,20210216,154000,12.6,12.6,12.6,12.6,100,0
AQA,5,20210216,160000,12.2,12.2,12.2,12.2,260,0
AQA,5,20210216,163500,12.8,13.6,12.8,13.6,315,0
AQA,5,20210216,164500,13.2,14.5,13.2,14.5,290,0
AQA,5,20210217,090000,14.1,14.1,14.1,14.1,1,0
AQA,5,20210217,124000,13.4,13.4,13,13,40,0
