<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AQT,5,20210204,110000,4,4,4,4,333,0
AQT,5,20210204,150000,3.8,3.8,3.8,3.8,2765,0
AQT,5,20210204,150500,3.8,3.8,3.8,3.8,195,0
AQT,5,20210204,152500,3.8,3.8,3.8,3.8,4200,0
AQT,5,20210205,110000,3.86,3.86,3.86,3.86,7344,0
AQT,5,20210205,111500,3.86,3.86,3.86,3.86,200,0
AQT,5,20210205,112500,3.86,3.86,3.86,3.86,100,0
AQT,5,20210205,150000,3.92,3.92,3.92,3.92,4132,0
AQT,5,20210205,152000,3.92,3.92,3.92,3.92,500,0
AQT,5,20210208,110000,4.3,4.3,4.3,4.3,6011,0
AQT,5,20210208,110500,4.3,4.3,4.3,4.3,776,0
AQT,5,20210208,111000,4.3,4.3,4.3,4.3,200,0
AQT,5,20210208,150000,4.4,4.4,4.4,4.4,5528,0
AQT,5,20210208,150500,4.4,4.4,4.4,4.4,100,0
AQT,5,20210208,152000,4.4,4.4,4.4,4.4,300,0
AQT,5,20210208,152500,4.4,4.4,4.4,4.4,52,0
AQT,5,20210209,110000,4.52,4.52,4.52,4.52,2793,0
AQT,5,20210209,110500,4.52,4.52,4.52,4.52,80,0
AQT,5,20210209,111000,4.52,4.52,4.52,4.52,120,0
AQT,5,20210209,111500,4.52,4.52,4.52,4.52,24,0
AQT,5,20210209,150000,4.4,4.4,4.4,4.4,1862,0
AQT,5,20210209,150500,4.4,4.4,4.4,4.4,638,0
AQT,5,20210209,151000,4.4,4.4,4.4,4.4,1000,0
AQT,5,20210209,152000,4.4,4.4,4.4,4.4,1,0
AQT,5,20210210,110000,4.5,4.5,4.5,4.5,6180,0
AQT,5,20210210,111500,4.5,4.5,4.5,4.5,2420,0
AQT,5,20210210,112500,4.5,4.5,4.5,4.5,2580,0
AQT,5,20210210,150000,4.5,4.5,4.5,4.5,600,0
AQT,5,20210211,110000,4.44,4.44,4.44,4.44,210,0
AQT,5,20210211,111000,4.44,4.44,4.44,4.44,100,0
AQT,5,20210211,112500,4.44,4.44,4.44,4.44,495,0
AQT,5,20210211,150000,4.4,4.4,4.4,4.4,1600,0
AQT,5,20210212,110000,4.64,4.64,4.64,4.64,7442,0
AQT,5,20210212,111500,4.64,4.64,4.64,4.64,20,0
AQT,5,20210212,112000,4.64,4.64,4.64,4.64,396,0
AQT,5,20210212,150000,4.72,4.72,4.72,4.72,6239,0
AQT,5,20210212,151000,4.72,4.72,4.72,4.72,200,0
AQT,5,20210212,151500,4.72,4.72,4.72,4.72,30,0
AQT,5,20210212,152000,4.72,4.72,4.72,4.72,70,0
AQT,5,20210212,152500,4.72,4.72,4.72,4.72,479,0
AQT,5,20210215,110000,4.9,4.9,4.9,4.9,6696,0
AQT,5,20210215,111000,4.9,4.9,4.9,4.9,20,0
AQT,5,20210215,111500,4.9,4.9,4.9,4.9,100,0
AQT,5,20210215,112000,4.9,4.9,4.9,4.9,946,0
AQT,5,20210215,150000,4.98,4.98,4.98,4.98,12510,0
AQT,5,20210215,151000,4.98,4.98,4.98,4.98,400,0
AQT,5,20210216,110000,4.88,4.88,4.88,4.88,5000,0
AQT,5,20210216,111500,4.88,4.88,4.88,4.88,485,0
AQT,5,20210216,112500,4.88,4.88,4.88,4.88,762,0
AQT,5,20210216,150000,5,5,5,5,2000,0
AQT,5,20210217,110000,5,5,5,5,5770,0
AQT,5,20210217,110500,5,5,5,5,120,0
AQT,5,20210217,112000,5,5,5,5,1250,0
AQT,5,20210217,150000,4.96,4.96,4.96,4.96,1150,0
AQT,5,20210218,110000,4.94,4.94,4.94,4.94,295,0
AQT,5,20210218,112000,4.94,4.94,4.94,4.94,100,0
AQT,5,20210218,150000,4.62,4.62,4.62,4.62,5,0
AQT,5,20210219,110000,4.7,4.7,4.7,4.7,2295,0
AQT,5,20210219,110500,4.7,4.7,4.7,4.7,200,0
AQT,5,20210219,150000,4.5,4.5,4.5,4.5,2275,0
AQT,5,20210219,151000,4.5,4.5,4.5,4.5,400,0
AQT,5,20210219,152500,4.5,4.5,4.5,4.5,230,0
AQT,5,20210222,110000,4.5,4.5,4.5,4.5,300,0
AQT,5,20210222,111500,4.5,4.5,4.5,4.5,111,0
AQT,5,20210222,112000,4.5,4.5,4.5,4.5,200,0
AQT,5,20210222,150000,4.5,4.5,4.5,4.5,241,0
AQT,5,20210223,110000,4.5,4.5,4.5,4.5,10,0
AQT,5,20210223,150000,4.26,4.26,4.26,4.26,995,0
AQT,5,20210224,110000,4.26,4.26,4.26,4.26,115,0
AQT,5,20210224,150000,4.26,4.26,4.26,4.26,33,0
AQT,5,20210225,110000,4.2,4.2,4.2,4.2,817,0
AQT,5,20210225,150000,4.26,4.26,4.26,4.26,200,0
AQT,5,20210226,110000,4.06,4.06,4.06,4.06,733,0
AQT,5,20210226,150000,4.38,4.38,4.38,4.38,295,0
AQT,5,20210226,152000,4.38,4.38,4.38,4.38,646,0
AQT,5,20210301,110000,4.2,4.2,4.2,4.2,475,0
AQT,5,20210301,150000,4.14,4.14,4.14,4.14,33,0
AQT,5,20210302,110000,4.5,4.5,4.5,4.5,5060,0
AQT,5,20210302,111000,4.5,4.5,4.5,4.5,763,0
AQT,5,20210302,150000,4.86,4.86,4.86,4.86,246,0
AQT,5,20210302,150500,4.86,4.86,4.86,4.86,25,0
AQT,5,20210302,151000,4.86,4.86,4.86,4.86,1038,0
AQT,5,20210303,110000,4.9,4.9,4.9,4.9,1615,0
AQT,5,20210303,150000,4.86,4.86,4.86,4.86,900,0
AQT,5,20210304,110000,4.48,4.48,4.48,4.48,338,0
AQT,5,20210304,111500,4.48,4.48,4.48,4.48,63,0
AQT,5,20210304,150000,4.5,4.5,4.5,4.5,2206,0
AQT,5,20210305,110000,4.64,4.64,4.64,4.64,200,0
AQT,5,20210305,150000,4.6,4.6,4.6,4.6,316,0
AQT,5,20210308,110000,4.7,4.7,4.7,4.7,873,0
AQT,5,20210308,150000,4.7,4.7,4.7,4.7,1450,0
AQT,5,20210308,151000,4.7,4.7,4.7,4.7,674,0
AQT,5,20210309,110000,4.7,4.7,4.7,4.7,853,0
AQT,5,20210309,150000,4.7,4.7,4.7,4.7,13,0
AQT,5,20210310,110000,4.46,4.46,4.46,4.46,250,0
AQT,5,20210310,110500,4.46,4.46,4.46,4.46,1,0
AQT,5,20210310,112000,4.46,4.46,4.46,4.46,40,0
AQT,5,20210310,150000,4.86,4.86,4.86,4.86,105,0
AQT,5,20210310,150500,4.86,4.86,4.86,4.86,922,0
AQT,5,20210311,110000,4.84,4.84,4.84,4.84,44,0
AQT,5,20210311,151000,4.84,4.84,4.84,4.84,30,0
AQT,5,20210312,110000,4.5,4.5,4.5,4.5,721,0
AQT,5,20210312,112000,4.5,4.5,4.5,4.5,68,0
AQT,5,20210312,150000,4.5,4.5,4.5,4.5,1062,0
AQT,5,20210312,152500,4.5,4.5,4.5,4.5,200,0
AQT,5,20210315,110000,4.56,4.56,4.56,4.56,301,0
AQT,5,20210315,150000,4.76,4.76,4.76,4.76,2162,0
AQT,5,20210315,150500,4.76,4.76,4.76,4.76,158,0
AQT,5,20210315,151500,4.76,4.76,4.76,4.76,52,0
AQT,5,20210315,152000,4.76,4.76,4.76,4.76,100,0
AQT,5,20210316,110000,4.6,4.6,4.6,4.6,531,0
AQT,5,20210316,150000,4.6,4.6,4.6,4.6,3439,0
AQT,5,20210317,110000,4.54,4.54,4.54,4.54,947,0
AQT,5,20210317,150000,4.48,4.48,4.48,4.48,1113,0
AQT,5,20210318,110000,4.4,4.4,4.4,4.4,581,0
AQT,5,20210318,150000,4.4,4.4,4.4,4.4,314,0
AQT,5,20210319,110000,4.4,4.4,4.4,4.4,3298,0
AQT,5,20210319,111000,4.4,4.4,4.4,4.4,20,0
AQT,5,20210319,150000,4.4,4.4,4.4,4.4,1364,0
AQT,5,20210322,110000,4.86,4.86,4.86,4.86,4240,0
AQT,5,20210322,111000,4.86,4.86,4.86,4.86,810,0
AQT,5,20210322,111500,4.86,4.86,4.86,4.86,200,0
AQT,5,20210322,112000,4.86,4.86,4.86,4.86,1900,0
AQT,5,20210322,150000,4.76,4.76,4.76,4.76,503,0
AQT,5,20210323,110000,4.76,4.76,4.76,4.76,420,0
AQT,5,20210323,150000,4.76,4.76,4.76,4.76,85,0
AQT,5,20210324,110000,4.76,4.76,4.76,4.76,110,0
AQT,5,20210324,150000,4.46,4.46,4.46,4.46,287,0
AQT,5,20210324,150500,4.46,4.46,4.46,4.46,167,0
AQT,5,20210325,110000,4.44,4.44,4.44,4.44,520,0
AQT,5,20210325,111500,4.44,4.44,4.44,4.44,117,0
AQT,5,20210325,150000,4.42,4.42,4.42,4.42,220,0
AQT,5,20210326,110000,4.66,4.66,4.66,4.66,9100,0
AQT,5,20210326,150000,4.04,4.04,4.04,4.04,2000,0
AQT,5,20210326,151000,4.04,4.04,4.04,4.04,120,0
