<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AQU,5,20210204,090000,16.1,16.1,16.1,16.1,60,0
AQU,5,20210204,103500,15.9,16.1,15.9,16.1,81,0
AQU,5,20210204,163000,16.1,16.1,16.1,16.1,100,0
AQU,5,20210205,163500,16.1,16.1,16.1,16.1,5,0
AQU,5,20210208,094500,16.1,16.1,16.1,16.1,5,0
AQU,5,20210208,152500,15.6,15.6,15.5,15.5,70,0
AQU,5,20210210,100500,15.5,15.5,15.5,15.5,5,0
AQU,5,20210211,102500,15.5,15.5,15.5,15.5,5,0
AQU,5,20210211,122500,15.8,16,15.8,16,60,0
AQU,5,20210212,112000,16,16,16,16,14,0
AQU,5,20210215,103000,16.1,16.1,16.1,16.1,5,0
AQU,5,20210215,164500,16,16,16,16,10,0
AQU,5,20210216,162500,16,16,16,16,10,0
AQU,5,20210217,100000,16.1,16.1,16.1,16.1,5,0
AQU,5,20210218,094500,16.1,16.1,16.1,16.1,5,0
AQU,5,20210219,090000,16,16,16,16,10,0
AQU,5,20210219,092000,16,16,16,16,190,0
AQU,5,20210222,140500,16.1,16.1,16,16,15,0
AQU,5,20210223,142000,16.1,16.1,16.1,16.1,10,0
AQU,5,20210224,101000,16.1,16.1,16.1,16.1,5,0
AQU,5,20210225,102000,16,16,16,16,60,0
AQU,5,20210225,113500,16,16,16,16,10,0
AQU,5,20210225,122500,16,16,16,16,90,0
AQU,5,20210226,091500,16.1,16.1,16.1,16.1,7,0
AQU,5,20210226,104000,16.1,16.1,16.1,16.1,5,0
AQU,5,20210301,103000,16.1,16.1,16.1,16.1,5,0
AQU,5,20210301,155000,16.1,16.1,16.1,16.1,100,0
AQU,5,20210302,102500,16.1,16.1,16.1,16.1,5,0
AQU,5,20210303,120500,16.1,16.1,16.1,16.1,15,0
AQU,5,20210303,151000,15.9,15.9,15.7,15.7,150,0
AQU,5,20210304,103500,15.7,15.7,15.7,15.7,1,0
AQU,5,20210305,163500,15.7,15.7,15.7,15.7,5,0
AQU,5,20210308,110500,15.7,15.7,15.7,15.7,5,0
AQU,5,20210309,105500,15.7,15.7,15.7,15.7,5,0
AQU,5,20210310,090000,15.8,15.8,15.8,15.8,95,0
AQU,5,20210310,091500,16,16.1,15.8,15.8,207,0
AQU,5,20210310,162000,16,16.1,16,16.1,18,0
AQU,5,20210316,090000,15.8,15.8,15.8,15.8,94,0
AQU,5,20210316,122000,15.8,15.8,15.8,15.8,5,0
AQU,5,20210318,101000,16.2,16.2,16.1,16.1,10,0
AQU,5,20210319,111000,16.2,16.2,16.2,16.2,11,0
AQU,5,20210319,112000,16.2,16.2,16.2,16.2,81,0
AQU,5,20210322,105000,16,16,16,16,1,0
AQU,5,20210322,113000,16.3,16.3,16.3,16.3,5,0
AQU,5,20210322,125500,16.8,16.8,16.8,16.8,29,0
AQU,5,20210322,151000,16.8,16.8,16.8,16.8,57,0
AQU,5,20210322,163500,16.8,16.8,16.8,16.8,100,0
AQU,5,20210323,095500,16.8,16.8,16.8,16.8,5,0
AQU,5,20210324,101000,16.8,16.8,16.8,16.8,5,0
AQU,5,20210325,142500,16.8,16.8,16.8,16.8,8,0
AQU,5,20210326,122000,16.9,16.9,16.9,16.9,5,0
AQU,5,20210326,153000,16.9,16.9,16.9,16.9,120,0
