<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ARE,5,20210204,090500,1.42,1.43,1.42,1.43,1000,0
ARE,5,20210204,094500,1.42,1.44,1.42,1.44,1850,0
ARE,5,20210204,110500,1.36,1.36,1.36,1.36,1000,0
ARE,5,20210204,112000,1.35,1.35,1.35,1.35,1000,0
ARE,5,20210204,115500,1.33,1.33,1.33,1.33,2000,0
ARE,5,20210204,125000,1.33,1.39,1.33,1.39,1150,0
ARE,5,20210204,130500,1.35,1.35,1.35,1.35,4000,0
ARE,5,20210205,090000,1.4,1.44,1.4,1.44,1000,0
ARE,5,20210205,095500,1.35,1.35,1.3,1.3,3889,0
ARE,5,20210205,100500,1.3,1.3,1.3,1.3,3671,0
ARE,5,20210205,102000,1.3,1.3,1.3,1.3,329,0
ARE,5,20210205,112000,1.3,1.3,1.3,1.3,671,0
ARE,5,20210205,121000,1.27,1.27,1.2,1.2,6600,0
ARE,5,20210205,122000,1.2,1.21,1.2,1.21,2806,0
ARE,5,20210205,123000,1.2,1.34,1.15,1.34,4760,0
ARE,5,20210205,123500,1.3,1.3,1.2,1.2,4150,0
ARE,5,20210205,124000,1.3,1.33,1.3,1.33,1000,0
ARE,5,20210205,124500,1.33,1.34,1.33,1.34,1000,0
ARE,5,20210205,130500,1.32,1.33,1.32,1.33,2000,0
ARE,5,20210205,133000,1.32,1.34,1.25,1.34,4800,0
ARE,5,20210205,133500,1.34,1.34,1.34,1.34,1000,0
ARE,5,20210205,135000,1.3,1.34,1.3,1.34,1000,0
ARE,5,20210205,135500,1.34,1.34,1.34,1.34,1000,0
ARE,5,20210205,140500,1.25,1.25,1.24,1.24,3100,0
ARE,5,20210205,141000,1.3,1.33,1.3,1.33,1000,0
ARE,5,20210205,142000,1.26,1.33,1.24,1.33,2832,0
ARE,5,20210205,142500,1.33,1.34,1.33,1.34,1000,0
ARE,5,20210205,145500,1.24,1.24,1.23,1.23,2084,0
ARE,5,20210205,150500,1.23,1.23,1.23,1.23,1916,0
ARE,5,20210205,151000,1.3,1.33,1.3,1.33,2000,0
ARE,5,20210205,151500,1.25,1.25,1.25,1.25,800,0
ARE,5,20210205,152500,1.3,1.3,1.29,1.3,5000,0
ARE,5,20210205,153000,1.3,1.34,1.3,1.34,2500,0
ARE,5,20210205,154500,1.25,1.35,1.25,1.35,2980,0
ARE,5,20210205,155000,1.3,1.35,1.3,1.35,1000,0
ARE,5,20210205,160500,1.35,1.36,1.35,1.36,1000,0
ARE,5,20210205,161000,1.36,1.37,1.36,1.37,1000,0
ARE,5,20210205,163000,1.37,1.39,1.37,1.39,2000,0
ARE,5,20210205,164500,1.4,1.4,1.4,1.4,1000,0
ARE,5,20210208,091000,1.4,1.4,1.4,1.4,2800,0
ARE,5,20210208,091500,1.4,1.42,1.4,1.42,2000,0
ARE,5,20210208,093000,1.38,1.38,1.38,1.38,820,0
ARE,5,20210208,111500,1.4,1.4,1.4,1.4,1000,0
ARE,5,20210208,132000,1.4,1.4,1.4,1.4,1000,0
ARE,5,20210208,164000,1.33,1.33,1.33,1.33,2000,0
ARE,5,20210209,092000,1.4,1.4,1.4,1.4,1000,0
ARE,5,20210209,094000,1.38,1.38,1.38,1.38,1000,0
ARE,5,20210209,095000,1.36,1.36,1.36,1.36,1000,0
ARE,5,20210209,104500,1.33,1.33,1.31,1.31,5020,0
ARE,5,20210209,110000,1.31,1.31,1.31,1.31,900,0
ARE,5,20210209,112500,1.35,1.37,1.35,1.37,1000,0
ARE,5,20210210,090000,1.37,1.37,1.37,1.37,1000,0
ARE,5,20210210,091000,1.37,1.39,1.37,1.39,1000,0
ARE,5,20210210,145000,1.33,1.33,1.32,1.32,3000,0
ARE,5,20210210,150500,1.35,1.35,1.35,1.35,1000,0
ARE,5,20210210,153500,1.32,1.32,1.32,1.32,1012,0
ARE,5,20210210,155500,1.37,1.38,1.37,1.38,1000,0
ARE,5,20210211,090000,1.33,1.33,1.33,1.33,20,0
ARE,5,20210211,092500,1.38,1.38,1.38,1.38,1000,0
ARE,5,20210211,093500,1.38,1.38,1.38,1.38,950,0
ARE,5,20210211,101500,1.37,1.37,1.37,1.37,1000,0
ARE,5,20210211,121500,1.38,1.39,1.38,1.39,1000,0
ARE,5,20210211,140500,1.38,1.38,1.38,1.38,50,0
ARE,5,20210211,150000,1.34,1.34,1.34,1.34,2000,0
ARE,5,20210211,153000,1.39,1.39,1.39,1.39,1000,0
ARE,5,20210212,090000,1.37,1.38,1.37,1.38,1370,0
ARE,5,20210212,090500,1.38,1.38,1.38,1.38,1000,0
ARE,5,20210212,091000,1.38,1.39,1.38,1.39,1000,0
ARE,5,20210212,102000,1.37,1.37,1.33,1.33,868,0
ARE,5,20210212,113500,1.37,1.38,1.37,1.38,1000,0
ARE,5,20210212,133000,1.33,1.33,1.33,1.33,2000,0
ARE,5,20210212,133500,1.35,1.35,1.35,1.35,1000,0
ARE,5,20210212,134000,1.35,1.37,1.35,1.37,1000,0
ARE,5,20210212,134500,1.37,1.39,1.37,1.39,1000,0
ARE,5,20210212,152000,1.37,1.38,1.37,1.38,1000,0
ARE,5,20210212,155500,1.37,1.38,1.37,1.38,1000,0
ARE,5,20210215,090000,1.39,1.39,1.39,1.39,1000,0
ARE,5,20210215,091000,1.38,1.38,1.38,1.38,800,0
ARE,5,20210215,111000,1.33,1.33,1.33,1.33,1200,0
ARE,5,20210215,122000,1.35,1.35,1.35,1.35,1000,0
ARE,5,20210215,131500,1.35,1.37,1.35,1.37,1000,0
ARE,5,20210215,153000,1.36,1.36,1.36,1.36,2000,0
ARE,5,20210215,153500,1.37,1.38,1.37,1.38,1467,0
ARE,5,20210216,090000,1.39,1.39,1.39,1.39,1000,0
ARE,5,20210216,092000,1.33,1.33,1.31,1.31,1500,0
ARE,5,20210216,092500,1.31,1.31,1.31,1.31,1059,0
ARE,5,20210216,093000,1.37,1.37,1.37,1.37,1000,0
ARE,5,20210216,110000,1.31,1.31,1.31,1.31,2599,0
ARE,5,20210216,111000,1.31,1.35,1.31,1.35,1000,0
ARE,5,20210216,135500,1.31,1.31,1.3,1.3,1000,0
ARE,5,20210216,144500,1.35,1.36,1.35,1.36,1000,0
ARE,5,20210216,162000,1.36,1.37,1.36,1.37,1000,0
ARE,5,20210217,090000,1.37,1.37,1.37,1.37,1000,0
ARE,5,20210217,091500,1.37,1.38,1.37,1.38,1000,0
ARE,5,20210217,093500,1.31,1.31,1.31,1.31,20,0
ARE,5,20210217,094500,1.31,1.31,1.31,1.31,49,0
ARE,5,20210217,102000,1.38,1.39,1.38,1.39,1000,0
ARE,5,20210217,140000,1.39,1.39,1.39,1.39,1000,0
ARE,5,20210217,142000,1.33,1.33,1.33,1.33,2000,0
ARE,5,20210217,142500,1.31,1.31,1.31,1.31,2021,0
ARE,5,20210217,144000,1.35,1.39,1.35,1.39,1000,0
ARE,5,20210217,161500,1.31,1.31,1.31,1.31,2500,0
ARE,5,20210218,091500,1.31,1.33,1.31,1.33,2371,0
ARE,5,20210218,093500,1.35,1.39,1.35,1.39,1000,0
ARE,5,20210218,150500,1.35,1.35,1.35,1.35,200,0
ARE,5,20210218,151000,1.35,1.35,1.35,1.35,1000,0
ARE,5,20210218,160000,1.35,1.35,1.35,1.35,450,0
ARE,5,20210219,090500,1.33,1.35,1.33,1.35,2900,0
ARE,5,20210219,091000,1.35,1.35,1.35,1.35,900,0
ARE,5,20210219,093000,1.35,1.37,1.35,1.37,1000,0
ARE,5,20210219,094000,1.34,1.34,1.34,1.34,100,0
ARE,5,20210219,111000,1.34,1.34,1.34,1.34,150,0
ARE,5,20210219,125000,1.34,1.34,1.34,1.34,2750,0
ARE,5,20210219,142000,1.37,1.37,1.37,1.37,1000,0
ARE,5,20210222,090000,1.37,1.37,1.35,1.35,3010,0
