<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ARG,5,20210204,090000,2.21,2.21,2.21,2.21,3764,0
ARG,5,20210204,091000,2.27,2.27,2.27,2.27,50,0
ARG,5,20210204,101500,2.21,2.21,2.21,2.21,500,0
ARG,5,20210204,114000,2.22,2.22,2.22,2.22,1000,0
ARG,5,20210204,115500,2.21,2.21,2.21,2.21,321,0
ARG,5,20210204,124000,2.21,2.21,2.2,2.2,2265,0
ARG,5,20210204,130500,2.24,2.24,2.24,2.24,110,0
ARG,5,20210204,131000,2.2,2.2,2.2,2.2,889,0
ARG,5,20210204,132000,2.2,2.21,2.2,2.21,1686,0
ARG,5,20210204,133000,2.24,2.24,2.24,2.24,5,0
ARG,5,20210204,141500,2.23,2.23,2.23,2.23,450,0
ARG,5,20210204,142500,2.24,2.24,2.24,2.24,495,0
ARG,5,20210204,150000,2.25,2.25,2.23,2.23,850,0
ARG,5,20210204,155500,2.22,2.22,2.22,2.22,500,0
ARG,5,20210204,161500,2.25,2.25,2.25,2.25,730,0
ARG,5,20210204,162500,2.26,2.26,2.26,2.26,200,0
ARG,5,20210204,163500,2.26,2.26,2.21,2.21,500,0
ARG,5,20210204,164500,2.27,2.27,2.27,2.27,6,0
ARG,5,20210205,090000,2.31,2.31,2.31,2.31,75,0
ARG,5,20210205,090500,2.31,2.31,2.31,2.31,410,0
ARG,5,20210205,092500,2.28,2.28,2.28,2.28,300,0
ARG,5,20210205,093500,2.3,2.3,2.3,2.3,70,0
ARG,5,20210205,100000,2.29,2.29,2.29,2.29,240,0
ARG,5,20210205,102000,2.3,2.3,2.3,2.3,300,0
ARG,5,20210205,104500,2.24,2.24,2.24,2.24,5,0
ARG,5,20210205,112500,2.3,2.3,2.3,2.3,630,0
ARG,5,20210205,113000,2.31,2.31,2.31,2.31,110,0
ARG,5,20210205,121000,2.31,2.34,2.31,2.34,1261,0
ARG,5,20210205,123000,2.33,2.38,2.33,2.38,386,0
ARG,5,20210205,124000,2.34,2.34,2.34,2.34,100,0
ARG,5,20210205,125500,2.34,2.34,2.34,2.34,360,0
ARG,5,20210205,130000,2.38,2.38,2.38,2.38,640,0
ARG,5,20210208,090000,2.4,2.4,2.4,2.4,2050,0
ARG,5,20210208,091000,2.39,2.4,2.39,2.4,1510,0
ARG,5,20210208,091500,2.37,2.37,2.37,2.37,100,0
ARG,5,20210208,092000,2.41,2.41,2.41,2.41,413,0
ARG,5,20210208,093000,2.37,2.39,2.37,2.39,1775,0
ARG,5,20210208,100500,2.37,2.4,2.37,2.4,436,0
ARG,5,20210208,101000,2.37,2.37,2.37,2.37,1627,0
ARG,5,20210208,103000,2.37,2.37,2.37,2.37,50,0
ARG,5,20210208,104500,2.37,2.37,2.37,2.37,19,0
ARG,5,20210208,111500,2.37,2.37,2.37,2.37,120,0
ARG,5,20210208,124000,2.36,2.36,2.36,2.36,5000,0
