<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ASA,5,20210204,090000,0.142,0.142,0.137,0.137,143320,0
ASA,5,20210204,090500,0.138,0.15,0.138,0.15,259234,0
ASA,5,20210204,091000,0.15,0.151,0.144,0.144,273165,0
ASA,5,20210204,091500,0.148,0.148,0.148,0.148,30152,0
ASA,5,20210204,092000,0.145,0.145,0.142,0.145,194104,0
ASA,5,20210204,092500,0.148,0.148,0.148,0.148,1800,0
ASA,5,20210204,093000,0.147,0.147,0.142,0.146,62378,0
ASA,5,20210204,093500,0.144,0.144,0.139,0.14,682823,0
ASA,5,20210204,094000,0.142,0.142,0.142,0.142,17440,0
ASA,5,20210204,094500,0.14,0.142,0.139,0.139,416899,0
ASA,5,20210204,095000,0.14,0.14,0.14,0.14,7000,0
ASA,5,20210204,095500,0.14,0.14,0.136,0.136,91318,0
ASA,5,20210204,100000,0.136,0.138,0.135,0.138,421108,0
ASA,5,20210204,100500,0.138,0.141,0.138,0.14,90626,0
ASA,5,20210204,101000,0.14,0.14,0.138,0.138,64875,0
ASA,5,20210204,101500,0.141,0.141,0.141,0.141,58000,0
ASA,5,20210204,102000,0.141,0.141,0.139,0.139,43355,0
ASA,5,20210204,102500,0.139,0.14,0.139,0.14,69915,0
ASA,5,20210204,103000,0.14,0.14,0.14,0.14,5000,0
ASA,5,20210204,103500,0.141,0.141,0.141,0.141,402,0
ASA,5,20210204,104500,0.14,0.141,0.138,0.141,32000,0
ASA,5,20210204,110000,0.14,0.14,0.14,0.14,6000,0
ASA,5,20210204,110500,0.14,0.14,0.138,0.138,147000,0
ASA,5,20210204,111000,0.139,0.139,0.138,0.138,6000,0
ASA,5,20210204,111500,0.139,0.139,0.139,0.139,8000,0
ASA,5,20210204,112500,0.14,0.14,0.14,0.14,111,0
ASA,5,20210204,113000,0.139,0.139,0.137,0.137,42761,0
ASA,5,20210204,113500,0.14,0.14,0.14,0.14,17487,0
ASA,5,20210204,114000,0.14,0.14,0.14,0.14,9282,0
ASA,5,20210204,114500,0.14,0.141,0.14,0.141,13546,0
ASA,5,20210204,115000,0.137,0.14,0.137,0.14,361,0
ASA,5,20210204,120000,0.14,0.14,0.14,0.14,140000,0
ASA,5,20210204,121000,0.141,0.141,0.141,0.141,5000,0
ASA,5,20210204,121500,0.141,0.142,0.141,0.142,39800,0
ASA,5,20210204,122000,0.142,0.142,0.142,0.142,55844,0
ASA,5,20210204,122500,0.141,0.142,0.139,0.142,26111,0
ASA,5,20210204,123000,0.142,0.142,0.142,0.142,10000,0
ASA,5,20210204,123500,0.142,0.143,0.142,0.143,84895,0
ASA,5,20210204,124000,0.143,0.143,0.142,0.142,101188,0
ASA,5,20210204,124500,0.142,0.142,0.142,0.142,3000,0
ASA,5,20210204,125000,0.141,0.142,0.141,0.141,18089,0
ASA,5,20210204,130500,0.141,0.141,0.139,0.139,284125,0
ASA,5,20210204,131500,0.139,0.139,0.134,0.134,586263,0
ASA,5,20210204,132000,0.14,0.14,0.138,0.138,6125,0
ASA,5,20210204,132500,0.138,0.138,0.138,0.138,2100,0
ASA,5,20210204,133000,0.138,0.138,0.138,0.138,2020,0
ASA,5,20210204,133500,0.135,0.135,0.135,0.135,5000,0
ASA,5,20210204,134000,0.138,0.138,0.138,0.138,10272,0
ASA,5,20210204,140000,0.139,0.139,0.139,0.139,1500,0
ASA,5,20210204,140500,0.139,0.139,0.139,0.139,4000,0
ASA,5,20210204,141000,0.139,0.139,0.139,0.139,4500,0
ASA,5,20210204,142500,0.139,0.139,0.137,0.137,59000,0
ASA,5,20210204,143000,0.137,0.137,0.136,0.136,15000,0
ASA,5,20210204,144000,0.14,0.14,0.14,0.14,78,0
ASA,5,20210204,145000,0.14,0.14,0.14,0.14,50,0
ASA,5,20210204,145500,0.14,0.14,0.14,0.14,7747,0
ASA,5,20210204,150000,0.14,0.14,0.14,0.14,3553,0
ASA,5,20210204,150500,0.137,0.137,0.137,0.137,50,0
ASA,5,20210204,151000,0.137,0.137,0.136,0.136,371395,0
ASA,5,20210204,151500,0.137,0.141,0.137,0.141,21897,0
ASA,5,20210204,152000,0.141,0.141,0.141,0.141,4989,0
ASA,5,20210204,155000,0.141,0.141,0.141,0.141,11070,0
