<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ASP,5,20210205,150000,0.119,0.119,0.119,0.119,100,0
ASP,5,20210208,150000,0.12,0.12,0.12,0.12,88120,0
ASP,5,20210210,110000,0.1,0.1,0.1,0.1,663,0
ASP,5,20210212,110000,0.11,0.11,0.11,0.11,10,0
ASP,5,20210222,110000,0.19,0.19,0.19,0.19,2938,0
ASP,5,20210222,111500,0.19,0.19,0.19,0.19,2000,0
ASP,5,20210222,112500,0.19,0.19,0.19,0.19,2088,0
ASP,5,20210222,150000,0.212,0.212,0.212,0.212,2278,0
ASP,5,20210223,152000,0.294,0.294,0.294,0.294,3688,0
ASP,5,20210224,110000,0.24,0.24,0.24,0.24,22620,0
ASP,5,20210224,112500,0.24,0.24,0.24,0.24,500,0
ASP,5,20210224,150000,0.244,0.244,0.244,0.244,500,0
ASP,5,20210225,110000,0.3,0.3,0.3,0.3,26190,0
ASP,5,20210225,110500,0.3,0.3,0.3,0.3,1000,0
ASP,5,20210225,150000,0.36,0.36,0.36,0.36,500,0
ASP,5,20210226,110000,0.35,0.35,0.35,0.35,6973,0
ASP,5,20210226,150000,0.346,0.346,0.346,0.346,1909,0
ASP,5,20210301,110000,0.3,0.3,0.3,0.3,740,0
ASP,5,20210301,110500,0.3,0.3,0.3,0.3,17000,0
ASP,5,20210301,111000,0.3,0.3,0.3,0.3,332,0
ASP,5,20210301,111500,0.3,0.3,0.3,0.3,1178,0
ASP,5,20210301,150000,0.26,0.26,0.26,0.26,1500,0
ASP,5,20210301,151500,0.26,0.26,0.26,0.26,7000,0
ASP,5,20210302,110000,0.3,0.3,0.3,0.3,1800,0
ASP,5,20210302,110500,0.3,0.3,0.3,0.3,29021,0
ASP,5,20210302,111000,0.3,0.3,0.3,0.3,3648,0
ASP,5,20210302,150000,0.34,0.34,0.34,0.34,35627,0
ASP,5,20210302,150500,0.34,0.34,0.34,0.34,2215,0
