<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ASR,5,20210204,090500,0.392,0.392,0.392,0.392,4000,0
ASR,5,20210204,105000,0.394,0.394,0.394,0.394,4000,0
ASR,5,20210204,105500,0.392,0.392,0.392,0.392,8150,0
ASR,5,20210204,164500,0.41,0.41,0.41,0.41,80,0
ASR,5,20210208,115500,0.394,0.394,0.394,0.394,500,0
ASR,5,20210208,120500,0.394,0.394,0.394,0.394,746,0
ASR,5,20210208,152000,0.41,0.41,0.41,0.41,800,0
ASR,5,20210208,164500,0.41,0.41,0.41,0.41,6500,0
ASR,5,20210209,090000,0.41,0.41,0.41,0.41,5106,0
ASR,5,20210209,112000,0.41,0.41,0.41,0.41,3994,0
ASR,5,20210209,141000,0.42,0.432,0.42,0.432,10020,0
ASR,5,20210209,153500,0.432,0.432,0.432,0.432,2100,0
ASR,5,20210210,100500,0.41,0.41,0.41,0.41,5000,0
ASR,5,20210210,102000,0.432,0.432,0.432,0.432,150,0
ASR,5,20210210,151000,0.432,0.436,0.432,0.436,5000,0
ASR,5,20210210,153500,0.436,0.44,0.436,0.44,1050,0
ASR,5,20210211,102000,0.432,0.432,0.432,0.432,450,0
ASR,5,20210211,111500,0.432,0.432,0.432,0.432,50,0
ASR,5,20210211,112500,0.43,0.43,0.43,0.43,1500,0
ASR,5,20210211,123500,0.43,0.432,0.43,0.432,6300,0
ASR,5,20210216,090000,0.438,0.442,0.438,0.442,12500,0
ASR,5,20210216,093000,0.434,0.434,0.432,0.432,25000,0
ASR,5,20210216,094000,0.432,0.432,0.432,0.432,1300,0
ASR,5,20210216,105000,0.432,0.432,0.432,0.432,20,0
ASR,5,20210216,113500,0.42,0.42,0.42,0.42,329,0
ASR,5,20210216,121500,0.42,0.42,0.42,0.42,1000,0
ASR,5,20210216,142500,0.412,0.412,0.408,0.408,5282,0
ASR,5,20210216,143000,0.408,0.436,0.406,0.436,1010,0
ASR,5,20210216,150000,0.434,0.436,0.434,0.436,2100,0
ASR,5,20210216,160500,0.402,0.402,0.402,0.402,14388,0
ASR,5,20210216,161000,0.4,0.436,0.398,0.436,1215,0
ASR,5,20210217,101000,0.408,0.408,0.402,0.402,5300,0
ASR,5,20210217,110000,0.428,0.428,0.428,0.428,100,0
ASR,5,20210217,115500,0.404,0.404,0.404,0.404,1100,0
ASR,5,20210217,132500,0.42,0.428,0.42,0.428,9602,0
ASR,5,20210217,160500,0.42,0.42,0.42,0.42,1000,0
ASR,5,20210217,162000,0.428,0.428,0.428,0.428,5000,0
