<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ATA,5,20210204,090500,5.4,5.5,5.4,5.5,600,0
ATA,5,20210204,100000,5.6,5.8,5.6,5.8,100,0
ATA,5,20210204,102000,5.8,5.8,5.8,5.8,60,0
ATA,5,20210204,103000,5.8,5.8,5.8,5.8,40,0
ATA,5,20210204,112500,5.7,5.7,5.5,5.5,910,0
ATA,5,20210204,122500,5.4,5.4,5.2,5.2,74,0
ATA,5,20210204,123000,5.5,5.5,5.5,5.5,100,0
ATA,5,20210204,131000,5.5,5.55,5.5,5.55,472,0
ATA,5,20210204,143000,5.6,5.6,5.6,5.6,144,0
ATA,5,20210204,144500,5.6,5.6,5.6,5.6,30,0
ATA,5,20210204,164000,5.55,5.55,5.5,5.5,397,0
ATA,5,20210205,090000,5.5,5.5,5.5,5.5,100,0
ATA,5,20210205,095000,5.3,5.3,5.3,5.3,50,0
ATA,5,20210205,105500,5.3,5.3,5.3,5.3,180,0
ATA,5,20210205,135000,5.35,5.35,5.35,5.35,200,0
ATA,5,20210208,154000,5.3,5.3,5.3,5.3,134,0
ATA,5,20210209,091000,5.45,5.45,5.45,5.45,200,0
ATA,5,20210209,134500,5.5,5.5,5.5,5.5,50,0
ATA,5,20210210,091000,5.5,5.5,5.5,5.5,35,0
ATA,5,20210210,110500,5.5,5.5,5.5,5.5,150,0
ATA,5,20210210,111500,5.5,5.5,5.5,5.5,190,0
ATA,5,20210210,140500,5.55,5.55,5.55,5.55,200,0
ATA,5,20210211,105500,5.55,5.55,5.55,5.55,375,0
ATA,5,20210212,092500,5.55,5.55,5.55,5.55,174,0
ATA,5,20210212,093500,5.65,5.65,5.65,5.65,100,0
ATA,5,20210212,094000,5.55,5.55,5.55,5.55,201,0
ATA,5,20210212,104000,5.65,5.7,5.65,5.7,500,0
ATA,5,20210212,105500,5.7,6,5.7,6,5000,0
ATA,5,20210212,121000,6,6,6,6,250,0
ATA,5,20210212,135000,5.8,5.8,5.6,5.6,1029,0
ATA,5,20210212,144500,5.8,6,5.8,6,220,0
ATA,5,20210212,145000,5.75,5.75,5.3,5.3,540,0
ATA,5,20210212,152000,6,6,6,6,79,0
ATA,5,20210212,164000,5.6,5.6,5.6,5.6,50,0
ATA,5,20210215,093500,5.8,6,5.8,6,450,0
ATA,5,20210215,094000,5.8,5.8,5.8,5.8,149,0
ATA,5,20210215,114000,5.8,5.8,5.8,5.8,50,0
ATA,5,20210215,115500,5.9,5.9,5.9,5.9,1000,0
ATA,5,20210215,125000,6,6,6,6,200,0
ATA,5,20210215,125500,6,6,6,6,1033,0
ATA,5,20210215,133000,6,6,6,6,847,0
ATA,5,20210215,141000,6,6.4,6,6.4,4660,0
ATA,5,20210215,141500,6.4,6.85,6.4,6.85,5062,0
ATA,5,20210215,142000,6.7,6.7,6.7,6.7,1200,0
ATA,5,20210215,142500,6.7,6.75,6.7,6.75,1724,0
ATA,5,20210215,143000,6.75,6.9,6.75,6.85,2671,0
ATA,5,20210215,143500,6.9,6.95,6.5,6.85,6413,0
ATA,5,20210215,144000,6.9,6.9,6.9,6.9,525,0
ATA,5,20210215,144500,6.75,6.8,6.75,6.8,1421,0
ATA,5,20210215,145000,6.8,6.8,6.8,6.8,10,0
ATA,5,20210215,150000,6.6,6.6,6.6,6.6,75,0
ATA,5,20210215,153000,6.6,6.6,6.6,6.6,400,0
ATA,5,20210215,153500,6.7,6.7,6.7,6.7,100,0
ATA,5,20210215,155000,6.8,6.8,6.8,6.8,1758,0
ATA,5,20210215,155500,6.85,6.85,6.85,6.85,500,0
ATA,5,20210215,160000,6.9,6.9,6.9,6.9,575,0
ATA,5,20210215,160500,6.9,6.95,6.9,6.95,75,0
ATA,5,20210215,161000,6.9,6.9,6.85,6.85,1100,0
ATA,5,20210215,163000,6.85,6.9,6.85,6.9,400,0
ATA,5,20210215,163500,6.9,6.9,6.9,6.9,200,0
ATA,5,20210215,164000,6.8,6.8,6.8,6.8,30,0
ATA,5,20210216,090000,6.65,6.65,6.65,6.65,1323,0
ATA,5,20210216,090500,6.85,6.85,6.85,6.85,27,0
ATA,5,20210216,091000,6.5,6.5,6.5,6.5,375,0
ATA,5,20210216,091500,6.5,6.65,6.4,6.65,594,0
ATA,5,20210216,093000,6.6,6.7,6.6,6.7,1333,0
ATA,5,20210216,093500,6.7,6.7,6.7,6.7,315,0
ATA,5,20210216,094000,6.7,6.7,6.7,6.7,1100,0
ATA,5,20210216,095000,6.8,6.8,6.8,6.8,200,0
ATA,5,20210216,101000,6.8,6.8,6.8,6.8,10,0
ATA,5,20210216,111500,6.75,6.75,6.75,6.75,300,0
ATA,5,20210216,112500,6.75,6.75,6.75,6.75,111,0
ATA,5,20210216,115000,6.75,6.75,6.75,6.75,89,0
ATA,5,20210216,120500,6.8,6.8,6.8,6.8,500,0
ATA,5,20210216,124500,6.75,6.75,6.75,6.75,100,0
ATA,5,20210216,133000,6.75,6.75,6.75,6.75,600,0
ATA,5,20210216,143500,6.75,6.75,6.75,6.75,1900,0
ATA,5,20210216,152500,6.75,6.75,6.75,6.75,153,0
ATA,5,20210216,162500,6.75,6.75,6.75,6.75,158,0
ATA,5,20210216,163500,6.7,6.7,6.7,6.7,33,0
ATA,5,20210216,164500,6.7,6.7,6.7,6.7,96,0
ATA,5,20210217,091500,6.7,6.75,6.7,6.75,200,0
ATA,5,20210217,095000,6.75,6.75,6.75,6.75,722,0
ATA,5,20210217,100000,6.75,6.75,6.75,6.75,130,0
ATA,5,20210217,101000,6.8,6.8,6.8,6.8,13,0
ATA,5,20210217,110000,6.75,6.8,6.75,6.8,110,0
ATA,5,20210217,111500,6.9,6.9,6.9,6.9,108,0
ATA,5,20210217,114000,6.8,6.8,6.8,6.8,190,0
ATA,5,20210217,163500,6.8,6.8,6.8,6.8,160,0
ATA,5,20210217,164500,6.8,6.8,6.8,6.8,140,0
ATA,5,20210218,123500,6.4,6.4,6.4,6.4,400,0
ATA,5,20210218,151500,6.4,6.4,6.4,6.4,67,0
ATA,5,20210218,152000,6.3,6.3,6.3,6.3,93,0
ATA,5,20210218,162000,6.3,6.3,6.3,6.3,450,0
