<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ATJ,5,20210209,110000,6.87,6.87,6,6.15,51382,0
ATJ,5,20210209,110500,6.15,6.301,5.66,5.9,28695,0
ATJ,5,20210209,111000,5.9,5.9,5.65,5.7,14468,0
ATJ,5,20210209,111500,5.79,5.79,5.52,5.63,10860,0
ATJ,5,20210209,112000,5.65,5.74,5.62,5.73,12545,0
ATJ,5,20210209,112500,5.73,5.95,5.71,5.71,20305,0
ATJ,5,20210209,113000,5.797,5.92,5.797,5.84,10879,0
ATJ,5,20210209,113500,5.84,5.84,5.651,5.7,9992,0
ATJ,5,20210209,114000,5.7,5.7,5.68,5.68,1675,0
ATJ,5,20210209,114500,5.66,5.7,5.653,5.7,3250,0
ATJ,5,20210209,115000,5.7,5.759,5.653,5.653,6830,0
ATJ,5,20210209,115500,5.653,5.7,5.6,5.6,26107,0
ATJ,5,20210209,120000,5.6,5.69,5.56,5.69,2950,0
ATJ,5,20210209,120500,5.68,5.72,5.6,5.715,3049,0
ATJ,5,20210209,121000,5.715,5.76,5.7,5.76,5560,0
ATJ,5,20210209,121500,5.75,5.754,5.75,5.75,3200,0
ATJ,5,20210209,122000,5.75,5.75,5.72,5.72,862,0
ATJ,5,20210209,122500,5.71,5.71,5.65,5.71,1184,0
ATJ,5,20210209,123000,5.65,5.69,5.611,5.69,2881,0
ATJ,5,20210209,123500,5.697,5.697,5.69,5.69,94,0
ATJ,5,20210209,124000,5.62,5.699,5.62,5.699,2000,0
ATJ,5,20210209,124500,5.699,5.699,5.69,5.69,460,0
ATJ,5,20210209,125000,5.69,5.7,5.69,5.7,1810,0
ATJ,5,20210209,125500,5.699,5.699,5.65,5.699,2852,0
ATJ,5,20210209,130000,5.69,5.69,5.63,5.689,1967,0
ATJ,5,20210209,130500,5.689,5.69,5.66,5.66,663,0
ATJ,5,20210209,131000,5.658,5.658,5.658,5.658,600,0
ATJ,5,20210209,131500,5.659,5.659,5.572,5.572,3090,0
ATJ,5,20210209,132000,5.572,5.572,5.501,5.501,5112,0
ATJ,5,20210209,132500,5.51,5.569,5.51,5.569,1490,0
ATJ,5,20210209,133000,5.569,5.6,5.569,5.6,6835,0
ATJ,5,20210209,133500,5.599,5.659,5.599,5.659,3810,0
ATJ,5,20210209,134000,5.658,5.658,5.55,5.6,3660,0
ATJ,5,20210209,134500,5.6,5.6,5.6,5.6,193,0
ATJ,5,20210209,135000,5.6,5.6,5.55,5.6,1244,0
