<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AVE,5,20210204,090000,1.44,1.44,1.44,1.44,2500,0
AVE,5,20210204,094000,1.44,1.46,1.44,1.46,10265,0
AVE,5,20210204,100000,1.45,1.45,1.44,1.44,5000,0
AVE,5,20210204,100500,1.44,1.46,1.44,1.46,870,0
AVE,5,20210204,102000,1.44,1.44,1.36,1.36,13753,0
AVE,5,20210204,102500,1.36,1.36,1.36,1.36,2146,0
AVE,5,20210204,103000,1.36,1.45,1.36,1.45,229,0
AVE,5,20210204,111500,1.43,1.44,1.43,1.44,3900,0
AVE,5,20210204,120500,1.4,1.4,1.39,1.39,150,0
AVE,5,20210204,122000,1.43,1.43,1.43,1.43,500,0
AVE,5,20210204,132000,1.43,1.43,1.43,1.43,500,0
AVE,5,20210204,134000,1.43,1.44,1.43,1.44,12330,0
AVE,5,20210204,143500,1.43,1.43,1.43,1.43,1000,0
AVE,5,20210204,150500,1.43,1.43,1.43,1.43,200,0
AVE,5,20210204,151500,1.4,1.4,1.4,1.4,360,0
AVE,5,20210204,160000,1.43,1.43,1.43,1.43,3,0
AVE,5,20210204,161000,1.41,1.41,1.41,1.41,200,0
AVE,5,20210204,163000,1.41,1.41,1.41,1.41,260,0
AVE,5,20210204,164500,1.41,1.41,1.41,1.41,9344,0
AVE,5,20210205,090000,1.48,1.5,1.48,1.5,1078,0
AVE,5,20210205,090500,1.48,1.6,1.48,1.6,12000,0
AVE,5,20210205,091000,1.55,1.6,1.55,1.55,8007,0
AVE,5,20210205,091500,1.55,1.7,1.55,1.7,10704,0
AVE,5,20210205,092000,1.65,1.77,1.65,1.7,47751,0
AVE,5,20210205,092500,1.71,1.71,1.71,1.71,9996,0
AVE,5,20210205,093000,1.72,1.73,1.72,1.72,1850,0
AVE,5,20210205,093500,1.72,1.72,1.72,1.72,5200,0
AVE,5,20210205,094000,1.72,1.72,1.65,1.65,1690,0
AVE,5,20210205,094500,1.65,1.65,1.65,1.65,1700,0
AVE,5,20210205,095000,1.6,1.69,1.6,1.69,2110,0
AVE,5,20210205,095500,1.55,1.55,1.55,1.55,2296,0
AVE,5,20210205,100000,1.56,1.68,1.56,1.68,16,0
AVE,5,20210205,100500,1.58,1.58,1.56,1.56,2999,0
