<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AVT,5,20210204,091000,1.35,1.39,1.35,1.39,329,0
AVT,5,20210204,091500,1.35,1.35,1.35,1.35,2200,0
AVT,5,20210204,092500,1.34,1.34,1.31,1.32,8680,0
AVT,5,20210204,093000,1.3,1.31,1.3,1.3,5598,0
AVT,5,20210204,093500,1.3,1.3,1.3,1.3,1250,0
AVT,5,20210204,094000,1.35,1.35,1.35,1.35,1098,0
AVT,5,20210204,095500,1.35,1.35,1.35,1.35,1902,0
AVT,5,20210204,100000,1.33,1.33,1.33,1.33,452,0
AVT,5,20210204,102000,1.35,1.36,1.35,1.36,13,0
AVT,5,20210204,102500,1.36,1.39,1.35,1.39,2458,0
AVT,5,20210204,110000,1.34,1.34,1.34,1.34,1010,0
AVT,5,20210204,110500,1.34,1.34,1.34,1.34,2390,0
AVT,5,20210204,112000,1.33,1.33,1.33,1.33,610,0
AVT,5,20210204,112500,1.37,1.37,1.37,1.37,1,0
AVT,5,20210204,115000,1.34,1.34,1.34,1.34,4000,0
AVT,5,20210204,121500,1.34,1.34,1.34,1.34,15,0
AVT,5,20210204,122000,1.33,1.33,1.3,1.32,13000,0
AVT,5,20210204,123000,1.32,1.32,1.3,1.3,1101,0
AVT,5,20210204,123500,1.3,1.3,1.3,1.3,4000,0
AVT,5,20210204,124500,1.3,1.36,1.3,1.3,10399,0
AVT,5,20210204,125000,1.3,1.3,1.3,1.3,6500,0
AVT,5,20210204,131000,1.3,1.3,1.3,1.3,7545,0
AVT,5,20210204,132000,1.29,1.29,1.29,1.29,10045,0
AVT,5,20210204,134500,1.36,1.36,1.28,1.33,4550,0
AVT,5,20210204,135000,1.3,1.3,1.3,1.3,1000,0
AVT,5,20210204,140000,1.27,1.27,1.27,1.27,1000,0
AVT,5,20210204,140500,1.27,1.27,1.25,1.25,29000,0
AVT,5,20210204,142500,1.26,1.26,1.25,1.25,3256,0
AVT,5,20210204,143500,1.3,1.3,1.3,1.3,866,0
AVT,5,20210204,144000,1.3,1.3,1.3,1.3,1334,0
AVT,5,20210204,145000,1.28,1.28,1.25,1.25,5000,0
AVT,5,20210204,145500,1.25,1.25,1.25,1.25,2928,0
AVT,5,20210204,150500,1.28,1.3,1.25,1.3,610,0
AVT,5,20210204,160500,1.29,1.29,1.29,1.29,1100,0
AVT,5,20210204,161000,1.29,1.29,1.29,1.29,900,0
AVT,5,20210204,164000,1.3,1.3,1.3,1.3,1,0
AVT,5,20210205,090500,1.27,1.29,1.27,1.29,810,0
AVT,5,20210205,092500,1.29,1.29,1.29,1.29,103,0
AVT,5,20210205,093500,1.3,1.3,1.3,1.3,5301,0
AVT,5,20210205,100500,1.3,1.3,1.3,1.3,1000,0
