<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AZC,5,20210204,092500,3.3,3.3,3.3,3.3,302,0
AZC,5,20210204,095000,3.3,3.3,3.3,3.3,10,0
AZC,5,20210204,144000,3.26,3.26,3.26,3.26,1000,0
AZC,5,20210204,160000,3.24,3.24,3.24,3.24,225,0
AZC,5,20210205,093000,3.18,3.18,3.18,3.18,640,0
AZC,5,20210205,095000,3.18,3.18,3.18,3.18,500,0
AZC,5,20210205,100500,3.18,3.18,3.18,3.18,315,0
AZC,5,20210205,101000,3.18,3.18,3.18,3.18,1099,0
AZC,5,20210205,103000,3.18,3.18,3.18,3.18,1000,0
AZC,5,20210205,152000,3.18,3.18,3.18,3.18,1612,0
AZC,5,20210208,090000,3.18,3.2,3.18,3.2,1230,0
AZC,5,20210208,090500,3.2,3.4,3.2,3.4,150,0
AZC,5,20210208,103000,3.2,3.2,3.18,3.18,2500,0
AZC,5,20210208,145500,3.18,3.18,3.18,3.18,626,0
AZC,5,20210208,155500,3.18,3.18,3.18,3.18,313,0
AZC,5,20210208,161500,3.18,3.18,3.18,3.18,350,0
AZC,5,20210208,164500,3.18,3.18,3.18,3.18,281,0
AZC,5,20210209,090500,3.3,3.3,3.3,3.3,5,0
AZC,5,20210209,095000,3.18,3.3,3.18,3.3,900,0
AZC,5,20210209,100000,3.18,3.18,3.18,3.18,350,0
AZC,5,20210209,105500,3.3,3.3,3.18,3.18,1302,0
AZC,5,20210209,112000,3.18,3.18,3.18,3.18,1000,0
AZC,5,20210209,113500,3.18,3.18,3.18,3.18,1000,0
AZC,5,20210209,120000,3.18,3.18,3.18,3.18,2325,0
AZC,5,20210209,132000,3.3,3.44,3.3,3.44,493,0
AZC,5,20210209,161500,3.26,3.26,3.24,3.24,1099,0
AZC,5,20210210,090000,3.24,3.24,3.24,3.24,630,0
AZC,5,20210210,091000,3.4,3.4,3.4,3.4,72,0
AZC,5,20210210,114500,3.3,3.4,3.3,3.4,2500,0
AZC,5,20210210,134000,3.38,3.38,3.38,3.38,200,0
AZC,5,20210210,140500,3.34,3.34,3.34,3.34,350,0
AZC,5,20210210,161500,3.38,3.38,3.38,3.38,200,0
AZC,5,20210211,090000,3.38,3.46,3.38,3.46,1900,0
AZC,5,20210211,111000,3.44,3.46,3.3,3.3,788,0
AZC,5,20210211,112000,3.3,3.3,3.3,3.3,500,0
AZC,5,20210211,120500,3.3,3.3,3.3,3.3,610,0
AZC,5,20210211,121000,3.24,3.24,3.18,3.18,1590,0
AZC,5,20210211,121500,3.18,3.26,3.18,3.26,7672,0
AZC,5,20210211,135000,3.26,3.4,3.26,3.4,630,0
AZC,5,20210212,090000,3.2,3.36,3.16,3.36,1505,0
AZC,5,20210212,100000,3.36,3.4,3.36,3.4,2417,0
AZC,5,20210212,111000,3.36,3.54,3.36,3.54,704,0
AZC,5,20210212,131500,3.44,3.44,3.26,3.26,150,0
AZC,5,20210212,132000,3.26,3.26,3.26,3.26,500,0
AZC,5,20210212,132500,3.46,3.46,3.46,3.46,10,0
AZC,5,20210212,134000,3.22,3.44,3.2,3.44,1312,0
AZC,5,20210212,160500,3.24,3.36,3.22,3.36,810,0
AZC,5,20210215,104000,3.24,3.36,3.24,3.36,500,0
AZC,5,20210216,091500,3.36,3.36,3.36,3.36,296,0
AZC,5,20210216,092500,3.24,3.24,3.24,3.24,630,0
AZC,5,20210216,100500,3.34,3.34,3.34,3.34,597,0
AZC,5,20210216,144500,3.34,3.34,3.34,3.34,10,0
AZC,5,20210216,155000,3.3,3.36,3.3,3.36,470,0
