<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
B24,5,20210204,090000,28.3,28.3,28.3,28.3,8,0
B24,5,20210204,093500,28,28,27.7,27.7,75,0
B24,5,20210204,104000,27.7,27.7,27.6,27.6,40,0
B24,5,20210204,105000,27.6,27.6,27.6,27.6,50,0
B24,5,20210204,105500,27.6,28.9,27.6,28.9,500,0
B24,5,20210204,112000,28,29,28,29,370,0
B24,5,20210204,112500,29,29,29,29,434,0
B24,5,20210204,113000,29,29,29,29,250,0
B24,5,20210204,113500,29.1,29.1,29.1,29.1,50,0
B24,5,20210204,114000,29,29,29,29,36,0
B24,5,20210204,115000,29.1,29.4,29.1,29.4,100,0
B24,5,20210204,115500,29,29.4,29,29.4,170,0
B24,5,20210204,123500,29.3,29.3,29.3,29.3,28,0
B24,5,20210204,135000,28.5,28.5,28.5,28.5,450,0
B24,5,20210204,143000,29,29,29,29,39,0
B24,5,20210204,145000,29,29,29,29,50,0
B24,5,20210204,153500,28.5,28.5,28.4,28.4,51,0
B24,5,20210204,160000,29.2,29.2,29.2,29.2,2,0
B24,5,20210204,163000,29.2,29.2,29.2,29.2,50,0
B24,5,20210205,090000,29.3,29.3,29.2,29.2,55,0
B24,5,20210205,093000,29,29,29,29,102,0
B24,5,20210205,094500,29,29,29,29,40,0
B24,5,20210205,100500,28.8,28.8,28.8,28.8,20,0
B24,5,20210205,101000,28.4,28.4,28.4,28.4,50,0
B24,5,20210205,103000,28,28,28,28,44,0
B24,5,20210205,104000,28.6,28.6,28.6,28.6,175,0
B24,5,20210205,110000,28.6,28.6,28.6,28.6,20,0
B24,5,20210205,112500,28.6,28.6,28.6,28.6,125,0
B24,5,20210205,133000,28.6,28.6,28.6,28.6,160,0
B24,5,20210205,140000,29,29.2,29,29.2,300,0
B24,5,20210205,152500,29,29,29,29,100,0
B24,5,20210205,155500,29,29,29,29,30,0
B24,5,20210205,162000,28.5,28.5,28.5,28.5,45,0
B24,5,20210205,164500,29.2,29.2,29.2,29.2,5,0
B24,5,20210208,090000,28.1,28.6,27.5,28.6,420,0
B24,5,20210208,090500,28.6,28.6,28.6,28.6,74,0
B24,5,20210208,092000,29,29,28.6,28.6,492,0
B24,5,20210208,092500,28.6,28.6,28.6,28.6,114,0
B24,5,20210208,094000,28.6,28.6,28.6,28.6,45,0
B24,5,20210208,095500,28.6,28.6,28.6,28.6,12,0
B24,5,20210208,112000,28.4,28.4,28.4,28.4,2,0
B24,5,20210208,120000,28.4,28.4,28.4,28.4,5,0
B24,5,20210208,125500,28.2,28.2,28,28,200,0
B24,5,20210208,130000,28.2,28.2,28.2,28.2,100,0
B24,5,20210208,143500,28.2,28.2,28.2,28.2,50,0
B24,5,20210208,152000,28.2,28.2,28.2,28.2,50,0
B24,5,20210208,155000,28,28,28,28,178,0
B24,5,20210208,155500,28,28,28,28,92,0
B24,5,20210208,160500,28.2,28.2,28.2,28.2,5,0
B24,5,20210208,162000,28,28,28,28,83,0
B24,5,20210208,162500,28,28,28,28,45,0
B24,5,20210208,163000,28,28,28,28,30,0
B24,5,20210208,163500,28,28,27.6,27.6,395,0
B24,5,20210208,164500,28,28.6,27.6,27.6,110,0
B24,5,20210209,100000,27.6,27.6,27.6,27.6,24,0
B24,5,20210209,105000,27.8,27.8,27.8,27.8,12,0
B24,5,20210209,110500,27.8,27.8,27.8,27.8,28,0
B24,5,20210209,111500,27.8,27.8,27.8,27.8,572,0
B24,5,20210209,115000,28,28.4,28,28.4,200,0
B24,5,20210209,144000,28.2,28.2,28.2,28.2,70,0
B24,5,20210209,145500,28,28,28,28,5,0
B24,5,20210209,150500,27.7,27.7,27.7,27.7,8,0
B24,5,20210209,151500,28,28,28,28,50,0
B24,5,20210209,160500,28.2,28.2,28.2,28.2,180,0
B24,5,20210209,162000,28.2,28.2,28.2,28.2,20,0
B24,5,20210209,164500,28.4,28.4,28.4,28.4,50,0
B24,5,20210210,090500,28.2,28.2,28.2,28.2,180,0
B24,5,20210210,091500,28,28,28,28,55,0
B24,5,20210210,093000,28.2,29,28.2,29,1227,0
B24,5,20210210,093500,29,29,29,29,79,0
B24,5,20210210,094000,29,29,29,29,50,0
B24,5,20210210,095500,28.9,28.9,28.9,28.9,59,0
B24,5,20210210,100500,29,29,29,29,77,0
B24,5,20210210,101000,29.1,29.1,29.1,29.1,23,0
B24,5,20210210,102500,28.5,28.5,28.5,28.5,40,0
B24,5,20210210,103000,28.5,28.5,28.5,28.5,33,0
B24,5,20210210,104000,29,29.4,29,29.4,325,0
B24,5,20210210,104500,29.4,29.4,29.4,29.4,200,0
B24,5,20210210,105000,29,29,29,29,5,0
B24,5,20210210,110000,29.4,29.4,29.4,29.4,132,0
B24,5,20210210,110500,29.5,29.5,29.5,29.5,50,0
B24,5,20210210,111000,29.5,29.7,29.5,29.7,203,0
B24,5,20210210,111500,29.7,29.7,29.7,29.7,56,0
B24,5,20210210,112000,29.8,29.8,29.8,29.8,500,0
B24,5,20210210,112500,29.7,29.7,29.7,29.7,40,0
B24,5,20210210,113000,29.6,30.1,29.6,30.1,754,0
B24,5,20210210,113500,30.1,30.6,30.1,30.6,593,0
B24,5,20210210,114000,30.8,30.8,30.5,30.8,268,0
B24,5,20210210,114500,30.5,30.5,30.5,30.5,480,0
B24,5,20210210,115000,30.5,30.5,30.5,30.5,49,0
B24,5,20210210,120000,30.1,30.1,30,30,220,0
B24,5,20210210,121000,30,30,30,30,51,0
B24,5,20210210,121500,30,30.5,30,30.5,507,0
B24,5,20210210,122000,30.1,30.2,30.1,30.2,35,0
B24,5,20210210,122500,30.1,30.1,30,30,131,0
B24,5,20210210,124500,29.6,29.6,29.5,29.5,173,0
B24,5,20210210,125000,29.5,29.5,29.5,29.5,419,0
B24,5,20210210,125500,29.4,29.4,29.4,29.4,106,0
B24,5,20210210,131000,30,30,30,30,29,0
B24,5,20210210,132500,29.4,29.4,29.4,29.4,22,0
B24,5,20210210,134000,29.3,29.3,29.3,29.3,10,0
B24,5,20210210,134500,29.3,29.3,28.3,28.3,950,0
B24,5,20210210,135500,29,29,29,29,52,0
B24,5,20210210,140000,28.4,28.4,28.2,28.2,504,0
B24,5,20210210,140500,29,29,29,29,10,0
B24,5,20210210,141000,29,29,29,29,38,0
B24,5,20210210,144000,29.2,29.2,29.2,29.2,50,0
