<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BBA,5,20210204,090000,13.2,13.2,13.2,13.2,10,0
BBA,5,20210204,094000,13.3,13.3,13.3,13.3,200,0
BBA,5,20210204,094500,13.3,13.4,13.3,13.4,10,0
BBA,5,20210204,103000,13.4,13.4,13.4,13.4,200,0
BBA,5,20210204,114500,13.2,13.4,13.2,13.4,305,0
BBA,5,20210204,131500,13.2,13.2,13.2,13.2,490,0
BBA,5,20210204,152500,13,13.4,13,13.4,135,0
BBA,5,20210204,160000,13.4,13.4,13.4,13.4,173,0
BBA,5,20210204,160500,13.5,13.5,13.5,13.5,5,0
BBA,5,20210204,164000,13.4,13.4,13.4,13.4,1000,0
BBA,5,20210204,164500,13,13.3,12.9,12.9,906,0
BBA,5,20210205,090000,14,14.3,14,14.3,1980,0
BBA,5,20210205,090500,14.3,14.3,14.3,14.3,500,0
BBA,5,20210205,091000,14,14,14,14,25,0
BBA,5,20210205,091500,14.4,14.4,14.4,14.4,5,0
BBA,5,20210205,092000,14.4,14.4,13.8,14.4,185,0
BBA,5,20210205,093500,14.4,14.4,14.4,14.4,280,0
BBA,5,20210205,094500,14.4,14.4,14.4,14.4,405,0
BBA,5,20210205,095000,14.4,14.5,14.4,14.5,302,0
BBA,5,20210205,100000,14.5,14.7,14.5,14.7,1008,0
BBA,5,20210205,104000,14.5,14.5,14.5,14.5,400,0
BBA,5,20210205,104500,14.5,14.5,14.5,14.5,640,0
BBA,5,20210205,110000,14.4,14.5,14.4,14.5,255,0
BBA,5,20210205,111500,14.5,14.5,14.5,14.5,80,0
BBA,5,20210205,112000,14.5,14.5,14.5,14.5,423,0
BBA,5,20210205,113500,14.5,14.7,14.5,14.7,156,0
BBA,5,20210205,114500,14.5,14.7,14.5,14.7,505,0
BBA,5,20210205,115000,14.7,14.7,14.7,14.7,417,0
BBA,5,20210205,115500,14.7,14.8,14.7,14.8,580,0
BBA,5,20210205,120000,14.7,14.8,14.7,14.7,549,0
BBA,5,20210205,121500,14.6,14.6,14.6,14.6,18,0
BBA,5,20210205,123500,14.6,14.6,14.2,14.2,2500,0
BBA,5,20210205,132500,14.4,14.4,14.2,14.2,3200,0
BBA,5,20210205,135000,14.7,14.7,14.7,14.7,5,0
BBA,5,20210205,141000,14.7,14.7,14.7,14.7,52,0
BBA,5,20210205,142500,14.7,14.8,14.7,14.8,1404,0
BBA,5,20210205,143000,14.8,14.8,14.8,14.8,150,0
BBA,5,20210205,143500,14.8,14.8,14.8,14.8,295,0
BBA,5,20210205,144500,14.8,14.8,14.8,14.8,165,0
BBA,5,20210205,145000,15,15,14.9,15,310,0
BBA,5,20210205,145500,15,15,15,15,306,0
BBA,5,20210205,150000,15,15,15,15,380,0
BBA,5,20210205,150500,15,15,15,15,664,0
BBA,5,20210205,151000,15,15,15,15,79,0
BBA,5,20210205,151500,15,15,15,15,673,0
BBA,5,20210205,152000,15,15,15,15,150,0
BBA,5,20210205,152500,15,15,14.9,15,755,0
BBA,5,20210205,153000,15,15,15,15,930,0
BBA,5,20210205,155000,15,15.2,15,15.2,175,0
BBA,5,20210205,162000,15.1,15.2,15.1,15.2,368,0
BBA,5,20210205,163500,15.2,15.2,15,15,381,0
BBA,5,20210205,164000,15,15.2,15,15.2,494,0
BBA,5,20210205,164500,15.2,15.2,15.2,15.2,639,0
BBA,5,20210208,090000,18.2,21,18,20,21456,0
BBA,5,20210208,090500,20,20,17,17,3558,0
BBA,5,20210208,091000,17,17,15.4,16,5680,0
BBA,5,20210208,091500,16,16.2,15.8,15.9,1552,0
BBA,5,20210208,092000,16,16.9,15.8,16.9,5351,0
BBA,5,20210208,092500,16.9,17,16.5,16.5,3129,0
BBA,5,20210208,093000,16.8,16.8,16.8,16.8,180,0
BBA,5,20210208,093500,16.8,16.8,16.6,16.6,528,0
BBA,5,20210208,094000,16.6,16.6,16,16,1180,0
BBA,5,20210208,094500,16.3,16.3,15.4,15.6,3306,0
BBA,5,20210208,095000,15.7,16,15.7,15.9,1312,0
BBA,5,20210208,095500,15.9,15.9,15.7,15.7,85,0
BBA,5,20210208,100000,15.9,15.9,15.3,15.3,12494,0
BBA,5,20210208,100500,15.3,15.3,14.6,14.6,4571,0
BBA,5,20210208,101000,14.6,14.6,14.6,14.6,2407,0
BBA,5,20210208,101500,14.6,14.6,14.6,14.6,2216,0
BBA,5,20210208,102000,14.6,14.6,14.6,14.6,1406,0
BBA,5,20210208,102500,14.7,15.2,14.7,15.2,841,0
BBA,5,20210208,103000,14.7,15.2,14.7,15.1,400,0
BBA,5,20210208,103500,14.7,14.7,14.6,14.6,600,0
BBA,5,20210208,104000,14.6,14.6,14.6,14.6,370,0
BBA,5,20210208,104500,14.7,14.7,14.7,14.7,70,0
BBA,5,20210208,110000,14.5,14.5,13.9,13.9,1202,0
BBA,5,20210208,110500,14,14,13.4,14,2184,0
BBA,5,20210208,111000,13.7,13.7,13.5,13.5,741,0
BBA,5,20210208,111500,13.6,13.6,12.6,13.2,8328,0
BBA,5,20210208,112000,12.7,13.4,12.7,13.4,970,0
BBA,5,20210208,112500,13.2,13.2,13,13,855,0
BBA,5,20210208,113000,13,13.4,12.9,13.4,3163,0
BBA,5,20210208,113500,13.1,13.1,13.1,13.1,100,0
BBA,5,20210208,114000,13.2,13.2,13,13,5061,0
BBA,5,20210208,115500,13,13.1,13,13.1,1689,0
BBA,5,20210208,120000,13.1,13.1,12.6,12.7,6070,0
BBA,5,20210208,120500,12.7,12.7,12.1,12.2,3112,0
BBA,5,20210208,121000,12.2,12.5,12.2,12.5,349,0
BBA,5,20210208,121500,12.4,12.4,12.2,12.2,396,0
BBA,5,20210208,122000,12.2,12.3,12.2,12.3,257,0
BBA,5,20210208,122500,12.3,12.5,12.3,12.5,424,0
BBA,5,20210208,123000,12.5,12.5,12.4,12.4,384,0
BBA,5,20210208,123500,12.6,12.6,11.7,11.7,9184,0
BBA,5,20210208,124000,11.7,11.8,11.7,11.8,260,0
BBA,5,20210208,131000,11.5,11.5,10.5,11.3,6738,0
BBA,5,20210208,131500,11.4,12.4,11.4,12.4,3960,0
BBA,5,20210208,132000,12.3,12.3,11.4,11.4,1165,0
BBA,5,20210208,132500,11.5,11.8,11.5,11.8,2056,0
BBA,5,20210208,133000,11.8,12,11.8,12,1271,0
BBA,5,20210208,133500,12,12.3,12,12,2196,0
BBA,5,20210208,134000,12,12,12,12,322,0
BBA,5,20210208,134500,12,12,11.5,11.8,494,0
BBA,5,20210208,135000,11.9,12.2,11.9,12.2,2013,0
BBA,5,20210208,135500,12.2,12.3,12.2,12.2,483,0
BBA,5,20210208,140000,12.2,12.2,12,12,652,0
BBA,5,20210208,140500,12,12,12,12,461,0
BBA,5,20210208,141000,12.2,12.3,12.2,12.3,1485,0
BBA,5,20210208,141500,12.4,12.8,12.4,12.8,2187,0
BBA,5,20210208,142000,12.7,13.2,12.7,13,7157,0
BBA,5,20210208,142500,13.1,13.2,12.7,13.2,2113,0
BBA,5,20210208,143000,13.1,13.2,13,13.1,950,0
BBA,5,20210208,143500,13.1,13.4,13,13.4,1401,0
BBA,5,20210208,144000,13.4,13.5,13.4,13.5,3710,0
BBA,5,20210208,144500,13.5,13.5,13.5,13.5,490,0
BBA,5,20210208,145000,13.5,13.5,13.5,13.5,957,0
BBA,5,20210208,145500,13.4,13.4,13.4,13.4,399,0
BBA,5,20210208,150000,13.4,13.4,13,13,250,0
BBA,5,20210208,150500,13.3,13.3,13.3,13.3,15,0
BBA,5,20210208,151000,13.2,13.2,13.2,13.2,47,0
BBA,5,20210208,151500,13.2,13.2,13.2,13.2,70,0
BBA,5,20210208,152000,13,13,12.8,13,428,0
BBA,5,20210208,152500,12.8,12.8,12.7,12.7,42,0
BBA,5,20210208,153000,12.6,12.8,11.9,11.9,3701,0
BBA,5,20210208,153500,12.1,12.1,12,12,144,0
BBA,5,20210208,154000,12.4,13,12.3,12.9,2350,0
BBA,5,20210208,154500,12.8,12.8,12.5,12.5,1225,0
BBA,5,20210208,155000,12.4,12.6,12.4,12.6,1160,0
BBA,5,20210208,161000,12.4,12.4,12.2,12.2,400,0
BBA,5,20210208,161500,12.1,12.4,12.1,12.4,125,0
BBA,5,20210208,162000,12.3,13,12.3,13,6040,0
BBA,5,20210208,162500,13,13,12.8,12.8,630,0
BBA,5,20210208,163000,12.8,13,12.8,13,570,0
BBA,5,20210208,163500,13,13,12.5,12.5,1138,0
BBA,5,20210208,164000,12.7,12.8,12.3,12.8,732,0
BBA,5,20210208,164500,12.7,12.7,12.3,12.3,2977,0
BBA,5,20210209,090000,13,13,12.8,12.9,1409,0
BBA,5,20210209,090500,12.8,12.9,12.5,12.9,4100,0
BBA,5,20210209,091500,12.8,12.8,12.8,12.8,223,0
BBA,5,20210209,092000,12.8,12.8,12.8,12.8,905,0
BBA,5,20210209,092500,12.8,12.9,12.7,12.7,526,0
BBA,5,20210209,093000,12.7,12.7,12.6,12.6,285,0
BBA,5,20210209,093500,12.6,12.7,12.5,12.7,110,0
BBA,5,20210209,094000,12.5,12.5,12,12.2,6773,0
BBA,5,20210209,094500,12.4,12.4,12.4,12.4,95,0
BBA,5,20210209,095000,12.2,12.2,11.8,11.8,816,0
BBA,5,20210209,095500,11.9,12.5,11.9,12.5,482,0
BBA,5,20210209,100000,12.5,12.5,12.5,12.5,10,0
BBA,5,20210209,100500,12.4,12.5,12.4,12.5,199,0
BBA,5,20210209,101000,12.5,12.5,12.5,12.5,168,0
BBA,5,20210209,102000,12,12,12,12,270,0
