<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BDG,5,20210210,110000,0.3,0.3,0.3,0.3,1400,0
BDG,5,20210210,111500,0.3,0.3,0.3,0.3,8600,0
BDG,5,20210217,113500,0.38,0.38,0.38,0.38,25957,0
BDG,5,20210217,114000,0.38,0.38,0.38,0.38,4674,0
BDG,5,20210224,110000,0.35,0.35,0.35,0.35,10607,0
BDG,5,20210224,113500,0.35,0.35,0.35,0.35,10103,0
BDG,5,20210303,110000,0.35,0.35,0.35,0.35,10297,0
BDG,5,20210303,124500,0.35,0.35,0.35,0.35,1000,0
BDG,5,20210303,125000,0.35,0.35,0.35,0.35,1000,0
BDG,5,20210310,110000,0.37,0.37,0.37,0.37,2100,0
BDG,5,20210310,111000,0.37,0.37,0.37,0.37,900,0
BDG,5,20210310,122500,0.37,0.37,0.37,0.37,100,0
BDG,5,20210317,110000,0.344,0.344,0.344,0.344,3000,0
BDG,5,20210317,110500,0.344,0.344,0.344,0.344,2000,0
BDG,5,20210324,110000,0.33,0.33,0.33,0.33,1211,0
