<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BEP,5,20210204,090000,1.13,1.13,1.11,1.11,967,0
BEP,5,20210204,090500,1.11,1.11,1.11,1.11,1360,0
BEP,5,20210204,091500,1.12,1.14,1.12,1.14,8976,0
BEP,5,20210204,093000,1.14,1.14,1.14,1.14,600,0
BEP,5,20210204,093500,1.14,1.15,1.14,1.15,6962,0
BEP,5,20210204,094000,1.15,1.155,1.15,1.155,1603,0
BEP,5,20210204,094500,1.155,1.155,1.155,1.155,1900,0
BEP,5,20210204,095000,1.155,1.155,1.155,1.155,100,0
BEP,5,20210204,095500,1.155,1.155,1.155,1.155,1800,0
BEP,5,20210204,100500,1.155,1.155,1.155,1.155,900,0
BEP,5,20210204,101000,1.15,1.15,1.12,1.12,7977,0
BEP,5,20210204,102000,1.15,1.15,1.125,1.125,1575,0
BEP,5,20210204,102500,1.15,1.15,1.15,1.15,500,0
BEP,5,20210204,104500,1.15,1.16,1.15,1.16,7620,0
BEP,5,20210204,105000,1.16,1.17,1.16,1.17,5600,0
BEP,5,20210204,105500,1.165,1.17,1.165,1.17,12339,0
BEP,5,20210204,111000,1.16,1.16,1.15,1.15,183,0
BEP,5,20210204,113000,1.16,1.16,1.16,1.16,1467,0
BEP,5,20210204,114000,1.16,1.16,1.16,1.16,100,0
BEP,5,20210204,115000,1.145,1.145,1.145,1.145,75,0
BEP,5,20210204,115500,1.145,1.145,1.145,1.145,300,0
BEP,5,20210204,120500,1.145,1.145,1.145,1.145,2159,0
BEP,5,20210204,121000,1.15,1.15,1.15,1.15,2600,0
BEP,5,20210204,122500,1.14,1.14,1.125,1.125,10000,0
BEP,5,20210204,132500,1.13,1.13,1.13,1.13,241,0
BEP,5,20210204,133000,1.135,1.135,1.135,1.135,2500,0
BEP,5,20210204,133500,1.135,1.135,1.135,1.135,836,0
BEP,5,20210204,135000,1.13,1.13,1.12,1.13,13300,0
BEP,5,20210204,135500,1.135,1.15,1.135,1.15,7699,0
BEP,5,20210204,140000,1.155,1.155,1.155,1.155,4600,0
BEP,5,20210204,140500,1.15,1.15,1.15,1.15,590,0
BEP,5,20210204,141000,1.15,1.15,1.15,1.15,2386,0
BEP,5,20210204,141500,1.15,1.155,1.15,1.155,300,0
BEP,5,20210204,142000,1.155,1.155,1.155,1.155,1,0
BEP,5,20210204,142500,1.16,1.16,1.16,1.16,50,0
BEP,5,20210204,145500,1.14,1.14,1.13,1.13,450,0
BEP,5,20210204,160500,1.13,1.13,1.13,1.13,4765,0
BEP,5,20210204,162000,1.125,1.125,1.125,1.125,95,0
BEP,5,20210204,162500,1.13,1.13,1.13,1.13,100,0
BEP,5,20210204,164500,1.14,1.14,1.14,1.14,1634,0
BEP,5,20210205,091000,1.14,1.14,1.14,1.14,874,0
BEP,5,20210205,092000,1.14,1.14,1.14,1.14,1667,0
BEP,5,20210205,092500,1.13,1.13,1.13,1.13,10000,0
BEP,5,20210205,095000,1.13,1.13,1.13,1.13,7701,0
BEP,5,20210205,095500,1.13,1.13,1.13,1.13,3419,0
BEP,5,20210205,102500,1.13,1.13,1.13,1.13,700,0
