<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BFC,5,20210204,115500,3.06,3.06,3.06,3.06,10,0
BFC,5,20210204,161000,3.3,3.3,3.3,3.3,500,0
BFC,5,20210205,093500,3.36,3.36,3.36,3.36,490,0
BFC,5,20210212,123500,3.04,3.04,3.04,3.04,80,0
BFC,5,20210215,152000,3.28,3.28,3.28,3.28,75,0
BFC,5,20210218,090000,3.24,3.24,3.24,3.24,525,0
BFC,5,20210226,153500,3.18,3.18,3.18,3.18,100,0
BFC,5,20210309,090000,3.2,3.2,3.2,3.2,40,0
BFC,5,20210315,091500,3.18,3.18,3.18,3.18,420,0
BFC,5,20210316,091500,3.2,3.2,3.2,3.2,40,0
BFC,5,20210316,094000,3.2,3.2,3.2,3.2,110,0
BFC,5,20210324,130000,3.2,3.2,3.2,3.2,25,0
BFC,5,20210325,163000,3.18,3.18,3.18,3.18,314,0
