<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BGD,5,20210204,111000,10.4,10.4,10.4,10.4,193,0
BGD,5,20210204,160500,10,10,10,10,200,0
BGD,5,20210204,161500,10,10,9.9,9.9,450,0
BGD,5,20210204,162500,10,10,10,10,15,0
BGD,5,20210205,090000,10.2,10.2,10.2,10.2,15,0
BGD,5,20210208,114500,10.5,10.5,10.5,10.5,10,0
BGD,5,20210208,132000,10.7,10.7,10.7,10.7,10,0
BGD,5,20210208,134500,10.5,10.5,10.5,10.5,168,0
BGD,5,20210208,154000,10.5,10.5,10.5,10.5,23,0
BGD,5,20210209,092000,10.5,10.5,10.5,10.5,237,0
BGD,5,20210209,101500,10.9,10.9,10.9,10.9,10,0
BGD,5,20210209,111000,10.7,10.7,10.7,10.7,10,0
BGD,5,20210209,161500,10.7,10.7,10.7,10.7,10,0
BGD,5,20210210,092000,10.5,10.5,10.5,10.5,100,0
BGD,5,20210211,101500,10.6,10.6,10.6,10.6,10,0
BGD,5,20210211,143500,10.3,10.3,10.3,10.3,250,0
BGD,5,20210212,144500,10.4,10.4,10.3,10.3,244,0
BGD,5,20210212,145500,10.6,11.7,10.6,11.7,2047,0
BGD,5,20210212,150000,12,12.2,12,12.2,1450,0
BGD,5,20210212,155000,12.5,13,12.5,13,1630,0
BGD,5,20210212,155500,13.5,14,13.5,14,71,0
BGD,5,20210212,161000,12.6,13.9,12.6,13.9,90,0
BGD,5,20210212,163500,13.5,13.9,13.5,13.9,100,0
BGD,5,20210212,164500,13.5,13.5,13.5,13.5,300,0
BGD,5,20210215,090000,14,14,13.5,13.5,500,0
BGD,5,20210215,090500,13.5,13.5,13.5,13.5,485,0
BGD,5,20210215,091000,13.9,13.9,13.9,13.9,20,0
BGD,5,20210215,094000,13.3,13.3,13.3,13.3,40,0
BGD,5,20210215,094500,13.3,13.3,13.3,13.3,38,0
BGD,5,20210215,100000,13.2,13.2,13.2,13.2,100,0
BGD,5,20210215,103000,11.8,11.8,11.8,11.8,501,0
BGD,5,20210215,142000,12,12,12,12,122,0
BGD,5,20210215,144500,12.3,12.3,12.3,12.3,202,0
BGD,5,20210215,153000,12.3,12.3,12.3,12.3,98,0
BGD,5,20210215,155500,12,12,12,12,98,0
BGD,5,20210215,163000,12,12,11.8,11.8,120,0
BGD,5,20210215,164000,12.8,12.8,12.8,12.8,1,0
BGD,5,20210215,164500,12.7,12.7,12.7,12.7,2,0
BGD,5,20210216,093000,12.7,14.3,12.7,14.3,512,0
BGD,5,20210216,113500,13.4,13.4,13.4,13.4,10,0
BGD,5,20210216,132000,13.3,13.3,13.3,13.3,23,0
BGD,5,20210216,132500,11.1,11.1,10.2,10.2,887,0
BGD,5,20210216,134000,13.3,13.3,13.3,13.3,1,0
BGD,5,20210218,091000,12,12.7,12,12.7,127,0
BGD,5,20210219,090500,12,12,12,12,90,0
BGD,5,20210219,091500,12,12,12,12,10,0
BGD,5,20210219,092000,12,12,12,12,181,0
BGD,5,20210219,095000,12,12,12,12,18,0
BGD,5,20210219,100000,12.2,13.2,12.2,13.2,293,0
BGD,5,20210222,090000,12.9,12.9,12.9,12.9,69,0
BGD,5,20210224,092500,12.6,12.6,12.6,12.6,10,0
