<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BHX,5,20210204,090000,0.735,0.735,0.735,0.735,300,0
BHX,5,20210204,140000,0.75,0.75,0.75,0.75,1000,0
BHX,5,20210205,090000,0.775,0.775,0.775,0.775,800,0
BHX,5,20210205,105500,0.79,0.79,0.79,0.79,300,0
BHX,5,20210205,141500,0.78,0.78,0.78,0.78,1330,0
BHX,5,20210205,160500,0.76,0.76,0.76,0.76,600,0
BHX,5,20210205,164500,0.79,0.79,0.79,0.79,200,0
BHX,5,20210208,095000,0.79,0.81,0.79,0.81,1150,0
BHX,5,20210208,154500,0.78,0.78,0.78,0.78,500,0
BHX,5,20210209,093000,0.77,0.77,0.77,0.77,100,0
BHX,5,20210209,112000,0.78,0.78,0.78,0.78,123,0
BHX,5,20210209,115000,0.78,0.78,0.78,0.78,1000,0
BHX,5,20210209,134500,0.78,0.78,0.78,0.78,1,0
BHX,5,20210209,135000,0.81,0.81,0.81,0.81,14,0
BHX,5,20210209,155000,0.785,0.785,0.78,0.78,4000,0
BHX,5,20210209,164500,0.78,0.78,0.78,0.78,1118,0
BHX,5,20210210,092000,0.81,0.81,0.81,0.81,10,0
BHX,5,20210210,125000,0.785,0.785,0.77,0.77,9514,0
BHX,5,20210210,160000,0.77,0.77,0.77,0.77,1926,0
BHX,5,20210211,104000,0.77,0.77,0.77,0.77,74,0
BHX,5,20210211,140000,0.77,0.77,0.745,0.745,1226,0
BHX,5,20210211,143000,0.745,0.745,0.745,0.745,1094,0
BHX,5,20210212,102500,0.745,0.745,0.74,0.74,670,0
BHX,5,20210212,105500,0.795,0.795,0.795,0.795,3,0
BHX,5,20210212,161500,0.79,0.79,0.79,0.79,31,0
BHX,5,20210212,162000,0.775,0.775,0.775,0.775,31,0
BHX,5,20210212,163500,0.775,0.775,0.74,0.74,1514,0
BHX,5,20210215,090000,0.79,0.79,0.79,0.79,2437,0
BHX,5,20210215,091500,0.79,0.79,0.79,0.79,763,0
BHX,5,20210215,093000,0.8,0.8,0.76,0.76,1149,0
BHX,5,20210215,145500,0.81,0.82,0.81,0.82,4000,0
BHX,5,20210215,151500,0.8,0.83,0.8,0.83,1050,0
BHX,5,20210216,090000,0.83,0.83,0.83,0.83,5400,0
BHX,5,20210216,105500,0.825,0.825,0.8,0.8,6322,0
BHX,5,20210216,143000,0.77,0.77,0.77,0.77,460,0
