<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BIP,5,20210204,090000,44.4,44.4,42,42,307,0
BIP,5,20210204,090500,41.4,43,40,43,1016,0
BIP,5,20210204,092000,41,43.4,40,43.4,500,0
BIP,5,20210204,092500,42.8,45,42.8,45,300,0
BIP,5,20210204,094000,43.8,43.8,43.8,43.8,25,0
BIP,5,20210204,102000,43.8,46.8,43.8,46.8,700,0
BIP,5,20210204,103000,45.8,45.8,45.8,45.8,5,0
BIP,5,20210204,144500,45.8,45.8,45.8,45.8,45,0
BIP,5,20210204,145500,46,46,46,46,20,0
BIP,5,20210204,155000,46,46.6,46,46.6,50,0
BIP,5,20210204,155500,46.6,46.6,46.6,46.6,219,0
BIP,5,20210204,160500,46.8,47,46.8,47,25,0
BIP,5,20210204,161500,47,47,47,47,18,0
BIP,5,20210204,164500,46,46,46,46,193,0
BIP,5,20210205,100000,46.4,46.4,46.4,46.4,19,0
BIP,5,20210205,115500,46.4,46.4,46.4,46.4,42,0
BIP,5,20210205,120500,46.4,46.4,46.4,46.4,14,0
BIP,5,20210205,130500,46,46,46,46,10,0
BIP,5,20210205,162500,46,46,46,46,21,0
BIP,5,20210205,164500,46,46.6,46,46.6,120,0
BIP,5,20210208,090000,45.6,45.6,45.6,45.6,10,0
BIP,5,20210208,100500,46.4,46.4,46.4,46.4,3,0
BIP,5,20210208,101500,46.4,46.8,45.8,45.8,431,0
BIP,5,20210208,102000,46.8,47.6,46.8,47.6,250,0
BIP,5,20210208,103500,45.8,45.8,45.8,45.8,15,0
BIP,5,20210208,104000,46.4,46.4,46.4,46.4,2,0
BIP,5,20210208,112000,47.2,47.2,47.2,47.2,25,0
BIP,5,20210208,114000,46.4,46.4,46.4,46.4,22,0
BIP,5,20210208,115000,46.4,47.6,46,47.6,290,0
BIP,5,20210208,120500,46,46,46,46,10,0
BIP,5,20210208,125000,46,47.6,46,47.6,60,0
BIP,5,20210208,162000,47,47,47,47,10,0
BIP,5,20210208,164000,47,47.6,47,47.6,50,0
BIP,5,20210209,090000,47.6,47.6,47.6,47.6,4,0
BIP,5,20210209,090500,46,47.8,46,47.8,290,0
BIP,5,20210209,113500,46.8,46.8,45.8,45.8,100,0
BIP,5,20210209,133000,46.8,47,46.8,47,130,0
BIP,5,20210210,090000,45,45,45,45,5,0
BIP,5,20210210,094000,47,47.4,47,47.4,60,0
BIP,5,20210210,095000,46,46,46,46,10,0
BIP,5,20210210,102000,47.2,47.4,47.2,47.4,105,0
BIP,5,20210210,103500,47.4,47.4,47.4,47.4,76,0
BIP,5,20210210,104000,47.2,47.8,47.2,47.8,200,0
BIP,5,20210210,111500,46.4,46.4,46,46,100,0
BIP,5,20210210,112000,47.6,47.8,47.6,47.8,60,0
BIP,5,20210210,133000,46,46,46,46,20,0
BIP,5,20210210,135000,45.4,47,45,47,215,0
BIP,5,20210210,164500,47.6,47.6,47.6,47.6,105,0
BIP,5,20210211,130000,45.2,47.6,44.2,47.6,352,0
BIP,5,20210211,131000,44.4,47,43,47,1050,0
BIP,5,20210211,135000,45.4,45.4,45.4,45.4,40,0
BIP,5,20210211,135500,45.8,45.8,45.8,45.8,20,0
BIP,5,20210211,143000,45.8,45.8,45.8,45.8,18,0
BIP,5,20210211,150500,44,47.6,44,47.6,540,0
BIP,5,20210211,153000,46,47.6,46,47.6,70,0
BIP,5,20210211,160500,47,47.6,47,47.6,60,0
BIP,5,20210211,161000,46,46,44.6,44.6,60,0
BIP,5,20210211,161500,47.4,47.6,47,47.6,100,0
BIP,5,20210211,164000,47.6,48,47.6,48,360,0
BIP,5,20210211,164500,48,54.5,48,54.5,943,0
BIP,5,20210212,090000,50.5,52,50.5,52,54,0
BIP,5,20210212,090500,50,52,50,52,72,0
BIP,5,20210212,092000,50.5,50.5,50,50,175,0
BIP,5,20210212,093000,49,49,49,49,50,0
BIP,5,20210212,094000,48,54,46.8,47,1613,0
BIP,5,20210212,094500,47,48.8,47,48.8,200,0
BIP,5,20210212,095000,47,49,47,47,420,0
BIP,5,20210212,095500,48,48.8,48,48.6,80,0
BIP,5,20210212,100000,47,47,47,47,60,0
BIP,5,20210212,100500,48.4,48.4,47,47,256,0
BIP,5,20210212,101000,48,48,48,48,22,0
BIP,5,20210212,102000,48,48,47,47,755,0
BIP,5,20210212,102500,47,48.4,47,48.4,74,0
BIP,5,20210212,103000,48,48,48,48,40,0
BIP,5,20210212,103500,48,48,48,48,11,0
BIP,5,20210212,104500,46.2,46.6,46,46.6,142,0
BIP,5,20210212,105000,47.8,47.8,47.8,47.8,80,0
BIP,5,20210212,111000,46.2,47.6,46,47.6,369,0
BIP,5,20210212,112000,47,47.6,47,47.6,64,0
BIP,5,20210212,121000,47,48,46.2,48,636,0
BIP,5,20210212,123000,47.8,47.8,47.8,47.8,12,0
BIP,5,20210212,123500,46.2,46.2,46,46,147,0
BIP,5,20210212,124500,46,46,46,46,503,0
BIP,5,20210212,125500,47.2,47.2,47.2,47.2,50,0
BIP,5,20210212,130500,47,47,47,47,100,0
BIP,5,20210212,140000,46,46.8,45,46.8,520,0
BIP,5,20210212,142500,45.2,46.6,45,46.6,180,0
BIP,5,20210212,144000,45.2,45.2,45.2,45.2,120,0
BIP,5,20210212,144500,45,46.4,45,46.4,494,0
BIP,5,20210212,145000,45.8,46,45.8,46,100,0
BIP,5,20210212,145500,46,46,45,46,600,0
BIP,5,20210212,152500,46,46,46,46,58,0
BIP,5,20210212,153500,45,45.4,44.2,45.4,599,0
BIP,5,20210212,154000,45.4,45.6,45.4,45.6,349,0
BIP,5,20210212,160500,45.8,45.8,45.8,45.8,250,0
BIP,5,20210212,164500,46,46,46,46,130,0
BIP,5,20210215,090000,46,47,46,47,51,0
BIP,5,20210215,092500,45,45,45,45,50,0
BIP,5,20210215,093000,45,46.6,45,46.6,242,0
BIP,5,20210215,094500,46,46,46,46,40,0
BIP,5,20210215,104000,46,46,46,46,25,0
BIP,5,20210215,105000,45,45,45,45,220,0
BIP,5,20210215,112500,45.8,46,45.8,46,52,0
BIP,5,20210215,114500,45,45,44.6,44.6,32,0
BIP,5,20210215,115000,46,46,46,46,20,0
BIP,5,20210215,125500,45,45,45,45,250,0
BIP,5,20210215,134000,45,45,45,45,130,0
BIP,5,20210215,152000,45,45,44.6,44.6,500,0
BIP,5,20210215,154500,45.6,45.6,45.6,45.6,80,0
BIP,5,20210215,155500,45.8,45.8,45.8,45.8,5,0
BIP,5,20210215,163500,45.8,45.8,45.8,45.8,165,0
BIP,5,20210215,164500,46,46.6,46,46.6,115,0
BIP,5,20210216,090000,46,46,45,45,80,0
BIP,5,20210216,090500,46,46,46,46,35,0
BIP,5,20210216,101500,45.6,45.6,45.6,45.6,150,0
BIP,5,20210216,102000,44.8,44.8,44.8,44.8,233,0
BIP,5,20210216,102500,44.8,44.8,44.8,44.8,100,0
BIP,5,20210216,103000,45.6,45.6,45.6,45.6,15,0
BIP,5,20210216,103500,44.8,44.8,44,44.2,500,0
BIP,5,20210216,104000,45.4,45.6,45.4,45.6,110,0
BIP,5,20210216,113500,44.2,45.4,43.2,43.2,523,0
BIP,5,20210216,114000,43.2,45.4,43,45.4,585,0
BIP,5,20210216,114500,45,45,45,45,50,0
BIP,5,20210216,120500,45,45,45,45,2,0
BIP,5,20210216,123500,43.4,43.4,43.2,43.2,24,0
BIP,5,20210216,125500,44,44,44,44,1,0
BIP,5,20210216,130000,43.6,44.8,43,44.8,570,0
BIP,5,20210216,140000,44.8,45,44.8,45,25,0
BIP,5,20210216,143500,43.4,43.4,43.4,43.4,80,0
BIP,5,20210216,144000,44,45,44,45,25,0
BIP,5,20210217,092500,44.8,45,44.8,45,150,0
BIP,5,20210217,095000,44,44,44,44,50,0
BIP,5,20210217,100000,43.2,43.2,43,43,250,0
BIP,5,20210217,100500,43,43,42.6,42.6,18,0
BIP,5,20210217,101000,42.6,44,42,44,895,0
BIP,5,20210217,112500,43.8,43.8,43.8,43.8,20,0
BIP,5,20210217,122500,43.8,43.8,43.8,43.8,50,0
BIP,5,20210217,131500,44,44,44,44,45,0
BIP,5,20210217,154500,43,43,43,43,80,0
BIP,5,20210217,163000,42.4,42.4,41.4,41.4,350,0
BIP,5,20210217,163500,41.6,41.6,40,40,1516,0
BIP,5,20210217,164000,41.6,43,40,43,1420,0
BIP,5,20210217,164500,41,42,40,40,681,0
BIP,5,20210218,090000,41,42,41,42,41,0
BIP,5,20210218,090500,41.8,41.8,41.4,41.4,73,0
BIP,5,20210218,091000,41.2,41.8,41,41.6,249,0
BIP,5,20210218,093500,41.8,41.8,41.6,41.8,155,0
BIP,5,20210218,101500,41.8,41.8,41.8,41.8,9,0
BIP,5,20210218,102000,41.8,41.8,41.8,41.8,25,0
BIP,5,20210218,103500,41.4,41.4,41.4,41.4,50,0
BIP,5,20210218,104500,41.8,43,41.8,43,80,0
BIP,5,20210218,114000,41,41,41,41,240,0
BIP,5,20210218,130500,41,41,41,41,30,0
BIP,5,20210218,132500,41.8,42.6,41.8,42.6,154,0
BIP,5,20210218,133500,42.6,42.6,42.6,42.6,35,0
BIP,5,20210218,134000,42.6,42.8,42.6,42.8,115,0
BIP,5,20210218,135000,42.8,42.8,42.8,42.8,12,0
BIP,5,20210218,144500,42.8,42.8,42.8,42.8,25,0
BIP,5,20210218,153500,42,42.8,42,42.8,66,0
BIP,5,20210219,090000,43.8,43.8,43.6,43.8,267,0
BIP,5,20210219,090500,44,44,44,44,50,0
BIP,5,20210219,091500,44,44,44,44,224,0
BIP,5,20210219,092500,43,43,43,43,30,0
BIP,5,20210219,104500,43,44,42.8,44,205,0
BIP,5,20210219,112000,44,44,44,44,20,0
BIP,5,20210219,153500,43.8,44,43.8,44,185,0
BIP,5,20210219,154500,43.8,44,43.8,44,50,0
BIP,5,20210219,161500,43,43,43,43,12,0
BIP,5,20210219,164500,44,44,44,44,27,0
BIP,5,20210222,095000,42,43,42,43,80,0
BIP,5,20210222,122500,42,42,41.8,41.8,114,0
BIP,5,20210222,154500,41.8,41.8,41.8,41.8,31,0
BIP,5,20210222,155000,41.2,41.8,40,41.8,1050,0
BIP,5,20210222,160000,40.2,40.2,40.2,40.2,200,0
BIP,5,20210222,160500,40,41,40,41,180,0
BIP,5,20210222,161000,40,40,40,40,54,0
BIP,5,20210222,161500,40,41,40,41,211,0
BIP,5,20210222,162000,40,40,40,40,531,0
BIP,5,20210222,163000,40,40,40,40,111,0
BIP,5,20210222,163500,40,40,40,40,193,0
BIP,5,20210222,164000,40,40,40,40,75,0
BIP,5,20210222,164500,39.8,39.8,39.8,39.8,230,0
BIP,5,20210223,090000,40.6,40.6,40.2,40.2,205,0
BIP,5,20210223,092500,39.8,39.8,39.8,39.8,20,0
BIP,5,20210223,093500,39.8,39.8,39.8,39.8,70,0
BIP,5,20210223,101500,39.8,40,39.8,40,19,0
BIP,5,20210223,102000,40,40,40,40,19,0
BIP,5,20210223,104500,39.6,39.6,39,39,651,0
BIP,5,20210223,105500,39,39,39,39,42,0
BIP,5,20210223,114000,39.6,39.6,39.6,39.6,25,0
BIP,5,20210223,123500,39.8,39.8,39.8,39.8,17,0
BIP,5,20210223,125500,39.6,39.6,39.6,39.6,1,0
BIP,5,20210223,131500,39.6,40,39.6,40,100,0
BIP,5,20210223,143000,39.4,39.4,39,39,72,0
BIP,5,20210223,143500,38.4,38.4,38.4,38.4,30,0
BIP,5,20210223,144000,38.4,38.4,38.4,38.4,60,0
BIP,5,20210223,145000,38.2,38.2,38.2,38.2,144,0
BIP,5,20210223,151000,38.2,38.2,37.6,37.6,449,0
BIP,5,20210223,151500,38.6,39.8,38.6,39.8,160,0
BIP,5,20210223,160000,38.2,38.2,38.2,38.2,14,0
BIP,5,20210223,161500,38.4,38.4,37.4,37.4,452,0
BIP,5,20210223,162500,38.4,38.4,38.4,38.4,16,0
