<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BLO,5,20210204,090000,19.22,19.22,19.2,19.2,100,0
BLO,5,20210204,092000,18.88,18.88,18.8,18.8,80,0
BLO,5,20210204,092500,18.86,18.86,18.86,18.86,450,0
BLO,5,20210204,093000,19,19.08,19,19.08,330,0
BLO,5,20210204,093500,19.04,19.08,19.04,19.08,1510,0
BLO,5,20210204,094000,19.08,19.1,19.08,19.08,1000,0
BLO,5,20210204,094500,19.08,19.08,19.08,19.08,30,0
BLO,5,20210204,095000,18.94,18.94,18.8,18.8,1030,0
BLO,5,20210204,095500,19.04,19.04,19.02,19.02,380,0
BLO,5,20210204,102000,18.98,18.98,18.96,18.96,30,0
BLO,5,20210204,102500,18.78,18.78,18.62,18.64,640,0
BLO,5,20210204,103000,18.72,18.84,18.7,18.84,620,0
BLO,5,20210204,103500,18.7,18.7,18.7,18.7,40,0
BLO,5,20210204,104000,18.86,18.86,18.74,18.74,130,0
BLO,5,20210204,104500,18.86,18.86,18.8,18.8,640,0
BLO,5,20210204,105500,18.88,18.88,18.88,18.88,100,0
BLO,5,20210204,110500,18.9,18.94,18.9,18.94,290,0
BLO,5,20210204,111000,18.92,18.92,18.92,18.92,270,0
BLO,5,20210204,112500,18.86,18.9,18.86,18.9,190,0
BLO,5,20210204,113000,18.86,18.86,18.86,18.86,50,0
BLO,5,20210204,113500,18.86,18.86,18.86,18.86,10,0
BLO,5,20210204,121000,18.82,18.82,18.82,18.82,600,0
BLO,5,20210204,121500,18.88,18.88,18.88,18.88,100,0
BLO,5,20210204,122000,18.88,18.88,18.88,18.88,180,0
BLO,5,20210204,123000,18.88,18.88,18.88,18.88,400,0
BLO,5,20210204,124000,18.9,18.9,18.9,18.9,20,0
BLO,5,20210204,125500,18.84,18.84,18.84,18.84,10,0
BLO,5,20210204,130500,18.88,18.9,18.82,18.82,1570,0
BLO,5,20210204,131000,18.9,18.94,18.9,18.94,460,0
BLO,5,20210204,132500,18.94,18.94,18.94,18.94,50,0
BLO,5,20210204,135000,18.94,18.94,18.94,18.94,670,0
BLO,5,20210204,140000,18.88,18.94,18.88,18.94,570,0
BLO,5,20210204,141500,18.96,18.96,18.96,18.96,240,0
BLO,5,20210204,145000,18.86,18.9,18.86,18.9,310,0
BLO,5,20210204,145500,18.86,18.86,18.86,18.86,80,0
BLO,5,20210204,150000,18.86,18.86,18.86,18.86,60,0
BLO,5,20210204,151000,18.9,18.9,18.86,18.86,240,0
BLO,5,20210204,153000,18.86,18.86,18.86,18.86,100,0
BLO,5,20210204,153500,18.86,18.86,18.5,18.5,6070,0
BLO,5,20210204,154500,18.6,18.8,18.6,18.8,630,0
BLO,5,20210204,155000,18.8,18.84,18.8,18.84,840,0
BLO,5,20210204,160000,18.84,18.86,18.84,18.86,440,0
BLO,5,20210204,160500,18.88,18.88,18.8,18.8,620,0
BLO,5,20210204,161500,18.7,18.7,18.6,18.6,90,0
BLO,5,20210204,162000,18.74,18.76,18.6,18.6,110,0
BLO,5,20210204,162500,18.64,18.64,18.64,18.64,80,0
BLO,5,20210204,164000,18.8,18.9,18.8,18.9,900,0
BLO,5,20210204,164500,18.7,18.88,18.7,18.7,420,0
BLO,5,20210205,090000,18.8,18.8,18.64,18.64,270,0
BLO,5,20210205,090500,18.78,18.9,18.78,18.9,1770,0
BLO,5,20210205,091500,18.9,19.26,18.9,19.26,3180,0
BLO,5,20210205,092000,19.3,19.3,19.3,19.3,2040,0
BLO,5,20210205,095500,19.16,19.16,19.1,19.1,100,0
BLO,5,20210205,101000,19.1,19.1,19.1,19.1,270,0
BLO,5,20210205,103000,19.16,19.16,19.12,19.12,30,0
BLO,5,20210205,103500,19.12,19.12,19.12,19.12,100,0
BLO,5,20210205,111500,19.24,19.24,19.24,19.24,90,0
BLO,5,20210205,112500,19.24,19.24,19.24,19.24,40,0
BLO,5,20210205,113000,19.26,19.32,19.26,19.32,2190,0
BLO,5,20210205,114000,19.36,19.36,19.36,19.36,40,0
BLO,5,20210205,121000,19.26,19.26,19.24,19.24,140,0
BLO,5,20210205,121500,19.34,19.34,19.34,19.34,320,0
BLO,5,20210205,124000,19.3,19.32,19.3,19.32,100,0
BLO,5,20210205,124500,19.2,19.2,19.2,19.2,150,0
BLO,5,20210205,130500,19.32,19.32,19.32,19.32,450,0
BLO,5,20210205,131000,19.32,19.32,19.32,19.32,70,0
BLO,5,20210205,131500,19.32,19.32,19.32,19.32,20,0
BLO,5,20210205,132000,19.34,19.34,19.34,19.34,1080,0
BLO,5,20210205,132500,19.32,19.32,19.32,19.32,80,0
BLO,5,20210205,133000,19.18,19.34,19.18,19.34,2420,0
BLO,5,20210205,133500,19.34,19.34,19.34,19.34,100,0
BLO,5,20210205,141000,19.34,19.34,19.34,19.34,400,0
BLO,5,20210205,142500,19.34,19.34,19.34,19.34,100,0
BLO,5,20210205,144000,19.36,19.36,19.36,19.36,60,0
BLO,5,20210205,145000,19.36,19.36,19.36,19.36,40,0
BLO,5,20210205,145500,19.38,19.38,19.38,19.38,90,0
BLO,5,20210205,154000,19.3,19.3,19.3,19.3,300,0
BLO,5,20210205,154500,19.3,19.3,19.3,19.3,40,0
BLO,5,20210205,155500,19.24,19.24,19.24,19.24,130,0
BLO,5,20210205,160500,19.3,19.3,19.3,19.3,70,0
BLO,5,20210205,161000,19.24,19.24,19.24,19.24,30,0
BLO,5,20210205,162500,19.24,19.24,19.12,19.12,430,0
BLO,5,20210205,163000,19.3,19.3,19.3,19.3,10,0
BLO,5,20210205,164000,19.3,19.34,19.3,19.34,360,0
BLO,5,20210208,090000,19.38,19.38,19.3,19.3,810,0
BLO,5,20210208,090500,19.3,19.3,19.2,19.2,210,0
BLO,5,20210208,092500,19.2,19.2,19.1,19.1,260,0
BLO,5,20210208,095500,19.1,19.1,19.1,19.1,260,0
BLO,5,20210208,100500,19.06,19.24,19.04,19.24,390,0
BLO,5,20210208,101500,19.1,19.3,19.1,19.3,460,0
BLO,5,20210208,102000,19.06,19.06,19,19,2250,0
BLO,5,20210208,102500,19,19,19,19,390,0
BLO,5,20210208,103500,19,19,19,19,100,0
BLO,5,20210208,104500,19,19,18.82,18.82,1510,0
BLO,5,20210208,105000,18.8,18.8,18.76,18.76,1200,0
BLO,5,20210208,105500,18.72,18.9,18.7,18.9,1080,0
BLO,5,20210208,111000,18.88,18.88,18.88,18.88,60,0
BLO,5,20210208,111500,18.82,18.82,18.82,18.82,20,0
BLO,5,20210208,112000,18.88,18.88,18.88,18.88,60,0
BLO,5,20210208,112500,18.88,18.88,18.88,18.88,30,0
BLO,5,20210208,113500,19,19,19,19,50,0
BLO,5,20210208,114500,18.88,18.88,18.88,18.88,260,0
BLO,5,20210208,115000,18.88,18.88,18.84,18.84,120,0
BLO,5,20210208,120500,18.88,19,18.88,19,9010,0
BLO,5,20210208,123000,18.88,18.88,18.88,18.88,60,0
BLO,5,20210208,130000,18.88,18.88,18.88,18.88,800,0
BLO,5,20210208,130500,19,19,19,19,250,0
BLO,5,20210208,131500,18.84,18.84,18.84,18.84,240,0
BLO,5,20210208,132500,18.86,18.86,18.82,18.82,850,0
BLO,5,20210208,133500,18.8,18.82,18.8,18.82,3000,0
BLO,5,20210208,134000,18.76,18.76,18.7,18.7,640,0
BLO,5,20210208,135000,18.82,18.82,18.82,18.82,30,0
BLO,5,20210208,135500,18.7,18.82,18.7,18.82,390,0
BLO,5,20210208,140500,18.82,18.82,18.82,18.82,70,0
BLO,5,20210208,142000,18.7,18.72,18.7,18.72,350,0
BLO,5,20210208,144500,18.8,18.8,18.8,18.8,20,0
BLO,5,20210208,145000,18.8,18.8,18.7,18.7,1080,0
BLO,5,20210208,145500,18.72,18.72,18.72,18.72,40,0
BLO,5,20210208,151000,18.8,18.8,18.8,18.8,200,0
BLO,5,20210208,151500,18.8,18.8,18.8,18.8,60,0
BLO,5,20210208,152500,18.8,18.8,18.72,18.72,140,0
BLO,5,20210208,153000,18.72,18.72,18.7,18.7,4520,0
BLO,5,20210208,153500,18.7,18.7,18.66,18.66,1840,0
BLO,5,20210208,154000,18.66,18.66,18.66,18.66,120,0
BLO,5,20210208,154500,18.62,18.62,18.62,18.62,690,0
BLO,5,20210208,155000,18.7,18.7,18.6,18.7,320,0
BLO,5,20210208,160000,18.7,18.84,18.7,18.84,19330,0
BLO,5,20210208,160500,18.9,19,18.9,19,60,0
BLO,5,20210208,161000,18.78,18.78,18.74,18.74,60,0
BLO,5,20210208,161500,18.98,18.98,18.98,18.98,40,0
BLO,5,20210208,162000,18.98,19.3,18.98,19.3,25540,0
BLO,5,20210208,163500,19,19.28,19,19.28,50140,0
BLO,5,20210208,164500,19.28,19.3,19.26,19.26,180,0
BLO,5,20210209,090000,19,19,19,19,150,0
BLO,5,20210209,091500,19.02,19.02,19,19,190,0
BLO,5,20210209,092000,19,19,19,19,40,0
BLO,5,20210209,092500,19.2,19.2,19.2,19.2,20,0
BLO,5,20210209,094000,19.02,19.02,19,19,550,0
BLO,5,20210209,094500,19,19,19,19,300,0
BLO,5,20210209,095000,19,19.1,19,19.1,90,0
BLO,5,20210209,100000,19.02,19.02,19,19,180,0
BLO,5,20210209,101500,19,19,19,19,550,0
BLO,5,20210209,102000,19,19,19,19,30,0
BLO,5,20210209,102500,19,19,19,19,180,0
BLO,5,20210209,103000,19,19,19,19,760,0
BLO,5,20210209,111500,19.08,19.26,19.08,19.26,4700,0
BLO,5,20210209,112000,19.26,19.26,19.26,19.26,300,0
BLO,5,20210209,113000,19.02,19.3,19.02,19.3,250,0
BLO,5,20210209,114000,19.28,19.28,19.28,19.28,200,0
BLO,5,20210209,114500,19.06,19.06,19.06,19.06,10,0
BLO,5,20210209,120500,19.28,19.28,19.02,19.02,1620,0
BLO,5,20210209,121000,19,19,19,19,1230,0
BLO,5,20210209,121500,19,19.02,19,19.02,600,0
BLO,5,20210209,122500,19.02,19.02,19.02,19.02,210,0
BLO,5,20210209,124500,19,19,19,19,60,0
BLO,5,20210209,125500,19,19,19,19,720,0
BLO,5,20210209,131500,19.02,19.02,19,19,50,0
BLO,5,20210209,132000,19.1,19.12,19.1,19.12,200,0
BLO,5,20210209,134500,19.2,19.7,19.2,19.7,13790,0
BLO,5,20210209,135000,19.74,19.8,19.24,19.68,4740,0
BLO,5,20210209,135500,19.3,19.3,19.2,19.2,1120,0
BLO,5,20210209,140000,19.2,19.2,19.2,19.2,50,0
BLO,5,20210209,140500,19.2,19.2,19.2,19.2,680,0
BLO,5,20210209,141000,19.16,19.24,19,19.24,1410,0
BLO,5,20210209,141500,19,19.1,19,19.1,310,0
BLO,5,20210209,143000,19.02,19.02,19.02,19.02,10,0
BLO,5,20210209,143500,19.26,19.26,19,19,1900,0
BLO,5,20210209,152000,19.38,19.6,19.14,19.14,80,0
BLO,5,20210209,152500,19.2,19.54,19.2,19.54,30,0
BLO,5,20210209,153500,19.2,19.2,19.2,19.2,1340,0
BLO,5,20210209,154500,19.52,19.52,19.52,19.52,100,0
BLO,5,20210209,160500,19.2,19.2,19.2,19.2,30,0
BLO,5,20210209,161500,19.2,19.2,19.18,19.18,270,0
BLO,5,20210209,162500,19.42,19.42,19.42,19.42,10,0
BLO,5,20210209,164500,19.42,19.42,19.16,19.38,150,0
BLO,5,20210210,090000,19.44,19.44,19.2,19.4,510,0
BLO,5,20210210,091000,19.22,19.22,19.2,19.2,2800,0
BLO,5,20210210,091500,19.38,19.38,19.38,19.38,150,0
BLO,5,20210210,092000,19.4,19.4,19.2,19.2,1960,0
BLO,5,20210210,092500,19.22,19.4,19.22,19.4,830,0
BLO,5,20210210,095500,19.4,19.4,19.24,19.24,640,0
BLO,5,20210210,100500,19.44,19.44,19.44,19.44,10,0
