<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BLR,5,20210204,092000,19.8,20.2,19.8,20.2,110,0
BLR,5,20210204,093000,20.2,20.6,20.2,20.6,49,0
BLR,5,20210204,100500,20,20,19.8,19.8,241,0
BLR,5,20210204,101500,20,20,20,20,100,0
BLR,5,20210204,103500,19.8,19.8,19.8,19.8,15,0
BLR,5,20210204,105500,19.8,19.8,19.8,19.8,50,0
BLR,5,20210204,111000,19.8,19.8,19.8,19.8,300,0
BLR,5,20210204,112000,19.9,20,19.9,20,639,0
BLR,5,20210204,114500,19.8,19.8,19.8,19.8,50,0
BLR,5,20210204,121000,20.2,20.2,20.2,20.2,25,0
BLR,5,20210204,123000,19.8,19.8,19.8,19.8,30,0
BLR,5,20210204,133000,20,20,20,20,55,0
BLR,5,20210204,135500,20,20,20,20,51,0
BLR,5,20210204,141000,19.8,19.8,19.8,19.8,360,0
BLR,5,20210204,145000,20,20,20,20,55,0
BLR,5,20210204,145500,19.7,19.7,19.7,19.7,25,0
BLR,5,20210204,153000,19.8,19.8,19.8,19.8,110,0
BLR,5,20210204,160000,19.7,19.7,19.7,19.7,55,0
BLR,5,20210204,160500,19.7,19.7,19.7,19.7,281,0
BLR,5,20210204,161000,19.7,19.7,19.6,19.7,483,0
BLR,5,20210204,161500,19.7,19.7,19.7,19.7,12,0
BLR,5,20210204,164500,19.7,19.8,19.6,19.6,258,0
BLR,5,20210205,090000,20,20,20,20,30,0
BLR,5,20210205,090500,20.2,20.2,20.2,20.2,21,0
BLR,5,20210205,091500,20.2,20.2,20.2,20.2,72,0
BLR,5,20210205,104000,20,20.2,20,20.2,420,0
BLR,5,20210205,104500,20.2,20.2,20.2,20.2,230,0
BLR,5,20210205,114000,19.9,19.9,19.8,19.8,104,0
BLR,5,20210205,115000,19.8,19.8,19.8,19.8,67,0
BLR,5,20210205,120500,19.8,19.8,19.8,19.8,33,0
BLR,5,20210205,123500,19.8,19.8,19.7,19.7,207,0
BLR,5,20210205,125500,20.2,20.2,20.2,20.2,1381,0
BLR,5,20210205,130000,20.4,20.4,20.4,20.4,59,0
BLR,5,20210205,130500,20.2,20.2,20.2,20.2,50,0
BLR,5,20210205,131000,20.2,20.2,20.2,20.2,69,0
BLR,5,20210205,152000,19.8,20,19.8,20,230,0
BLR,5,20210205,155000,19.8,19.8,19.8,19.8,100,0
BLR,5,20210205,164500,19.8,19.8,19.8,19.8,1,0
BLR,5,20210208,090000,19.9,19.9,19.9,19.9,100,0
BLR,5,20210208,091000,20,20,20,20,30,0
BLR,5,20210208,092500,20,20,20,20,86,0
BLR,5,20210208,093000,20,20,20,20,36,0
BLR,5,20210208,100000,20.2,20.2,20,20,52,0
BLR,5,20210208,103500,20,20,20,20,417,0
BLR,5,20210208,104500,19.9,19.9,19.9,19.9,15,0
BLR,5,20210208,105000,19.8,19.8,19.8,19.8,124,0
BLR,5,20210208,111000,19.8,19.8,19.8,19.8,36,0
BLR,5,20210208,111500,20.2,20.2,20.2,20.2,208,0
BLR,5,20210208,112000,20.2,20.2,20.2,20.2,89,0
BLR,5,20210208,112500,20.4,20.4,20.2,20.4,870,0
BLR,5,20210208,113500,20.4,20.4,20.4,20.4,8,0
BLR,5,20210208,114000,20.2,20.2,20.2,20.2,30,0
BLR,5,20210208,114500,20,20.2,20,20.2,440,0
BLR,5,20210208,115500,20.2,20.2,20.2,20.2,51,0
BLR,5,20210208,122500,19.8,19.8,19.8,19.8,565,0
BLR,5,20210208,123500,19.8,19.8,19.8,19.8,93,0
BLR,5,20210208,124500,20.2,20.2,20.2,20.2,197,0
BLR,5,20210208,125000,20.2,20.2,20.2,20.2,65,0
BLR,5,20210208,132000,20.2,20.2,20.2,20.2,100,0
BLR,5,20210208,133500,20.2,20.2,20.2,20.2,29,0
BLR,5,20210208,143500,20,20,19.8,19.8,100,0
BLR,5,20210208,155500,20.2,20.2,20.2,20.2,487,0
BLR,5,20210208,160000,19.8,19.8,19.8,19.8,670,0
BLR,5,20210208,161500,20,20,20,20,30,0
BLR,5,20210208,162000,20.2,20.2,20.2,20.2,49,0
BLR,5,20210208,164000,20.2,20.2,20.2,20.2,5,0
BLR,5,20210208,164500,20.2,20.2,20.2,20.2,298,0
BLR,5,20210209,091500,19.8,19.8,19.8,19.8,200,0
BLR,5,20210209,092500,19.8,19.8,19.8,19.8,210,0
BLR,5,20210209,094000,19.7,19.7,19.7,19.7,280,0
BLR,5,20210209,095500,19.7,19.7,19.7,19.7,101,0
BLR,5,20210209,100000,19.6,19.6,19.6,19.6,77,0
BLR,5,20210209,101000,19.7,19.8,19.7,19.8,20,0
BLR,5,20210209,103000,19.8,19.8,19.8,19.8,10,0
BLR,5,20210209,110000,19.8,19.8,19.8,19.8,126,0
BLR,5,20210209,110500,19.8,19.8,19.8,19.8,1,0
BLR,5,20210209,111000,19.8,19.8,19.8,19.8,61,0
BLR,5,20210209,112000,19.8,19.8,19.8,19.8,100,0
BLR,5,20210209,113000,19.8,20.2,19.8,20.2,333,0
BLR,5,20210209,121500,19.9,19.9,19.9,19.9,154,0
BLR,5,20210209,122000,20,20,20,20,15,0
BLR,5,20210209,134500,19.9,19.9,19.9,19.9,29,0
BLR,5,20210209,135000,20,20,20,20,70,0
BLR,5,20210209,141000,19.9,19.9,19.9,19.9,100,0
BLR,5,20210209,142500,20,20,20,20,100,0
BLR,5,20210209,150000,20,20,20,20,5,0
BLR,5,20210209,150500,20,20,20,20,25,0
BLR,5,20210209,151000,20,20,20,20,95,0
BLR,5,20210209,151500,19.8,19.8,19.8,19.8,304,0
BLR,5,20210209,153000,20.2,20.4,20.2,20.4,750,0
BLR,5,20210209,164000,20,20,19.8,19.8,1000,0
BLR,5,20210209,164500,19.8,20.2,19.8,20.2,412,0
BLR,5,20210210,090500,19.8,19.8,19.8,19.8,100,0
BLR,5,20210210,092000,19.8,19.8,19.8,19.8,124,0
BLR,5,20210210,094500,20,20,20,20,200,0
BLR,5,20210210,095500,19.8,19.8,19.8,19.8,2,0
BLR,5,20210210,101000,19.8,19.8,19.8,19.8,10,0
BLR,5,20210210,103500,19.8,19.8,19.8,19.8,77,0
BLR,5,20210210,105500,20,20,19.8,19.8,289,0
BLR,5,20210210,110500,19.8,19.8,19.8,19.8,56,0
BLR,5,20210210,111500,20,20,20,20,380,0
BLR,5,20210210,112000,20,20,20,20,2,0
BLR,5,20210210,112500,19.9,19.9,19.9,19.9,25,0
BLR,5,20210210,114000,20,20.2,20,20.2,50,0
BLR,5,20210210,115000,19.9,20.2,19.8,20.2,450,0
BLR,5,20210210,131000,19.8,19.8,19.8,19.8,554,0
BLR,5,20210210,132000,19.7,19.7,19.7,19.7,283,0
BLR,5,20210210,133000,19.7,19.7,19.7,19.7,100,0
BLR,5,20210210,134000,19.7,20,19.7,20,655,0
BLR,5,20210210,141000,20.2,20.2,20.2,20.2,49,0
BLR,5,20210210,150000,20.2,20.2,20.2,20.2,327,0
BLR,5,20210210,151000,19.8,19.8,19.8,19.8,420,0
BLR,5,20210210,153000,19.8,20,19.8,20,504,0
BLR,5,20210210,161000,19.8,19.8,19.8,19.8,200,0
BLR,5,20210210,162000,20,20,20,20,37,0
BLR,5,20210210,162500,20,20.2,20,20.2,51,0
BLR,5,20210210,164500,20.2,20.4,20.2,20.4,783,0
BLR,5,20210211,093000,19.9,19.9,19.9,19.9,200,0
BLR,5,20210211,094000,20,20,20,20,30,0
BLR,5,20210211,095500,19.9,19.9,19.7,19.7,273,0
BLR,5,20210211,100000,19.7,19.7,18.6,18.6,1887,0
BLR,5,20210211,100500,19.1,19.6,19,19.6,1438,0
BLR,5,20210211,101000,19.7,19.8,19.7,19.8,201,0
BLR,5,20210211,101500,19.8,19.9,19.8,19.9,749,0
BLR,5,20210211,104500,19.9,19.9,19.9,19.9,206,0
BLR,5,20210211,105500,20,20,20,20,5,0
BLR,5,20210211,110500,19.8,20,19.8,20,470,0
BLR,5,20210211,111000,20,20,20,20,10,0
BLR,5,20210211,112000,20,20,20,20,200,0
BLR,5,20210211,113000,20,20,20,20,200,0
BLR,5,20210211,114500,20,20,20,20,150,0
BLR,5,20210211,115000,20,20,20,20,150,0
BLR,5,20210211,115500,20,20.2,20,20.2,226,0
BLR,5,20210211,120500,20.2,20.2,20.2,20.2,200,0
BLR,5,20210211,130500,20,20,19.9,19.9,250,0
BLR,5,20210211,132000,20,20,20,20,50,0
BLR,5,20210211,135500,19.9,19.9,19.9,19.9,10,0
BLR,5,20210211,144000,20,20,20,20,157,0
BLR,5,20210211,145500,19.9,19.9,19.6,19.6,379,0
