<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BLT,5,20210204,091000,12.6,12.6,12.6,12.6,5,0
BLT,5,20210204,122500,11.7,11.7,11.7,11.7,20,0
BLT,5,20210204,151500,11.7,12.5,11.7,12.5,142,0
BLT,5,20210205,093500,11.5,11.5,11.5,11.5,177,0
BLT,5,20210205,094500,12.5,12.5,12.5,12.5,2,0
BLT,5,20210208,090500,12.8,12.8,12.8,12.8,2,0
BLT,5,20210208,094500,12.8,12.8,12.8,12.8,8,0
BLT,5,20210208,125000,11.8,12.8,11.8,12.8,102,0
BLT,5,20210208,150500,12.6,12.8,12.6,12.8,1089,0
BLT,5,20210209,090000,12.8,12.8,12.8,12.8,10,0
BLT,5,20210210,110000,12.8,12.8,12.8,12.8,2,0
BLT,5,20210211,093000,12.8,12.8,12.8,12.8,2,0
BLT,5,20210212,090500,12.8,12.8,12.8,12.8,2,0
BLT,5,20210215,090000,13.5,13.5,13.5,13.5,2,0
BLT,5,20210215,094000,13,13,13,13,1305,0
BLT,5,20210215,094500,13,13.2,13,13.2,8,0
BLT,5,20210215,095000,13.2,13.5,13.2,13.5,100,0
BLT,5,20210215,103000,13.5,13.5,13.5,13.5,105,0
BLT,5,20210215,103500,13.5,14.7,13.5,14.7,824,0
BLT,5,20210215,105000,13.5,14.5,13.5,14.5,321,0
BLT,5,20210215,122000,13.6,13.6,13.6,13.6,1,0
BLT,5,20210215,122500,13.6,13.6,13.5,13.5,140,0
BLT,5,20210215,124000,14.4,14.4,14.4,14.4,1,0
BLT,5,20210215,130000,14.4,14.7,14.4,14.7,430,0
BLT,5,20210215,132000,15.1,15.1,15.1,15.1,1,0
BLT,5,20210215,135000,15.1,15.1,15.1,15.1,49,0
BLT,5,20210215,145000,16,16.1,16,16.1,3,0
BLT,5,20210215,155000,16.1,16.1,16.1,16.1,7,0
BLT,5,20210216,090500,16.1,17.2,16.1,17.2,114,0
BLT,5,20210216,091000,16.5,16.5,16.5,16.5,61,0
BLT,5,20210216,150000,14.2,14.2,14.2,14.2,60,0
BLT,5,20210216,161000,13.3,13.3,13.2,13.2,39,0
BLT,5,20210216,161500,13.2,13.2,13.2,13.2,100,0
BLT,5,20210216,164500,13.4,13.4,13.4,13.4,27,0
BLT,5,20210217,090000,14.2,14.2,14.2,14.2,1,0
BLT,5,20210217,090500,14.2,14.2,14.2,14.2,89,0
BLT,5,20210217,093000,17,17,17,17,101,0
BLT,5,20210217,101000,17,17,17,17,5,0
BLT,5,20210217,141500,16.7,16.7,16.7,16.7,30,0
BLT,5,20210217,145000,15.5,15.5,15.5,15.5,40,0
BLT,5,20210217,145500,15.5,15.5,15.5,15.5,15,0
BLT,5,20210217,160000,15.5,15.5,15.5,15.5,190,0
BLT,5,20210217,163000,16.6,16.6,16.6,16.6,1,0
BLT,5,20210217,164500,16.6,16.6,16.6,16.6,5,0
BLT,5,20210218,103000,15,16.5,15,16.5,101,0
BLT,5,20210218,142000,16.2,16.2,16.2,16.2,42,0
