<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BLU,5,20210204,104500,6,6,6,6,1000,0
BLU,5,20210204,112000,6,6,6,6,1000,0
BLU,5,20210204,112500,6,6,6,6,199,0
BLU,5,20210204,114000,5.6,6,5.6,6,200,0
BLU,5,20210204,125000,5.8,5.8,5.8,5.8,1,0
BLU,5,20210204,162000,5.8,5.8,5.8,5.8,498,0
BLU,5,20210205,090000,6,6,6,6,900,0
BLU,5,20210205,090500,5.8,5.8,5.8,5.8,1,0
BLU,5,20210205,130000,5.8,5.8,5.8,5.8,1900,0
BLU,5,20210208,090000,6,6.5,5.9,5.9,906,0
BLU,5,20210208,104000,6.2,6.2,6.2,6.2,1,0
BLU,5,20210208,112500,6.2,6.55,6.2,6.55,683,0
BLU,5,20210208,113000,6.5,6.5,6.5,6.5,13,0
BLU,5,20210208,121500,6.5,6.5,6.5,6.5,356,0
BLU,5,20210208,122000,6.5,6.5,6.5,6.5,65,0
BLU,5,20210208,132000,6.2,6.2,6.2,6.2,1100,0
BLU,5,20210208,132500,6.2,6.2,6.2,6.2,17,0
BLU,5,20210208,142000,6.2,6.2,6.2,6.2,48,0
BLU,5,20210209,090000,6.1,6.1,6.1,6.1,1,0
BLU,5,20210209,143000,6.1,6.1,6.1,6.1,1,0
BLU,5,20210209,153500,6.1,6.1,6.1,6.1,250,0
BLU,5,20210210,124000,6.1,6.1,6.1,6.1,356,0
BLU,5,20210210,155000,6.1,6.1,6,6,1200,0
BLU,5,20210210,164500,6.45,6.45,6.45,6.45,1,0
BLU,5,20210211,090000,6.45,6.45,6.45,6.45,199,0
BLU,5,20210211,092000,6.45,6.45,6.45,6.45,300,0
BLU,5,20210211,094500,6.45,6.45,6.1,6.1,2,0
BLU,5,20210211,112500,6.45,6.45,6.45,6.45,10,0
BLU,5,20210211,115500,6.1,6.1,6.1,6.1,199,0
