<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BMX,5,20210204,090000,32.2,32.2,31.6,31.6,725,0
BMX,5,20210204,090500,31.6,31.6,31.4,31.6,411,0
BMX,5,20210204,091000,31.4,31.4,31.4,31.4,99,0
BMX,5,20210204,091500,31.6,31.6,31.6,31.6,2,0
BMX,5,20210204,092000,31.6,32,31.6,32,189,0
BMX,5,20210204,092500,31.8,31.8,31.6,31.6,150,0
BMX,5,20210204,093000,31.6,31.8,31.6,31.8,18,0
BMX,5,20210204,093500,31.8,31.8,31.8,31.8,16,0
BMX,5,20210204,094500,32,32.2,32,32.2,699,0
BMX,5,20210204,095000,32.2,32.6,32.2,32.6,2804,0
BMX,5,20210204,095500,32.6,32.6,32.6,32.6,511,0
BMX,5,20210204,100000,32.6,32.8,32.6,32.6,216,0
BMX,5,20210204,100500,32.4,32.4,32.4,32.4,100,0
BMX,5,20210204,101000,32.2,32.2,32.2,32.2,207,0
BMX,5,20210204,101500,32.2,32.2,32.2,32.2,150,0
BMX,5,20210204,102500,32.2,32.2,32.2,32.2,35,0
BMX,5,20210204,103000,32.2,32.4,32.2,32.4,393,0
BMX,5,20210204,104000,32,32,32,32,40,0
BMX,5,20210204,104500,32,32.4,31.8,31.8,461,0
BMX,5,20210204,105000,31.8,31.8,31.8,31.8,100,0
BMX,5,20210204,105500,32.2,32.8,32.2,32.8,1652,0
BMX,5,20210204,110000,32.6,32.6,32.6,32.6,100,0
BMX,5,20210204,110500,32.6,32.6,32,32,252,0
BMX,5,20210204,111500,32.2,32.6,32.2,32.6,183,0
BMX,5,20210204,112000,32.6,32.6,32.6,32.6,267,0
BMX,5,20210204,112500,32.6,32.8,32.6,32.6,305,0
BMX,5,20210204,113000,32.2,32.4,32.2,32.4,150,0
BMX,5,20210204,114000,32.4,32.4,32.4,32.4,22,0
BMX,5,20210204,115000,32.4,32.4,32.2,32.2,417,0
BMX,5,20210204,115500,32.4,32.4,32.4,32.4,50,0
BMX,5,20210204,120000,32.2,32.4,32,32.4,671,0
BMX,5,20210204,120500,32.4,32.6,32,32.6,225,0
BMX,5,20210204,121000,32,32.6,32,32,105,0
BMX,5,20210204,121500,32.6,32.6,32.6,32.6,14,0
BMX,5,20210204,123000,32,32.6,32,32.6,421,0
BMX,5,20210204,123500,32.4,32.4,32.4,32.4,130,0
BMX,5,20210204,124000,32.6,32.6,32.6,32.6,1,0
BMX,5,20210204,130000,32.4,32.4,32.4,32.4,300,0
BMX,5,20210204,131000,32.4,32.4,32.4,32.4,255,0
BMX,5,20210204,131500,32.4,32.4,32.4,32.4,75,0
BMX,5,20210204,132000,32.4,32.4,32.4,32.4,287,0
BMX,5,20210204,133000,32.6,32.6,32.6,32.6,4,0
BMX,5,20210204,135500,32.6,32.8,32.6,32.8,1500,0
BMX,5,20210204,140000,32.8,32.8,32.8,32.8,45,0
BMX,5,20210204,141000,32.2,32.8,32.2,32.8,220,0
BMX,5,20210204,141500,32.2,32.2,32,32,500,0
BMX,5,20210204,143500,32.6,32.6,32.6,32.6,1,0
BMX,5,20210204,145000,32.6,32.6,32.6,32.6,72,0
BMX,5,20210204,153500,32.2,32.6,32,32.6,2002,0
