<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BPC,5,20210204,090000,80.5,84,79.5,84,810,0
BPC,5,20210204,090500,80.5,84,80.5,84,21,0
BPC,5,20210204,091000,84,84,84,84,5,0
BPC,5,20210204,093000,82,82,82,82,40,0
BPC,5,20210204,101500,81.5,81.5,81,81,110,0
BPC,5,20210204,103000,82,83.5,82,83.5,106,0
BPC,5,20210204,103500,83.5,83.5,83.5,83.5,10,0
BPC,5,20210204,105500,81,81,81,81,140,0
BPC,5,20210204,113000,82.5,83.5,82.5,83.5,25,0
BPC,5,20210204,120500,83.5,83.5,83.5,83.5,10,0
BPC,5,20210204,123500,83.5,84,83.5,84,102,0
BPC,5,20210204,125500,84,84,84,84,9,0
BPC,5,20210204,130000,83,83,83,83,378,0
BPC,5,20210204,130500,82,84,82,84,41,0
BPC,5,20210204,131500,83,83,83,83,100,0
BPC,5,20210204,134500,83.5,84,83.5,84,35,0
BPC,5,20210204,162500,83,83,83,83,5,0
BPC,5,20210204,163000,83,83,83,83,28,0
BPC,5,20210204,164500,84,84,84,84,100,0
BPC,5,20210205,090000,84,87,84,87,345,0
BPC,5,20210205,090500,87,87,87,87,60,0
BPC,5,20210205,091000,87,87.5,87,87.5,120,0
BPC,5,20210205,091500,87,87,87,87,228,0
BPC,5,20210205,092000,87,87.5,87,87.5,191,0
BPC,5,20210205,093500,86.5,87.5,86.5,87.5,151,0
BPC,5,20210205,094000,87.5,88,87.5,88,200,0
BPC,5,20210205,095000,86.5,86.5,86,86,46,0
BPC,5,20210205,095500,87,88,87,88,80,0
BPC,5,20210205,103500,87,87.5,87,87.5,43,0
BPC,5,20210205,104000,87.5,88,87.5,88,31,0
BPC,5,20210205,113500,87.5,87.5,87.5,87.5,15,0
BPC,5,20210205,120000,87.5,88,87.5,88,185,0
BPC,5,20210205,120500,87,88,87,88,166,0
BPC,5,20210205,135500,87.5,87.5,87.5,87.5,155,0
BPC,5,20210205,142000,87.5,88,87.5,88,101,0
BPC,5,20210205,143500,88,89,88,89,393,0
BPC,5,20210205,145000,88.5,89,88.5,89,21,0
BPC,5,20210205,150500,87.5,88,87.5,88,65,0
BPC,5,20210205,152000,86.5,86.5,85.5,85.5,322,0
BPC,5,20210205,153000,85.5,85.5,85,85,147,0
BPC,5,20210205,153500,85,85,80.5,80.5,997,0
BPC,5,20210205,154000,80.5,80.5,80.5,80.5,77,0
BPC,5,20210205,154500,80.5,80.5,80.5,80.5,32,0
BPC,5,20210205,155000,80.5,80.5,80.5,80.5,50,0
BPC,5,20210205,160000,81,81,81,81,213,0
BPC,5,20210205,160500,81,81,81,81,850,0
BPC,5,20210205,161000,82.5,83,82,83,143,0
BPC,5,20210205,161500,82,82,81.5,81.5,117,0
BPC,5,20210205,162000,81.5,82,81.5,81.5,127,0
BPC,5,20210205,163000,81.5,81.5,81.5,81.5,9,0
BPC,5,20210205,164000,80,80,80,80,18,0
BPC,5,20210205,164500,80,80,79,79,571,0
BPC,5,20210208,090000,81,82,81,81,130,0
BPC,5,20210208,090500,80.5,83.5,80,83.5,1130,0
BPC,5,20210208,091000,81,89,80.5,86,3275,0
BPC,5,20210208,091500,83,86,82.5,86,1350,0
BPC,5,20210208,092000,83,83,82.5,82.5,189,0
BPC,5,20210208,093000,84,84.5,84,84.5,40,0
BPC,5,20210208,101000,82.5,82.5,82.5,82.5,291,0
BPC,5,20210208,101500,82,82,82,82,210,0
BPC,5,20210208,111000,84,86,82,84.5,2387,0
BPC,5,20210208,115000,84,85.5,84,85.5,250,0
BPC,5,20210208,121000,85,85,85,85,40,0
BPC,5,20210208,123500,85,85.5,85,85.5,44,0
BPC,5,20210208,124000,85.5,85.5,85.5,85.5,34,0
BPC,5,20210208,141500,83.5,85.5,83,85.5,1200,0
BPC,5,20210208,142500,83,83,83,83,261,0
BPC,5,20210208,143000,82,82,82,82,29,0
BPC,5,20210208,143500,82.5,82.5,82.5,82.5,12,0
BPC,5,20210208,144000,82,82,82,82,21,0
BPC,5,20210208,144500,83.5,84,83.5,84,122,0
BPC,5,20210208,150500,84,85,82,84,1877,0
BPC,5,20210208,151000,83,84.5,83,84.5,99,0
BPC,5,20210208,153000,82,82,82,82,150,0
BPC,5,20210208,154000,82,84,81.5,83,1750,0
BPC,5,20210208,160000,83,85,82,84,3330,0
BPC,5,20210208,160500,84,84,84,84,40,0
BPC,5,20210208,162000,83.5,83.5,83.5,83.5,25,0
