<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BPN,5,20210204,090000,1.14,1.14,1.14,1.14,4601,0
BPN,5,20210204,091000,1.14,1.14,1.14,1.14,799,0
BPN,5,20210204,140000,1.15,1.15,1.15,1.15,2000,0
BPN,5,20210205,090000,1.18,1.18,1.18,1.18,10,0
BPN,5,20210205,110500,1.09,1.09,1.09,1.09,2200,0
BPN,5,20210205,113500,1.09,1.09,1.09,1.09,171,0
BPN,5,20210205,124500,1.15,1.15,1.15,1.15,3990,0
BPN,5,20210205,131000,1.16,1.17,1.16,1.17,2700,0
BPN,5,20210208,090000,1.17,1.17,1.17,1.17,10,0
BPN,5,20210208,090500,1.12,1.12,1.12,1.12,2076,0
BPN,5,20210208,104500,1.13,1.13,1.13,1.13,1500,0
BPN,5,20210208,111000,1.12,1.12,1.12,1.12,2000,0
BPN,5,20210208,115000,1.12,1.12,1.12,1.12,2000,0
BPN,5,20210208,125000,1.13,1.13,1.13,1.13,1250,0
BPN,5,20210208,125500,1.12,1.12,1.12,1.12,1109,0
BPN,5,20210208,131500,1.12,1.12,1.12,1.12,891,0
BPN,5,20210208,132000,1.12,1.12,1.12,1.12,9,0
BPN,5,20210208,140500,1.17,1.17,1.17,1.17,1000,0
BPN,5,20210208,141500,1.17,1.19,1.17,1.19,1479,0
BPN,5,20210208,143000,1.18,1.18,1.18,1.18,1399,0
BPN,5,20210209,090000,1.18,1.18,1.18,1.18,10,0
BPN,5,20210209,131000,1.12,1.12,1.12,1.12,150,0
BPN,5,20210209,155500,1.18,1.18,1.18,1.18,651,0
BPN,5,20210210,090000,1.18,1.18,1.18,1.18,10,0
BPN,5,20210210,103500,1.12,1.12,1.12,1.12,2289,0
BPN,5,20210210,133500,1.1,1.1,1.08,1.08,2700,0
BPN,5,20210210,163000,1.08,1.08,1.08,1.08,562,0
BPN,5,20210211,090000,1.14,1.14,1.14,1.14,5,0
BPN,5,20210211,090500,1.14,1.14,1.14,1.14,1235,0
BPN,5,20210211,091500,1.17,1.17,1.17,1.17,900,0
BPN,5,20210211,092000,1.17,1.17,1.17,1.17,805,0
BPN,5,20210211,151500,1.17,1.17,1.17,1.17,700,0
BPN,5,20210211,154000,1.13,1.13,1.13,1.13,700,0
BPN,5,20210212,090000,1.17,1.17,1.17,1.17,10,0
BPN,5,20210212,135000,1.17,1.17,1.17,1.17,825,0
BPN,5,20210212,144500,1.14,1.14,1.14,1.14,1000,0
BPN,5,20210212,145000,1.12,1.12,1.12,1.12,1234,0
BPN,5,20210212,164500,1.18,1.18,1.18,1.18,10,0
BPN,5,20210215,090000,1.18,1.18,1.18,1.18,10,0
BPN,5,20210215,102500,1.18,1.18,1.18,1.18,1250,0
BPN,5,20210215,103500,1.12,1.12,1.11,1.11,11000,0
BPN,5,20210215,120500,1.18,1.18,1.18,1.18,1372,0
BPN,5,20210215,145000,1.17,1.21,1.17,1.21,10090,0
BPN,5,20210215,145500,1.24,1.3,1.24,1.3,11500,0
BPN,5,20210215,150000,1.3,1.39,1.3,1.38,13088,0
