<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BPX,5,20210204,090000,4.28,4.28,4.28,4.28,16,0
BPX,5,20210204,095000,4.48,4.7,4.48,4.7,100,0
BPX,5,20210204,100000,4.7,4.72,4.7,4.72,1675,0
BPX,5,20210204,104000,4.7,4.7,4.7,4.7,50,0
BPX,5,20210204,104500,4.7,4.7,4.7,4.7,50,0
BPX,5,20210204,111000,4.7,4.7,4.7,4.7,200,0
BPX,5,20210204,121000,4.7,4.72,4.7,4.72,550,0
BPX,5,20210204,134000,4.7,4.7,4.7,4.7,44,0
BPX,5,20210204,152000,4.7,4.7,4.7,4.7,37,0
BPX,5,20210204,164500,4.74,4.74,4.74,4.74,7,0
BPX,5,20210205,102000,4.72,4.72,4.72,4.72,630,0
BPX,5,20210205,104500,4.72,4.72,4.72,4.72,215,0
BPX,5,20210205,105000,4.6,4.6,4.12,4.12,400,0
BPX,5,20210205,121000,4.68,4.68,4.68,4.68,8,0
BPX,5,20210208,102500,4.68,4.68,4.48,4.48,10,0
BPX,5,20210208,103000,4.16,4.16,4.1,4.1,3085,0
BPX,5,20210208,113500,4.1,4.1,4.1,4.1,1030,0
BPX,5,20210208,120000,3.9,3.92,3.9,3.9,915,0
BPX,5,20210208,121500,4,4,4,4,50,0
BPX,5,20210208,122500,4,4,4,4,250,0
BPX,5,20210208,131000,3.84,3.84,3.78,3.78,3435,0
BPX,5,20210208,133000,3.8,3.8,3.76,3.76,1930,0
BPX,5,20210208,134000,4,4,4,4,5,0
BPX,5,20210208,143000,3.88,3.88,3.88,3.88,290,0
BPX,5,20210208,144500,3.88,3.88,3.88,3.88,500,0
BPX,5,20210208,153000,3.88,3.88,3.88,3.88,375,0
BPX,5,20210208,160500,3.98,3.98,3.98,3.98,1111,0
BPX,5,20210208,161000,4.06,4.06,4.06,4.06,10,0
BPX,5,20210208,164500,4,4,4,4,25,0
BPX,5,20210209,104000,3.9,3.9,3.9,3.9,154,0
BPX,5,20210209,164500,3.8,3.8,3.8,3.8,500,0
BPX,5,20210210,090000,3.8,3.8,3.8,3.8,65,0
BPX,5,20210210,105500,3.8,3.8,3.8,3.8,210,0
BPX,5,20210210,110000,3.92,4.04,3.92,4.04,688,0
BPX,5,20210210,112500,4.04,4.04,4.04,4.04,500,0
BPX,5,20210210,114000,4.04,4.5,4.04,4.5,103,0
BPX,5,20210210,115500,4.4,4.5,4.4,4.5,300,0
BPX,5,20210210,121000,4.5,4.5,4.5,4.5,111,0
BPX,5,20210210,125000,4.5,4.5,4.5,4.5,1560,0
BPX,5,20210210,131000,4.3,4.3,4.3,4.3,7,0
BPX,5,20210210,132000,4.3,4.3,4.3,4.3,477,0
BPX,5,20210210,141000,4.22,4.22,4.22,4.22,500,0
BPX,5,20210210,141500,4.22,4.22,4.22,4.22,500,0
BPX,5,20210210,143000,4.2,4.2,4.2,4.2,50,0
BPX,5,20210210,144500,4.2,4.2,4.2,4.2,100,0
BPX,5,20210210,145500,4.1,4.1,4,4,266,0
BPX,5,20210210,161000,4.18,4.18,4.18,4.18,40,0
BPX,5,20210211,090000,4.18,4.18,4.18,4.18,10,0
BPX,5,20210211,124000,4.22,4.22,4.18,4.18,691,0
BPX,5,20210211,132500,4,4,4,4,1254,0
BPX,5,20210211,133000,3.9,3.9,3.9,3.9,500,0
BPX,5,20210211,135500,3.9,3.9,3.8,3.8,1780,0
BPX,5,20210211,140000,3.8,3.8,3.7,3.7,1500,0
BPX,5,20210211,140500,3.68,3.68,3.68,3.68,300,0
