<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BRH,5,20210204,090000,2.71,2.71,2.66,2.66,770,0
BRH,5,20210204,091000,2.66,2.66,2.66,2.66,1000,0
BRH,5,20210204,093000,2.71,2.72,2.71,2.72,1100,0
BRH,5,20210204,093500,2.72,2.72,2.72,2.72,1000,0
BRH,5,20210204,095000,2.72,2.72,2.72,2.72,1959,0
BRH,5,20210204,095500,2.72,2.72,2.72,2.72,1400,0
BRH,5,20210204,101000,2.72,2.72,2.72,2.72,855,0
BRH,5,20210204,103000,2.7,2.7,2.7,2.7,100,0
BRH,5,20210204,110000,2.7,2.7,2.7,2.7,290,0
BRH,5,20210204,111000,2.7,2.7,2.7,2.7,235,0
BRH,5,20210204,112000,2.7,2.72,2.7,2.72,4000,0
BRH,5,20210204,113000,2.71,2.72,2.71,2.71,150,0
BRH,5,20210204,113500,2.71,2.71,2.71,2.71,500,0
BRH,5,20210204,115000,2.7,2.72,2.7,2.72,1554,0
BRH,5,20210204,115500,2.73,2.73,2.7,2.7,2000,0
BRH,5,20210204,125500,2.7,2.7,2.7,2.7,623,0
BRH,5,20210204,133500,2.73,2.74,2.73,2.74,3880,0
BRH,5,20210204,134000,2.75,2.75,2.75,2.75,1896,0
BRH,5,20210204,135500,2.77,2.78,2.77,2.78,37,0
BRH,5,20210204,144000,2.75,2.75,2.75,2.75,118,0
BRH,5,20210204,151500,2.73,2.73,2.73,2.73,600,0
BRH,5,20210204,153000,2.77,2.77,2.77,2.77,1089,0
BRH,5,20210204,160000,2.77,2.77,2.7,2.7,4190,0
BRH,5,20210204,161500,2.71,2.71,2.7,2.7,900,0
BRH,5,20210204,163500,2.75,2.75,2.75,2.75,500,0
BRH,5,20210204,164000,2.75,2.75,2.75,2.75,1300,0
BRH,5,20210204,164500,2.75,2.75,2.75,2.75,811,0
BRH,5,20210205,090500,2.75,2.75,2.75,2.75,1000,0
BRH,5,20210205,091500,2.77,2.81,2.77,2.81,7116,0
BRH,5,20210205,092000,2.81,2.81,2.81,2.81,128,0
BRH,5,20210205,093500,2.81,2.82,2.81,2.82,1000,0
BRH,5,20210205,094000,2.82,2.82,2.82,2.82,846,0
BRH,5,20210205,094500,2.85,2.85,2.85,2.85,1900,0
BRH,5,20210205,095500,2.82,2.85,2.82,2.85,2400,0
BRH,5,20210205,100000,2.85,2.88,2.85,2.88,696,0
BRH,5,20210205,100500,2.89,2.89,2.89,2.89,1375,0
BRH,5,20210205,101500,2.89,2.9,2.89,2.9,3158,0
BRH,5,20210205,102000,2.9,2.91,2.88,2.91,11213,0
BRH,5,20210205,102500,2.94,2.94,2.91,2.91,1908,0
BRH,5,20210205,103000,2.91,2.91,2.91,2.91,1513,0
BRH,5,20210205,103500,2.94,2.94,2.94,2.94,122,0
BRH,5,20210205,112000,2.94,2.94,2.94,2.94,130,0
BRH,5,20210205,112500,2.86,2.86,2.86,2.86,250,0
BRH,5,20210205,113000,2.92,2.92,2.86,2.86,233,0
BRH,5,20210205,115000,2.86,2.86,2.85,2.85,1450,0
BRH,5,20210205,120000,2.85,2.85,2.85,2.85,2500,0
BRH,5,20210205,130000,2.85,2.85,2.85,2.85,254,0
BRH,5,20210205,135000,2.85,2.9,2.85,2.9,4337,0
BRH,5,20210205,135500,2.9,2.9,2.9,2.9,4911,0
BRH,5,20210205,140000,2.9,2.9,2.9,2.9,437,0
BRH,5,20210205,140500,2.9,2.9,2.9,2.9,315,0
BRH,5,20210205,141500,2.9,2.9,2.9,2.9,685,0
BRH,5,20210205,143000,2.92,2.92,2.92,2.92,357,0
BRH,5,20210205,143500,2.92,2.92,2.92,2.92,643,0
BRH,5,20210205,144500,2.92,2.92,2.92,2.92,200,0
BRH,5,20210205,145000,2.92,2.92,2.92,2.92,304,0
BRH,5,20210205,145500,2.9,2.9,2.9,2.9,61,0
BRH,5,20210205,150000,2.9,2.9,2.85,2.85,3158,0
BRH,5,20210205,151500,2.89,2.89,2.89,2.89,406,0
BRH,5,20210205,153500,2.89,2.89,2.85,2.85,1714,0
BRH,5,20210205,160500,2.85,2.85,2.85,2.85,808,0
BRH,5,20210205,161000,2.84,2.84,2.84,2.84,1000,0
BRH,5,20210205,164500,2.88,2.88,2.88,2.88,50,0
BRH,5,20210208,090000,2.94,2.94,2.92,2.92,5082,0
BRH,5,20210208,090500,2.92,2.92,2.92,2.92,600,0
BRH,5,20210208,091000,2.92,2.92,2.92,2.92,300,0
BRH,5,20210208,102000,2.93,2.96,2.93,2.96,7952,0
BRH,5,20210208,104000,2.96,2.99,2.96,2.99,3882,0
BRH,5,20210208,104500,2.99,3,2.99,3,3995,0
BRH,5,20210208,105500,3,3,3,3,2027,0
BRH,5,20210208,110000,3.02,3.02,2.9,2.9,5259,0
BRH,5,20210208,113000,2.92,2.92,2.92,2.92,3000,0
BRH,5,20210208,120500,2.93,2.93,2.92,2.92,1300,0
BRH,5,20210208,130500,2.94,2.94,2.94,2.94,400,0
BRH,5,20210208,140500,2.92,2.92,2.91,2.91,354,0
BRH,5,20210208,141000,2.94,2.94,2.94,2.94,600,0
BRH,5,20210208,143000,2.94,3,2.94,3,3697,0
BRH,5,20210208,143500,3,3,3,3,2283,0
BRH,5,20210208,144000,3,3,3,3,170,0
BRH,5,20210208,144500,3,3,3,3,1200,0
BRH,5,20210208,145000,3.01,3.01,3.01,3.01,1,0
BRH,5,20210208,145500,3,3,3,3,340,0
BRH,5,20210208,150000,3,3,3,3,106,0
BRH,5,20210208,150500,3.01,3.01,3.01,3.01,999,0
BRH,5,20210208,151500,3.01,3.01,3,3,1003,0
BRH,5,20210208,152500,3,3,3,3,340,0
BRH,5,20210208,154500,3,3,3,3,600,0
BRH,5,20210208,155500,2.95,2.95,2.95,2.95,200,0
BRH,5,20210208,160000,2.95,2.95,2.94,2.94,900,0
BRH,5,20210208,160500,3,3,3,3,1100,0
BRH,5,20210208,161500,3,3,3,3,800,0
BRH,5,20210208,162500,3,3,3,3,415,0
BRH,5,20210208,164000,3.01,3.01,3.01,3.01,828,0
BRH,5,20210208,164500,3.02,3.02,3.02,3.02,2500,0
BRH,5,20210209,090000,2.96,2.96,2.96,2.96,3000,0
BRH,5,20210209,090500,2.98,2.98,2.97,2.97,1500,0
BRH,5,20210209,091000,2.97,2.97,2.97,2.97,500,0
BRH,5,20210209,091500,2.97,2.97,2.97,2.97,900,0
BRH,5,20210209,092500,2.97,2.97,2.97,2.97,1800,0
BRH,5,20210209,093000,2.97,2.97,2.97,2.97,300,0
BRH,5,20210209,102000,2.96,2.96,2.96,2.96,1000,0
BRH,5,20210209,110000,2.96,2.96,2.96,2.96,87,0
BRH,5,20210209,110500,2.96,2.96,2.96,2.96,1000,0
BRH,5,20210209,112500,3,3,3,3,100,0
BRH,5,20210209,113000,3,3.04,2.96,2.98,2903,0
BRH,5,20210209,115500,2.99,2.99,2.98,2.98,1176,0
BRH,5,20210209,124500,2.93,2.93,2.91,2.91,3039,0
BRH,5,20210209,130000,2.91,2.91,2.91,2.91,1200,0
BRH,5,20210209,134000,2.91,2.91,2.91,2.91,220,0
BRH,5,20210209,142000,2.93,2.93,2.91,2.91,1462,0
BRH,5,20210209,142500,2.9,2.9,2.9,2.9,968,0
BRH,5,20210209,143000,2.87,2.87,2.87,2.87,1556,0
BRH,5,20210209,143500,2.86,2.86,2.85,2.85,2000,0
BRH,5,20210209,144000,2.85,2.85,2.85,2.85,32,0
BRH,5,20210209,144500,2.87,2.94,2.87,2.94,700,0
BRH,5,20210209,151000,2.9,2.9,2.9,2.9,800,0
BRH,5,20210209,151500,2.9,2.9,2.9,2.9,200,0
BRH,5,20210209,153500,2.92,2.92,2.92,2.92,560,0
BRH,5,20210209,155500,2.9,2.9,2.9,2.9,900,0
BRH,5,20210209,160000,2.9,2.9,2.9,2.9,400,0
BRH,5,20210209,161000,2.88,2.88,2.88,2.88,992,0
BRH,5,20210209,164500,2.91,2.91,2.91,2.91,210,0
BRH,5,20210210,090000,2.9,2.9,2.85,2.85,1685,0
BRH,5,20210210,091000,2.85,2.85,2.85,2.85,700,0
BRH,5,20210210,092500,2.91,2.91,2.91,2.91,47,0
BRH,5,20210210,094500,2.91,2.97,2.91,2.97,8964,0
BRH,5,20210210,095000,2.97,2.98,2.97,2.98,3385,0
BRH,5,20210210,095500,2.94,2.94,2.94,2.94,1000,0
BRH,5,20210210,100000,2.94,2.99,2.94,2.95,5373,0
BRH,5,20210210,102000,2.98,2.98,2.98,2.98,500,0
BRH,5,20210210,102500,2.98,2.98,2.98,2.98,405,0
BRH,5,20210210,104000,2.98,2.98,2.98,2.98,945,0
BRH,5,20210210,105500,2.98,2.98,2.98,2.98,184,0
BRH,5,20210210,110000,2.98,2.98,2.98,2.98,390,0
BRH,5,20210210,114500,2.98,2.98,2.98,2.98,13,0
BRH,5,20210210,115000,2.98,2.99,2.98,2.99,1700,0
BRH,5,20210210,122500,2.96,2.96,2.96,2.96,320,0
BRH,5,20210210,123000,2.99,3,2.99,3,4800,0
BRH,5,20210210,124500,2.97,2.97,2.97,2.97,278,0
BRH,5,20210210,130000,2.97,2.97,2.96,2.96,1005,0
BRH,5,20210210,130500,2.95,2.95,2.95,2.95,500,0
BRH,5,20210210,131000,2.95,2.95,2.92,2.92,1546,0
BRH,5,20210210,150500,2.91,2.91,2.85,2.85,3000,0
BRH,5,20210210,154500,2.86,2.86,2.85,2.85,385,0
BRH,5,20210210,160500,2.92,2.92,2.92,2.92,3363,0
BRH,5,20210210,161000,2.93,2.93,2.93,2.93,600,0
BRH,5,20210210,163000,2.92,2.92,2.85,2.85,1000,0
BRH,5,20210210,164500,2.85,2.94,2.85,2.94,1083,0
BRH,5,20210211,094000,2.92,2.93,2.92,2.93,1000,0
BRH,5,20210211,110000,2.93,2.96,2.93,2.96,2281,0
BRH,5,20210211,110500,2.99,2.99,2.99,2.99,191,0
BRH,5,20210211,111000,2.99,3.03,2.99,3.03,3714,0
BRH,5,20210211,111500,3,3,3,3,763,0
BRH,5,20210211,112000,3,3.01,3,3.01,1376,0
BRH,5,20210211,114000,3,3,3,3,561,0
BRH,5,20210211,114500,2.96,2.96,2.96,2.96,500,0
BRH,5,20210211,115500,2.96,2.96,2.96,2.96,494,0
BRH,5,20210211,122000,3,3,3,3,120,0
BRH,5,20210211,124000,3,3,3,3,2114,0
BRH,5,20210211,135500,2.99,2.99,2.99,2.99,2500,0
BRH,5,20210211,143500,2.98,2.98,2.98,2.98,1979,0
BRH,5,20210211,144000,2.98,2.98,2.98,2.98,1000,0
BRH,5,20210211,162000,2.98,2.98,2.96,2.96,330,0
BRH,5,20210211,164500,2.96,2.96,2.96,2.96,1200,0
BRH,5,20210212,093000,3,3,3,3,400,0
BRH,5,20210212,094500,3,3.01,3,3.01,250,0
BRH,5,20210212,100500,2.98,3,2.98,2.98,2035,0
BRH,5,20210212,104500,3.01,3.01,3.01,3.01,100,0
BRH,5,20210212,105500,2.98,2.98,2.98,2.98,467,0
BRH,5,20210212,110000,2.97,2.97,2.97,2.97,500,0
BRH,5,20210212,114000,3,3,3,3,64,0
BRH,5,20210212,122500,2.97,2.97,2.97,2.97,200,0
BRH,5,20210212,123000,2.97,2.97,2.97,2.97,505,0
BRH,5,20210212,134000,2.99,2.99,2.99,2.99,700,0
BRH,5,20210212,134500,2.99,2.99,2.99,2.99,250,0
BRH,5,20210212,144000,2.99,2.99,2.99,2.99,50,0
BRH,5,20210212,150500,2.97,2.97,2.97,2.97,267,0
BRH,5,20210212,151000,2.97,2.97,2.97,2.97,258,0
BRH,5,20210212,151500,2.97,2.97,2.97,2.97,1475,0
BRH,5,20210212,152000,3,3,3,3,560,0
BRH,5,20210212,152500,3,3,3,3,1120,0
BRH,5,20210212,153500,2.98,2.98,2.98,2.98,1225,0
BRH,5,20210212,160500,2.99,3.03,2.99,3.03,3150,0
BRH,5,20210215,090000,3.02,3.02,3,3,750,0
BRH,5,20210215,090500,3,3,2.98,2.98,749,0
BRH,5,20210215,091500,2.97,3.02,2.97,3.02,1100,0
BRH,5,20210215,094000,3,3.06,3,3.06,9000,0
BRH,5,20210215,094500,3.03,3.03,3.03,3.03,400,0
BRH,5,20210215,095000,3.06,3.06,3.06,3.06,350,0
BRH,5,20210215,095500,3.06,3.06,3.06,3.06,30,0
BRH,5,20210215,100000,3.01,3.05,3,3.05,2387,0
BRH,5,20210215,100500,3,3,3,3,335,0
BRH,5,20210215,101000,3,3.05,3,3.05,1800,0
BRH,5,20210215,105500,3.01,3.01,3.01,3.01,600,0
BRH,5,20210215,110000,3.01,3.01,3,3,2084,0
BRH,5,20210215,110500,2.98,2.98,2.98,2.98,2166,0
BRH,5,20210215,112500,2.99,2.99,2.99,2.99,834,0
BRH,5,20210215,121000,3,3.02,3,3.02,3415,0
BRH,5,20210215,122000,3.02,3.03,3.02,3.03,400,0
BRH,5,20210215,124500,3.03,3.03,3.03,3.03,50,0
BRH,5,20210215,125000,3.03,3.03,3.03,3.03,10,0
BRH,5,20210215,133000,3.03,3.03,3.03,3.03,866,0
BRH,5,20210215,134000,3.04,3.04,3.04,3.04,200,0
BRH,5,20210215,134500,3.03,3.03,3.03,3.03,1,0
BRH,5,20210215,135000,3.03,3.04,3.03,3.04,1000,0
BRH,5,20210215,141000,3,3,3,3,1500,0
BRH,5,20210215,142000,3,3,3,3,320,0
BRH,5,20210215,152000,3.03,3.05,3.03,3.05,2769,0
BRH,5,20210215,153000,3.05,3.06,3.05,3.06,1678,0
BRH,5,20210215,154000,3.02,3.02,3.01,3.01,980,0
BRH,5,20210215,155500,3.05,3.05,3.05,3.05,380,0
BRH,5,20210215,162500,3.05,3.05,3.05,3.05,2000,0
BRH,5,20210215,163500,3.02,3.02,3.02,3.02,560,0
BRH,5,20210215,164000,3.02,3.02,3,3,3124,0
BRH,5,20210215,164500,3,3,3,3,4000,0
BRH,5,20210216,090000,2.81,2.9,2.76,2.85,12452,0
BRH,5,20210216,090500,2.83,2.83,2.83,2.83,1000,0
BRH,5,20210216,091000,2.87,2.87,2.84,2.84,550,0
BRH,5,20210216,091500,2.88,2.9,2.88,2.9,4000,0
BRH,5,20210216,093500,2.9,2.9,2.9,2.9,3764,0
BRH,5,20210216,094000,2.9,2.9,2.9,2.9,336,0
BRH,5,20210216,094500,2.9,2.97,2.9,2.97,2164,0
BRH,5,20210216,095000,2.97,2.98,2.97,2.98,1250,0
BRH,5,20210216,100000,2.98,3,2.98,3,5500,0
BRH,5,20210216,100500,3.04,3.04,3.04,3.04,200,0
BRH,5,20210216,101000,3,3,3,3,133,0
BRH,5,20210216,102000,3,3,3,3,1327,0
BRH,5,20210216,103500,3.03,3.03,3.03,3.03,500,0
BRH,5,20210216,104500,3.01,3.01,3.01,3.01,100,0
BRH,5,20210216,105000,3,3,3,3,2000,0
BRH,5,20210216,110000,3,3.04,3,3.04,6580,0
BRH,5,20210216,111500,3,3,3,3,2103,0
BRH,5,20210216,114000,2.98,2.98,2.98,2.98,289,0
BRH,5,20210216,123000,3,3,3,3,347,0
BRH,5,20210216,125000,3,3,3,3,153,0
BRH,5,20210216,125500,2.98,2.98,2.98,2.98,347,0
BRH,5,20210216,132000,3,3,3,3,443,0
BRH,5,20210216,135500,2.98,2.98,2.98,2.98,1458,0
BRH,5,20210216,141500,3,3,3,3,804,0
BRH,5,20210216,142000,2.98,2.98,2.98,2.98,451,0
BRH,5,20210216,142500,2.98,2.98,2.98,2.98,53,0
BRH,5,20210216,143500,2.98,2.98,2.98,2.98,42,0
BRH,5,20210216,161500,2.96,2.96,2.96,2.96,2058,0
BRH,5,20210216,162000,2.96,2.96,2.96,2.96,1000,0
BRH,5,20210216,164000,2.96,3.01,2.96,3.01,5780,0
BRH,5,20210216,164500,3.01,3.02,3.01,3.02,70,0
BRH,5,20210217,090000,3.04,3.04,3.04,3.04,2000,0
BRH,5,20210217,091000,3.02,3.04,3.02,3.04,1000,0
BRH,5,20210217,093500,3.04,3.04,3.04,3.04,100,0
BRH,5,20210217,094000,3.04,3.04,3.04,3.04,1000,0
BRH,5,20210217,094500,3.01,3.01,2.98,2.98,2266,0
BRH,5,20210217,115000,2.98,2.98,2.98,2.98,100,0
BRH,5,20210217,122000,3,3,3,3,530,0
BRH,5,20210217,122500,3,3,3,3,1335,0
BRH,5,20210217,123000,3.01,3.01,3.01,3.01,450,0
BRH,5,20210217,124500,3.01,3.01,3.01,3.01,500,0
BRH,5,20210217,131500,3,3,3,3,515,0
BRH,5,20210217,132000,3.01,3.01,3.01,3.01,200,0
BRH,5,20210217,133000,3,3,3,3,5000,0
BRH,5,20210217,135500,2.98,2.98,2.98,2.98,147,0
BRH,5,20210217,141000,3.01,3.01,3.01,3.01,50,0
BRH,5,20210217,150000,3.01,3.01,3.01,3.01,300,0
BRH,5,20210217,150500,3.01,3.01,3.01,3.01,200,0
BRH,5,20210217,151000,2.98,2.98,2.98,2.98,300,0
BRH,5,20210217,151500,2.98,2.98,2.98,2.98,500,0
BRH,5,20210217,164500,3.02,3.02,3.02,3.02,1223,0
BRH,5,20210218,090500,3,3,3,3,100,0
BRH,5,20210218,093500,3.02,3.02,3.02,3.02,320,0
BRH,5,20210218,094500,3.03,3.03,3.03,3.03,543,0
BRH,5,20210218,100000,3.04,3.06,3.04,3.06,4600,0
BRH,5,20210218,101500,3.04,3.04,3.04,3.04,164,0
BRH,5,20210218,110000,3.04,3.04,3.04,3.04,300,0
BRH,5,20210218,111500,3.04,3.04,3.04,3.04,77,0
BRH,5,20210218,113500,3.04,3.05,3.04,3.05,1010,0
BRH,5,20210218,114000,3.05,3.06,3.05,3.06,151,0
BRH,5,20210218,121500,3.04,3.04,3.03,3.03,723,0
BRH,5,20210218,123500,3.02,3.02,3.02,3.02,841,0
BRH,5,20210218,131000,3.03,3.03,3.03,3.03,617,0
BRH,5,20210218,142500,3.02,3.02,3,3,1120,0
BRH,5,20210218,151000,3,3,3,3,850,0
BRH,5,20210218,154500,3,3,3,3,3871,0
BRH,5,20210218,155000,2.98,2.98,2.98,2.98,475,0
BRH,5,20210218,164500,2.98,2.98,2.98,2.98,1151,0
