<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BRO,5,20210204,110000,0.105,0.105,0.105,0.105,8775,0
BRO,5,20210204,110500,0.105,0.105,0.105,0.105,5000,0
BRO,5,20210204,111000,0.105,0.105,0.105,0.105,2334,0
BRO,5,20210204,112000,0.105,0.105,0.105,0.105,2828,0
BRO,5,20210204,112500,0.105,0.105,0.105,0.105,2000,0
BRO,5,20210204,150000,0.105,0.105,0.105,0.105,29077,0
BRO,5,20210205,110000,0.106,0.106,0.106,0.106,39293,0
BRO,5,20210205,112500,0.106,0.106,0.106,0.106,2469,0
BRO,5,20210205,150000,0.105,0.105,0.105,0.105,37739,0
BRO,5,20210208,110000,0.11,0.11,0.11,0.11,58805,0
BRO,5,20210208,150000,0.116,0.116,0.116,0.116,46346,0
BRO,5,20210209,110000,0.139,0.139,0.139,0.139,56358,0
BRO,5,20210209,110500,0.139,0.139,0.139,0.139,6800,0
BRO,5,20210209,150000,0.14,0.14,0.14,0.14,46517,0
BRO,5,20210209,152000,0.14,0.14,0.14,0.14,2000,0
BRO,5,20210210,110000,0.151,0.151,0.151,0.151,32700,0
BRO,5,20210210,150000,0.2,0.2,0.2,0.2,54317,0
BRO,5,20210210,150500,0.2,0.2,0.2,0.2,2300,0
BRO,5,20210210,152000,0.2,0.2,0.2,0.2,4000,0
BRO,5,20210210,152500,0.2,0.2,0.2,0.2,12547,0
BRO,5,20210211,110000,0.2,0.2,0.2,0.2,70397,0
BRO,5,20210211,110500,0.2,0.2,0.2,0.2,14947,0
BRO,5,20210211,112000,0.2,0.2,0.2,0.2,900,0
BRO,5,20210211,150000,0.102,0.102,0.102,0.102,234823,0
BRO,5,20210215,110000,0.139,0.139,0.139,0.139,48545,0
BRO,5,20210215,110500,0.139,0.139,0.139,0.139,45700,0
BRO,5,20210215,111000,0.139,0.139,0.139,0.139,6342,0
BRO,5,20210215,111500,0.139,0.139,0.139,0.139,20000,0
BRO,5,20210215,150000,0.16,0.16,0.16,0.16,19000,0
BRO,5,20210215,151000,0.16,0.16,0.16,0.16,940,0
BRO,5,20210215,152000,0.16,0.16,0.16,0.16,1000,0
BRO,5,20210216,110000,0.15,0.15,0.15,0.15,42511,0
BRO,5,20210216,110500,0.15,0.15,0.15,0.15,4000,0
BRO,5,20210216,150000,0.13,0.13,0.13,0.13,42011,0
BRO,5,20210216,151000,0.13,0.13,0.13,0.13,1276,0
BRO,5,20210217,110000,0.13,0.13,0.13,0.13,11517,0
BRO,5,20210217,111500,0.13,0.13,0.13,0.13,7483,0
BRO,5,20210217,150000,0.12,0.12,0.12,0.12,14768,0
BRO,5,20210217,152500,0.12,0.12,0.12,0.12,2790,0
BRO,5,20210218,110000,0.14,0.14,0.14,0.14,31507,0
BRO,5,20210218,111000,0.14,0.14,0.14,0.14,9457,0
BRO,5,20210218,150000,0.15,0.15,0.15,0.15,80251,0
BRO,5,20210218,150500,0.15,0.15,0.15,0.15,30945,0
BRO,5,20210218,151000,0.15,0.15,0.15,0.15,5000,0
BRO,5,20210219,110000,0.158,0.158,0.158,0.158,1300,0
BRO,5,20210219,150000,0.157,0.157,0.157,0.157,2500,0
BRO,5,20210222,110000,0.158,0.158,0.158,0.158,59900,0
BRO,5,20210222,150000,0.156,0.156,0.156,0.156,4781,0
BRO,5,20210223,110000,0.156,0.156,0.156,0.156,15000,0
BRO,5,20210223,110500,0.156,0.156,0.156,0.156,14773,0
BRO,5,20210223,150000,0.156,0.156,0.156,0.156,12700,0
BRO,5,20210223,151000,0.156,0.156,0.156,0.156,38207,0
BRO,5,20210224,110000,0.109,0.109,0.109,0.109,266188,0
BRO,5,20210224,112500,0.109,0.109,0.109,0.109,7000,0
BRO,5,20210224,150000,0.125,0.125,0.125,0.125,24444,0
BRO,5,20210224,152500,0.125,0.125,0.125,0.125,2000,0
BRO,5,20210225,110000,0.158,0.158,0.158,0.158,180890,0
BRO,5,20210225,110500,0.158,0.158,0.158,0.158,15000,0
BRO,5,20210225,111000,0.158,0.158,0.158,0.158,2510,0
BRO,5,20210225,112000,0.158,0.158,0.158,0.158,2000,0
BRO,5,20210225,150000,0.158,0.158,0.158,0.158,161859,0
BRO,5,20210225,151500,0.158,0.158,0.158,0.158,16000,0
BRO,5,20210225,152000,0.158,0.158,0.158,0.158,37119,0
BRO,5,20210226,110000,0.222,0.222,0.222,0.222,220480,0
BRO,5,20210226,110500,0.222,0.222,0.222,0.222,6643,0
BRO,5,20210226,111500,0.222,0.222,0.222,0.222,178,0
BRO,5,20210226,112000,0.222,0.222,0.222,0.222,1870,0
BRO,5,20210226,112500,0.222,0.222,0.222,0.222,5000,0
BRO,5,20210226,150000,0.25,0.25,0.25,0.25,203035,0
BRO,5,20210226,150500,0.25,0.25,0.25,0.25,32487,0
BRO,5,20210226,151000,0.25,0.25,0.25,0.25,13767,0
BRO,5,20210226,151500,0.25,0.25,0.25,0.25,72192,0
BRO,5,20210226,152000,0.25,0.25,0.25,0.25,5804,0
BRO,5,20210226,152500,0.25,0.25,0.25,0.25,11000,0
BRO,5,20210301,110000,0.294,0.294,0.294,0.294,278768,0
BRO,5,20210301,110500,0.294,0.294,0.294,0.294,23500,0
BRO,5,20210301,111000,0.294,0.294,0.294,0.294,2690,0
BRO,5,20210301,111500,0.294,0.294,0.294,0.294,16782,0
BRO,5,20210301,112000,0.294,0.294,0.294,0.294,5180,0
BRO,5,20210301,112500,0.294,0.294,0.294,0.294,15135,0
BRO,5,20210301,150000,0.294,0.294,0.294,0.294,396472,0
BRO,5,20210301,151000,0.294,0.294,0.294,0.294,11000,0
BRO,5,20210301,151500,0.294,0.294,0.294,0.294,11,0
BRO,5,20210301,152000,0.294,0.294,0.294,0.294,48292,0
BRO,5,20210301,152500,0.294,0.294,0.294,0.294,51404,0
BRO,5,20210302,110000,0.35,0.35,0.35,0.35,144329,0
BRO,5,20210302,110500,0.35,0.35,0.35,0.35,42489,0
BRO,5,20210302,111000,0.35,0.35,0.35,0.35,75968,0
BRO,5,20210302,111500,0.35,0.35,0.35,0.35,1000,0
BRO,5,20210302,112000,0.35,0.35,0.35,0.35,1000,0
BRO,5,20210302,150000,0.418,0.418,0.418,0.418,47855,0
BRO,5,20210302,150500,0.418,0.418,0.418,0.418,29646,0
BRO,5,20210302,151000,0.418,0.418,0.418,0.418,5000,0
BRO,5,20210302,152500,0.418,0.418,0.418,0.418,3000,0
BRO,5,20210305,110000,0.6,0.6,0.6,0.6,142693,0
BRO,5,20210305,110500,0.6,0.6,0.6,0.6,15908,0
BRO,5,20210305,111000,0.6,0.6,0.6,0.6,7468,0
BRO,5,20210305,111500,0.6,0.6,0.6,0.6,9991,0
BRO,5,20210305,112000,0.6,0.6,0.6,0.6,16930,0
BRO,5,20210305,112500,0.6,0.6,0.6,0.6,3765,0
BRO,5,20210305,150000,0.51,0.51,0.51,0.51,170277,0
BRO,5,20210305,150500,0.51,0.51,0.51,0.51,2580,0
BRO,5,20210305,151000,0.51,0.51,0.51,0.51,4000,0
BRO,5,20210305,151500,0.51,0.51,0.51,0.51,9724,0
BRO,5,20210305,152000,0.51,0.51,0.51,0.51,1250,0
BRO,5,20210305,152500,0.51,0.51,0.51,0.51,12388,0
BRO,5,20210308,110000,0.59,0.59,0.59,0.59,82943,0
BRO,5,20210308,110500,0.59,0.59,0.59,0.59,15093,0
BRO,5,20210308,111000,0.59,0.59,0.59,0.59,6253,0
BRO,5,20210308,111500,0.59,0.59,0.59,0.59,15700,0
BRO,5,20210308,112000,0.59,0.59,0.59,0.59,7059,0
BRO,5,20210308,112500,0.59,0.59,0.59,0.59,10149,0
BRO,5,20210308,150000,0.59,0.59,0.59,0.59,118998,0
BRO,5,20210308,150500,0.59,0.59,0.59,0.59,3536,0
BRO,5,20210308,151000,0.59,0.59,0.59,0.59,46881,0
BRO,5,20210308,151500,0.59,0.59,0.59,0.59,5000,0
BRO,5,20210308,152000,0.59,0.59,0.59,0.59,6543,0
BRO,5,20210309,110000,0.55,0.55,0.55,0.55,30319,0
BRO,5,20210309,110500,0.55,0.55,0.55,0.55,23107,0
BRO,5,20210309,111000,0.55,0.55,0.55,0.55,50,0
BRO,5,20210309,112000,0.55,0.55,0.55,0.55,1575,0
BRO,5,20210309,150500,0.442,0.442,0.442,0.442,83894,0
BRO,5,20210309,151000,0.442,0.442,0.442,0.442,24076,0
BRO,5,20210309,151500,0.442,0.442,0.442,0.442,15000,0
