<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSA,5,20210204,090000,0.61,0.61,0.57,0.58,59341,0
BSA,5,20210204,090500,0.57,0.58,0.57,0.58,61699,0
BSA,5,20210204,091000,0.595,0.61,0.59,0.59,48864,0
BSA,5,20210204,091500,0.59,0.6,0.58,0.585,13491,0
BSA,5,20210204,092000,0.585,0.595,0.585,0.59,26846,0
BSA,5,20210204,092500,0.595,0.595,0.58,0.58,63518,0
BSA,5,20210204,093000,0.58,0.58,0.565,0.57,87755,0
BSA,5,20210204,093500,0.57,0.58,0.565,0.57,7900,0
BSA,5,20210204,094000,0.57,0.575,0.565,0.57,69418,0
BSA,5,20210204,094500,0.57,0.58,0.57,0.575,34266,0
BSA,5,20210204,095000,0.57,0.57,0.565,0.565,9000,0
BSA,5,20210204,095500,0.565,0.57,0.55,0.565,80190,0
BSA,5,20210204,100000,0.565,0.565,0.565,0.565,5000,0
BSA,5,20210204,100500,0.565,0.565,0.565,0.565,3000,0
BSA,5,20210204,101000,0.565,0.57,0.56,0.56,12318,0
BSA,5,20210204,101500,0.56,0.56,0.56,0.56,2000,0
BSA,5,20210204,102000,0.56,0.57,0.555,0.555,12438,0
BSA,5,20210204,102500,0.56,0.56,0.56,0.56,78,0
BSA,5,20210204,103000,0.56,0.56,0.555,0.555,10254,0
BSA,5,20210204,103500,0.56,0.565,0.55,0.55,40230,0
BSA,5,20210204,104000,0.55,0.56,0.55,0.56,10000,0
BSA,5,20210204,104500,0.555,0.555,0.555,0.555,11535,0
BSA,5,20210204,105000,0.56,0.56,0.56,0.56,7355,0
BSA,5,20210204,105500,0.56,0.56,0.555,0.555,17218,0
BSA,5,20210204,110000,0.56,0.56,0.56,0.56,1000,0
BSA,5,20210204,110500,0.555,0.555,0.555,0.555,5000,0
BSA,5,20210204,111000,0.555,0.555,0.555,0.555,8677,0
BSA,5,20210204,111500,0.56,0.56,0.555,0.555,13000,0
BSA,5,20210204,112000,0.56,0.565,0.56,0.565,1500,0
BSA,5,20210204,112500,0.565,0.58,0.565,0.58,31387,0
BSA,5,20210204,113000,0.58,0.585,0.56,0.56,23244,0
BSA,5,20210204,113500,0.56,0.58,0.55,0.58,36379,0
BSA,5,20210204,114000,0.58,0.585,0.58,0.585,5191,0
BSA,5,20210204,114500,0.58,0.58,0.58,0.58,315,0
BSA,5,20210204,115000,0.58,0.58,0.58,0.58,6,0
BSA,5,20210204,120000,0.56,0.57,0.555,0.57,18470,0
BSA,5,20210204,120500,0.57,0.575,0.57,0.575,4420,0
BSA,5,20210204,121000,0.575,0.575,0.575,0.575,864,0
BSA,5,20210204,121500,0.575,0.575,0.575,0.575,1000,0
BSA,5,20210204,122000,0.565,0.565,0.565,0.565,2438,0
BSA,5,20210204,122500,0.56,0.565,0.56,0.56,5133,0
BSA,5,20210204,123000,0.56,0.57,0.56,0.57,13000,0
BSA,5,20210204,123500,0.575,0.575,0.575,0.575,1000,0
BSA,5,20210204,124000,0.575,0.575,0.575,0.575,3641,0
BSA,5,20210204,124500,0.57,0.57,0.57,0.57,400,0
