<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BTC,5,20210204,090000,3.9,3.9,3.9,3.9,111,0
BTC,5,20210205,090000,3.9,3.9,3.9,3.9,350,0
BTC,5,20210208,090000,4,4,4,4,4,0
BTC,5,20210208,125500,4,4,4,4,50,0
BTC,5,20210208,162500,3.82,3.82,3.82,3.82,265,0
BTC,5,20210209,095000,3.88,3.88,3.88,3.88,74,0
BTC,5,20210209,095500,3.7,3.7,3.7,3.7,74,0
BTC,5,20210209,104000,3.7,3.88,3.64,3.88,676,0
BTC,5,20210209,164500,3.66,3.84,3.52,3.84,522,0
BTC,5,20210210,103500,3.66,3.66,3.66,3.66,657,0
BTC,5,20210210,111500,3.8,3.8,3.8,3.8,20,0
BTC,5,20210210,113000,3.8,3.8,3.8,3.8,11,0
BTC,5,20210210,122500,3.8,3.8,3.8,3.8,100,0
BTC,5,20210210,145500,3.8,3.8,3.8,3.8,259,0
BTC,5,20210211,090000,3.84,3.84,3.84,3.84,40,0
BTC,5,20210212,093000,3.56,3.56,3.4,3.4,480,0
BTC,5,20210212,094000,3.58,3.86,3.58,3.86,305,0
BTC,5,20210212,124500,3.88,3.88,3.88,3.88,100,0
BTC,5,20210212,125500,3.88,3.88,3.88,3.88,75,0
BTC,5,20210212,131000,3.88,3.88,3.88,3.88,275,0
BTC,5,20210212,162000,3.84,3.84,3.84,3.84,4,0
BTC,5,20210215,090000,3.96,3.96,3.96,3.96,600,0
BTC,5,20210215,092000,3.94,3.96,3.94,3.96,400,0
BTC,5,20210215,095000,3.94,3.94,3.94,3.94,600,0
BTC,5,20210215,120000,3.94,3.94,3.94,3.94,250,0
BTC,5,20210215,143000,3.78,3.78,3.78,3.78,250,0
BTC,5,20210215,161000,3.94,3.94,3.94,3.94,11,0
BTC,5,20210215,161500,3.8,3.8,3.8,3.8,600,0
BTC,5,20210215,162500,3.78,3.78,3.78,3.78,4,0
BTC,5,20210215,163500,3.94,3.94,3.94,3.94,5,0
BTC,5,20210215,164000,3.78,3.78,3.78,3.78,16,0
BTC,5,20210215,164500,3.5,3.94,3.48,3.94,1267,0
BTC,5,20210216,090000,3.94,3.94,3.94,3.94,127,0
BTC,5,20210216,091500,3.76,3.76,3.76,3.76,173,0
BTC,5,20210216,092500,3.92,3.92,3.92,3.92,33,0
BTC,5,20210217,090000,3.9,3.9,3.9,3.9,20,0
BTC,5,20210217,113000,3.88,3.88,3.88,3.88,4,0
BTC,5,20210217,120500,3.88,3.88,3.88,3.88,21,0
BTC,5,20210217,121000,3.72,3.72,3.72,3.72,25,0
BTC,5,20210217,125000,3.72,3.88,3.72,3.88,711,0
BTC,5,20210217,144000,3.84,3.88,3.84,3.88,500,0
BTC,5,20210218,112000,3.84,3.84,3.84,3.84,200,0
BTC,5,20210218,162500,3.8,3.84,3.8,3.84,920,0
BTC,5,20210219,090000,4.04,4.26,4.04,4.26,876,0
BTC,5,20210219,090500,4.26,4.4,4.26,4.4,380,0
BTC,5,20210219,091500,4.1,4.4,4.02,4.4,2249,0
BTC,5,20210219,094500,3.84,3.84,3.8,3.8,10,0
BTC,5,20210219,100000,4.16,4.16,4.16,4.16,20,0
BTC,5,20210219,101000,4.14,4.14,4.14,4.14,66,0
BTC,5,20210219,104500,4,4,4,4,887,0
BTC,5,20210219,110500,3.9,4.14,3.9,4.14,241,0
BTC,5,20210219,132500,3.88,3.88,3.88,3.88,70,0
BTC,5,20210219,133500,3.88,4,3.88,4,200,0
BTC,5,20210219,162500,3.82,3.98,3.82,3.98,276,0
BTC,5,20210222,090500,4.14,4.18,4.14,4.18,1620,0
BTC,5,20210222,093000,4.18,4.18,4.18,4.18,20,0
BTC,5,20210222,110500,4.1,4.1,4.1,4.1,800,0
BTC,5,20210222,111000,4.08,4.08,4.08,4.08,700,0
BTC,5,20210222,111500,4,4,4,4,500,0
BTC,5,20210222,114500,4.16,4.16,4.16,4.16,11,0
BTC,5,20210222,123000,4,4,4,4,750,0
BTC,5,20210222,133500,4.1,4.1,4.1,4.1,2,0
BTC,5,20210222,150500,4,4,3.98,3.98,1205,0
BTC,5,20210222,153500,4.1,4.1,4.1,4.1,2,0
BTC,5,20210223,114000,3.94,3.94,3.94,3.94,10,0
BTC,5,20210223,121500,3.9,3.9,3.9,3.9,350,0
BTC,5,20210224,090000,4,4,4,4,11,0
BTC,5,20210224,090500,4,4.02,4,4.02,20,0
BTC,5,20210224,115000,3.94,3.96,3.94,3.96,40,0
BTC,5,20210224,115500,3.96,3.96,3.96,3.96,144,0
BTC,5,20210224,125500,3.82,3.82,3.82,3.82,411,0
BTC,5,20210224,151000,3.86,3.86,3.86,3.86,20,0
BTC,5,20210225,090000,3.84,3.84,3.84,3.84,500,0
BTC,5,20210225,153000,3.8,3.8,3.8,3.8,556,0
BTC,5,20210225,164500,3.88,3.88,3.88,3.88,11,0
BTC,5,20210226,090500,3.8,3.8,3.8,3.8,500,0
BTC,5,20210226,092500,3.72,3.72,3.72,3.72,600,0
BTC,5,20210226,100000,3.7,3.7,3.7,3.7,20,0
BTC,5,20210226,101000,3.7,3.7,3.7,3.7,435,0
BTC,5,20210226,101500,3.7,3.7,3.7,3.7,245,0
BTC,5,20210226,143000,3.72,3.72,3.7,3.7,605,0
BTC,5,20210226,145500,3.76,3.76,3.76,3.76,20,0
BTC,5,20210226,150500,3.78,3.78,3.78,3.78,20,0
BTC,5,20210301,093500,3.7,3.7,3.7,3.7,1200,0
BTC,5,20210301,100500,3.8,3.8,3.8,3.8,20,0
BTC,5,20210302,090000,3.8,3.8,3.8,3.8,23,0
BTC,5,20210302,113000,3.7,3.7,3.7,3.7,220,0
BTC,5,20210302,144500,3.7,3.7,3.7,3.7,68,0
BTC,5,20210302,152000,3.7,3.7,3.7,3.7,212,0
BTC,5,20210302,153000,3.7,3.7,3.7,3.7,383,0
BTC,5,20210302,154500,3.8,3.82,3.8,3.8,2560,0
BTC,5,20210302,160500,3.84,3.84,3.84,3.84,463,0
BTC,5,20210302,161000,3.86,3.94,3.86,3.94,769,0
BTC,5,20210303,090000,3.94,3.94,3.94,3.94,667,0
BTC,5,20210303,090500,3.94,3.94,3.94,3.94,183,0
BTC,5,20210303,150000,3.8,3.8,3.8,3.8,25,0
BTC,5,20210304,103000,3.8,3.8,3.8,3.8,10,0
BTC,5,20210304,105500,3.8,3.8,3.8,3.8,490,0
BTC,5,20210304,111000,3.8,3.8,3.8,3.8,3179,0
BTC,5,20210304,112000,3.8,3.8,3.8,3.8,266,0
BTC,5,20210304,121000,3.78,3.78,3.78,3.78,289,0
BTC,5,20210304,162500,3.78,3.78,3.7,3.7,1162,0
BTC,5,20210304,164500,3.78,3.78,3.78,3.78,1,0
BTC,5,20210305,090000,3.78,3.78,3.78,3.78,800,0
BTC,5,20210305,091000,3.68,3.68,3.68,3.68,1020,0
BTC,5,20210305,112500,3.82,3.86,3.82,3.86,60,0
BTC,5,20210305,140000,3.72,3.86,3.72,3.86,520,0
BTC,5,20210305,163000,3.86,3.86,3.86,3.86,2735,0
BTC,5,20210305,164000,3.9,3.9,3.9,3.9,20,0
BTC,5,20210305,164500,3.98,3.98,3.98,3.98,435,0
BTC,5,20210308,090000,3.98,3.98,3.98,3.98,20,0
BTC,5,20210308,110000,3.9,3.9,3.9,3.9,72,0
BTC,5,20210308,114000,3.94,4.02,3.94,4.02,1860,0
BTC,5,20210308,114500,4.02,4.28,4.02,4.28,1320,0
BTC,5,20210308,122000,4.2,4.2,4.2,4.2,190,0
BTC,5,20210308,130000,4.2,4.2,4.2,4.2,240,0
BTC,5,20210308,130500,4.04,4.04,4.04,4.04,499,0
BTC,5,20210308,133000,4.18,4.18,4.18,4.18,20,0
BTC,5,20210308,143000,4.04,4.04,4.04,4.04,1501,0
BTC,5,20210308,155500,3.92,3.92,3.92,3.92,1994,0
BTC,5,20210308,164500,4.08,4.08,4.08,4.08,1,0
BTC,5,20210309,091500,4.08,4.08,4.08,4.08,5,0
BTC,5,20210309,092500,4.08,4.08,4.08,4.08,270,0
BTC,5,20210309,101500,4.1,4.12,4.1,4.12,428,0
BTC,5,20210309,105500,4.12,4.12,4.12,4.12,72,0
BTC,5,20210309,112000,4.14,4.18,4.14,4.18,50,0
BTC,5,20210309,114500,4.14,4.18,4.14,4.18,500,0
BTC,5,20210309,115000,4.18,4.18,4.18,4.18,50,0
BTC,5,20210309,133500,4.08,4.08,4.08,4.08,189,0
BTC,5,20210310,090500,4.16,4.16,4.16,4.16,300,0
BTC,5,20210310,091500,4.16,4.16,4.16,4.16,600,0
BTC,5,20210310,104000,4.16,4.16,4.16,4.16,430,0
BTC,5,20210310,112000,4.16,4.16,4.16,4.16,304,0
BTC,5,20210310,112500,4.18,4.2,4.18,4.2,222,0
BTC,5,20210310,113500,4.16,4.16,4.16,4.16,174,0
BTC,5,20210310,120500,4.1,4.1,4.1,4.1,250,0
BTC,5,20210310,122500,4.16,4.28,4.16,4.28,4000,0
BTC,5,20210310,123500,4.28,4.28,4.28,4.28,450,0
BTC,5,20210310,124500,4.28,4.28,4.28,4.28,385,0
BTC,5,20210310,125000,4.32,4.4,4.28,4.28,381,0
BTC,5,20210310,131000,4.28,4.28,4.28,4.28,4512,0
BTC,5,20210310,161500,4.28,4.28,4.28,4.28,541,0
BTC,5,20210311,090000,4.4,4.4,4.4,4.4,20,0
BTC,5,20210311,092500,4.3,4.4,4.3,4.4,270,0
BTC,5,20210311,100000,4.4,4.4,4.4,4.4,196,0
BTC,5,20210311,101500,4.4,4.4,4.4,4.4,4304,0
BTC,5,20210311,102000,4.44,4.48,4.44,4.48,48,0
BTC,5,20210311,120000,4.3,4.3,4.3,4.3,100,0
BTC,5,20210311,130500,4.3,4.3,4.3,4.3,20,0
BTC,5,20210311,131000,4.3,4.38,4.3,4.38,166,0
BTC,5,20210312,094000,4.24,4.24,4.24,4.24,260,0
BTC,5,20210312,110500,4.22,4.22,4.22,4.22,5,0
BTC,5,20210312,145500,4.22,4.4,4.08,4.4,2332,0
BTC,5,20210312,161000,4.2,4.2,4.2,4.2,2000,0
BTC,5,20210312,164500,4.4,4.4,4.4,4.4,87,0
BTC,5,20210315,090000,3.9,4.2,3.9,4.2,2390,0
BTC,5,20210315,093000,3.9,4.08,3.8,3.8,1373,0
BTC,5,20210315,093500,4,4.18,3.98,4.08,3506,0
BTC,5,20210315,094000,4.18,4.18,3.9,3.9,2220,0
BTC,5,20210315,094500,4.1,4.1,3.82,3.82,601,0
BTC,5,20210315,100000,4.08,4.08,4.08,4.08,1,0
BTC,5,20210315,100500,3.86,3.86,3.82,3.82,1031,0
BTC,5,20210315,105500,3.88,3.88,3.88,3.88,300,0
