<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BTG,5,20210204,110000,2.52,2.52,2.52,2.52,3600,0
BTG,5,20210204,110500,2.52,2.52,2.52,2.52,1900,0
BTG,5,20210204,111500,2.52,2.52,2.52,2.52,100,0
BTG,5,20210204,112500,2.52,2.52,2.52,2.52,407,0
BTG,5,20210204,150000,2.7,2.7,2.7,2.7,1000,0
BTG,5,20210205,110000,2.7,2.7,2.7,2.7,4830,0
BTG,5,20210205,150000,2.06,2.06,2.06,2.06,2000,0
BTG,5,20210208,110000,2.46,2.46,2.46,2.46,80,0
BTG,5,20210208,111500,2.46,2.46,2.46,2.46,1300,0
BTG,5,20210208,150000,2.46,2.46,2.46,2.46,250,0
BTG,5,20210208,150500,2.46,2.46,2.46,2.46,100,0
BTG,5,20210209,110000,2.46,2.46,2.46,2.46,510,0
BTG,5,20210210,110000,2.46,2.46,2.46,2.46,10,0
BTG,5,20210210,150000,2.5,2.5,2.5,2.5,655,0
BTG,5,20210211,110000,2.5,2.5,2.5,2.5,335,0
BTG,5,20210211,150000,2.7,2.7,2.7,2.7,1000,0
BTG,5,20210211,151000,2.7,2.7,2.7,2.7,2544,0
BTG,5,20210211,152500,2.7,2.7,2.7,2.7,456,0
BTG,5,20210212,110000,2.7,2.7,2.7,2.7,1300,0
BTG,5,20210212,150000,3.7,3.7,3.7,3.7,3420,0
BTG,5,20210212,152500,3.7,3.7,3.7,3.7,40,0
BTG,5,20210215,110000,3.9,3.9,3.9,3.9,3021,0
BTG,5,20210215,110500,3.9,3.9,3.9,3.9,3932,0
BTG,5,20210215,150000,4,4,4,4,3000,0
BTG,5,20210216,110000,4.1,4.1,4.1,4.1,5433,0
BTG,5,20210216,111500,4.1,4.1,4.1,4.1,57,0
BTG,5,20210216,150000,4.28,4.28,4.28,4.28,5000,0
BTG,5,20210216,150500,4.28,4.28,4.28,4.28,320,0
BTG,5,20210217,110000,4.3,4.3,4.3,4.3,4127,0
BTG,5,20210217,150000,4.24,4.24,4.24,4.24,96,0
BTG,5,20210218,150000,3.68,3.68,3.68,3.68,918,0
BTG,5,20210218,151500,3.68,3.68,3.68,3.68,200,0
BTG,5,20210219,110000,3.32,3.32,3.32,3.32,951,0
BTG,5,20210219,150000,3.5,3.5,3.5,3.5,5250,0
BTG,5,20210222,150000,3,3,3,3,690,0
BTG,5,20210223,110000,3,3,3,3,900,0
BTG,5,20210223,111000,3,3,3,3,58,0
BTG,5,20210223,150000,3,3,3,3,7062,0
BTG,5,20210224,110000,3.4,3.4,3.4,3.4,53,0
BTG,5,20210224,111000,3.4,3.4,3.4,3.4,47,0
BTG,5,20210224,111500,3.4,3.4,3.4,3.4,331,0
BTG,5,20210224,150000,3.4,3.4,3.4,3.4,2564,0
BTG,5,20210225,110000,3.6,3.6,3.6,3.6,1493,0
BTG,5,20210225,150000,3.6,3.6,3.6,3.6,300,0
BTG,5,20210226,110000,4,4,4,4,1000,0
BTG,5,20210226,112000,4,4,4,4,307,0
BTG,5,20210226,150000,4,4,4,4,10,0
BTG,5,20210301,110000,3.1,3.1,3.1,3.1,1500,0
BTG,5,20210301,111500,3.1,3.1,3.1,3.1,1000,0
BTG,5,20210301,151500,3.1,3.1,3.1,3.1,250,0
BTG,5,20210301,152500,3.1,3.1,3.1,3.1,301,0
BTG,5,20210302,110000,3.5,3.5,3.5,3.5,970,0
BTG,5,20210302,150000,3.98,3.98,3.98,3.98,1500,0
BTG,5,20210304,110000,3.4,3.4,3.4,3.4,969,0
BTG,5,20210304,110500,3.4,3.4,3.4,3.4,97,0
BTG,5,20210304,150000,3.14,3.14,3.14,3.14,500,0
BTG,5,20210305,110000,3.5,3.5,3.5,3.5,5340,0
BTG,5,20210308,150000,3.8,3.8,3.8,3.8,1000,0
BTG,5,20210309,110000,3.5,3.5,3.5,3.5,600,0
BTG,5,20210309,150000,3.7,3.7,3.7,3.7,1600,0
BTG,5,20210310,110000,3.7,3.7,3.7,3.7,630,0
BTG,5,20210311,110000,3.8,3.8,3.8,3.8,2000,0
BTG,5,20210312,150000,3.66,3.66,3.66,3.66,40,0
BTG,5,20210316,110000,3.5,3.5,3.5,3.5,175,0
BTG,5,20210316,150500,3.5,3.5,3.5,3.5,366,0
BTG,5,20210317,110000,3.8,3.8,3.8,3.8,500,0
BTG,5,20210317,150000,3.8,3.8,3.8,3.8,3500,0
BTG,5,20210318,150000,3.8,3.8,3.8,3.8,289,0
BTG,5,20210318,150500,3.8,3.8,3.8,3.8,38,0
BTG,5,20210319,110000,3.98,3.98,3.98,3.98,1005,0
BTG,5,20210319,150000,4,4,4,4,1500,0
BTG,5,20210323,110000,4,4,4,4,310,0
BTG,5,20210323,151500,4,4,4,4,1290,0
BTG,5,20210325,110000,4.24,4.24,4.24,4.24,87,0
BTG,5,20210325,150000,3.26,3.26,3.26,3.26,600,0
BTG,5,20210326,110000,3.4,3.4,3.4,3.4,10,0
BTG,5,20210326,150000,3.6,3.6,3.6,3.6,10,0
