<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BTK,5,20210204,090000,0.56,0.57,0.56,0.57,2995,0
BTK,5,20210204,091000,0.56,0.56,0.54,0.54,5071,0
BTK,5,20210204,092500,0.566,0.566,0.566,0.566,1,0
BTK,5,20210204,100500,0.546,0.546,0.53,0.53,11211,0
BTK,5,20210204,101000,0.56,0.566,0.56,0.566,1500,0
BTK,5,20210204,101500,0.566,0.566,0.566,0.566,350,0
BTK,5,20210204,103000,0.534,0.534,0.534,0.534,1000,0
BTK,5,20210204,110500,0.536,0.536,0.536,0.536,1000,0
BTK,5,20210204,111500,0.54,0.54,0.54,0.54,1,0
BTK,5,20210204,112500,0.55,0.55,0.55,0.55,4426,0
BTK,5,20210204,115000,0.54,0.54,0.54,0.54,489,0
BTK,5,20210204,120000,0.556,0.56,0.556,0.56,5100,0
BTK,5,20210204,121000,0.54,0.54,0.54,0.54,6210,0
BTK,5,20210204,121500,0.54,0.55,0.536,0.55,7312,0
BTK,5,20210204,124000,0.54,0.54,0.532,0.532,8000,0
BTK,5,20210204,131000,0.54,0.54,0.54,0.54,400,0
BTK,5,20210204,132500,0.534,0.534,0.534,0.534,1001,0
BTK,5,20210204,133500,0.534,0.534,0.532,0.532,2500,0
BTK,5,20210204,134000,0.534,0.534,0.532,0.532,5000,0
BTK,5,20210204,145000,0.542,0.542,0.542,0.542,1,0
BTK,5,20210204,154000,0.532,0.532,0.53,0.53,5611,0
BTK,5,20210204,154500,0.524,0.542,0.524,0.542,2,0
BTK,5,20210204,155500,0.542,0.542,0.542,0.542,798,0
BTK,5,20210204,160500,0.55,0.55,0.55,0.55,5,0
BTK,5,20210204,163000,0.55,0.55,0.542,0.542,5042,0
BTK,5,20210204,164500,0.558,0.558,0.542,0.542,51,0
BTK,5,20210205,093500,0.542,0.542,0.542,0.542,2489,0
BTK,5,20210205,094000,0.55,0.55,0.55,0.55,1741,0
BTK,5,20210205,094500,0.562,0.562,0.56,0.56,6114,0
BTK,5,20210205,095000,0.56,0.56,0.56,0.56,3649,0
BTK,5,20210205,104000,0.56,0.56,0.56,0.56,999,0
BTK,5,20210205,104500,0.542,0.542,0.542,0.542,2000,0
BTK,5,20210205,105500,0.542,0.542,0.54,0.54,2000,0
BTK,5,20210205,110500,0.56,0.56,0.56,0.56,1000,0
BTK,5,20210205,120000,0.56,0.56,0.56,0.56,2000,0
BTK,5,20210205,122000,0.54,0.54,0.54,0.54,3461,0
BTK,5,20210205,122500,0.532,0.532,0.532,0.532,2500,0
BTK,5,20210205,123500,0.534,0.534,0.534,0.534,2400,0
BTK,5,20210205,130000,0.55,0.55,0.55,0.55,478,0
BTK,5,20210205,130500,0.55,0.56,0.55,0.56,1854,0
BTK,5,20210205,143000,0.536,0.536,0.536,0.536,2600,0
BTK,5,20210205,144500,0.53,0.53,0.53,0.53,5000,0
BTK,5,20210205,150000,0.526,0.526,0.526,0.526,2499,0
BTK,5,20210205,150500,0.556,0.556,0.524,0.524,2,0
BTK,5,20210205,152500,0.556,0.556,0.556,0.556,1,0
BTK,5,20210205,155000,0.524,0.524,0.524,0.524,1500,0
BTK,5,20210205,164500,0.556,0.556,0.556,0.556,100,0
BTK,5,20210208,090000,0.53,0.53,0.53,0.53,10000,0
BTK,5,20210208,091000,0.53,0.53,0.53,0.53,5000,0
BTK,5,20210208,091500,0.548,0.556,0.548,0.556,16398,0
BTK,5,20210208,092000,0.562,0.566,0.562,0.566,11079,0
BTK,5,20210208,093500,0.556,0.556,0.556,0.556,2000,0
BTK,5,20210208,094000,0.566,0.568,0.566,0.568,8212,0
BTK,5,20210208,115500,0.554,0.554,0.554,0.554,2000,0
BTK,5,20210208,120000,0.56,0.56,0.56,0.56,7022,0
