<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BTX,5,20210204,125000,3.5,3.5,3.5,3.5,633,0
BTX,5,20210204,132500,3.5,3.5,3.5,3.5,16,0
BTX,5,20210204,133000,3.54,3.54,3.54,3.54,769,0
BTX,5,20210205,110000,3.52,3.52,3.52,3.52,350,0
BTX,5,20210208,090000,3.54,3.56,3.54,3.54,3610,0
BTX,5,20210208,091000,3.54,3.54,3.54,3.54,1188,0
BTX,5,20210208,094500,3.54,3.58,3.54,3.58,805,0
BTX,5,20210208,104000,3.58,3.58,3.58,3.58,500,0
BTX,5,20210208,113500,3.58,3.58,3.58,3.58,450,0
BTX,5,20210208,120500,3.6,3.6,3.6,3.6,245,0
BTX,5,20210208,124000,3.58,3.58,3.58,3.58,100,0
BTX,5,20210209,102500,3.6,3.6,3.6,3.6,2405,0
BTX,5,20210209,103500,3.6,3.6,3.6,3.6,795,0
BTX,5,20210209,120500,3.58,3.58,3.58,3.58,1595,0
BTX,5,20210209,122500,3.58,3.58,3.58,3.58,1100,0
BTX,5,20210209,125500,3.58,3.58,3.58,3.58,535,0
BTX,5,20210209,133000,3.52,3.52,3.52,3.52,30,0
BTX,5,20210209,164500,3.58,3.58,3.58,3.58,100,0
BTX,5,20210210,124500,3.64,3.64,3.64,3.64,30,0
BTX,5,20210210,135500,3.64,3.64,3.6,3.6,2835,0
BTX,5,20210210,145500,3.6,3.6,3.6,3.6,800,0
BTX,5,20210210,150000,3.66,3.7,3.66,3.7,3979,0
BTX,5,20210210,150500,3.8,3.8,3.8,3.8,1126,0
BTX,5,20210210,151500,3.8,3.8,3.8,3.8,369,0
BTX,5,20210211,093500,3.8,3.8,3.8,3.8,1800,0
BTX,5,20210211,095000,3.78,3.78,3.78,3.78,1000,0
BTX,5,20210211,105000,3.78,3.78,3.78,3.78,400,0
BTX,5,20210211,105500,3.9,3.9,3.9,3.9,1160,0
BTX,5,20210211,110000,3.9,3.9,3.9,3.9,445,0
BTX,5,20210211,112500,3.9,3.9,3.9,3.9,900,0
BTX,5,20210211,134500,3.92,3.92,3.92,3.92,500,0
BTX,5,20210211,145000,3.94,3.94,3.94,3.94,601,0
BTX,5,20210211,162000,3.94,3.94,3.94,3.94,2030,0
BTX,5,20210212,092500,3.9,3.9,3.9,3.9,700,0
BTX,5,20210212,102500,3.9,3.9,3.9,3.9,300,0
BTX,5,20210212,103000,3.9,3.9,3.9,3.9,500,0
BTX,5,20210212,135000,3.8,3.8,3.78,3.78,1100,0
BTX,5,20210212,155000,3.8,3.8,3.8,3.8,200,0
BTX,5,20210212,164500,3.72,3.72,3.72,3.72,500,0
BTX,5,20210215,100000,3.72,3.72,3.72,3.72,800,0
BTX,5,20210215,101000,3.7,3.7,3.7,3.7,800,0
BTX,5,20210215,101500,3.66,3.66,3.66,3.66,2300,0
BTX,5,20210215,102500,3.6,3.6,3.6,3.6,254,0
BTX,5,20210215,104500,3.6,3.6,3.6,3.6,800,0
BTX,5,20210215,114500,3.5,3.5,3.5,3.5,300,0
BTX,5,20210215,122000,3.6,3.6,3.6,3.6,800,0
BTX,5,20210215,154500,3.7,3.7,3.7,3.7,1100,0
BTX,5,20210215,160500,3.66,3.66,3.66,3.66,18,0
BTX,5,20210215,163000,3.72,3.72,3.72,3.72,540,0
BTX,5,20210215,164500,3.72,3.9,3.72,3.9,882,0
BTX,5,20210216,102500,3.72,3.72,3.7,3.7,1006,0
BTX,5,20210216,104500,3.8,3.8,3.8,3.8,800,0
BTX,5,20210216,111500,3.7,3.7,3.7,3.7,1000,0
BTX,5,20210216,113500,3.7,3.7,3.7,3.7,500,0
BTX,5,20210216,142000,3.72,3.72,3.72,3.72,50,0
BTX,5,20210216,164500,3.72,3.72,3.7,3.7,2000,0
BTX,5,20210217,160500,3.82,3.82,3.82,3.82,800,0
BTX,5,20210217,161000,3.82,3.82,3.82,3.82,800,0
BTX,5,20210218,150500,3.8,3.8,3.8,3.8,500,0
BTX,5,20210218,160500,3.8,3.8,3.8,3.8,369,0
BTX,5,20210219,090000,3.92,3.92,3.92,3.92,70,0
BTX,5,20210219,125000,3.9,3.9,3.9,3.9,3922,0
BTX,5,20210219,130000,3.92,3.92,3.92,3.92,35782,0
BTX,5,20210219,135000,3.9,3.9,3.9,3.9,800,0
BTX,5,20210223,100500,3.88,3.88,3.88,3.88,644,0
BTX,5,20210226,094000,3.8,3.8,3.8,3.8,200,0
BTX,5,20210226,135500,3.88,3.88,3.88,3.88,100,0
BTX,5,20210301,090000,3.8,3.8,3.8,3.8,275,0
BTX,5,20210301,090500,3.88,3.88,3.88,3.88,644,0
BTX,5,20210302,110500,3.78,3.78,3.78,3.78,163,0
BTX,5,20210302,121000,3.8,3.8,3.8,3.8,400,0
BTX,5,20210303,141000,3.84,3.84,3.84,3.84,800,0
BTX,5,20210304,113000,3.84,3.84,3.76,3.76,800,0
BTX,5,20210305,154000,3.86,3.86,3.86,3.86,120,0
BTX,5,20210308,100500,3.76,3.76,3.76,3.76,800,0
BTX,5,20210308,164500,3.8,3.8,3.8,3.8,25,0
BTX,5,20210309,144000,3.8,3.8,3.8,3.8,100,0
BTX,5,20210309,150000,3.8,3.8,3.8,3.8,300,0
BTX,5,20210310,090000,3.8,3.8,3.8,3.8,140,0
BTX,5,20210310,093500,3.68,3.68,3.68,3.68,9,0
BTX,5,20210311,091500,3.68,3.68,3.68,3.68,100,0
BTX,5,20210311,112500,3.68,3.68,3.68,3.68,140,0
BTX,5,20210312,142000,3.68,3.68,3.68,3.68,551,0
BTX,5,20210315,090000,3.66,3.66,3.66,3.66,59,0
BTX,5,20210315,162000,3.8,3.8,3.8,3.8,660,0
BTX,5,20210315,162500,3.86,3.86,3.86,3.86,1155,0
