<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CAI,5,20210204,111000,20,20,20,20,900,0
CAI,5,20210204,120500,19.4,19.4,19.4,19.4,150,0
CAI,5,20210204,121000,19.2,19.2,19.2,19.2,350,0
CAI,5,20210204,125500,20,20,20,20,19,0
CAI,5,20210204,134000,19.8,19.8,19.8,19.8,130,0
CAI,5,20210204,134500,19.8,19.8,19,19,432,0
CAI,5,20210204,135000,19,19.5,19,19.5,81,0
CAI,5,20210204,135500,19.4,19.4,19.4,19.4,1097,0
CAI,5,20210204,140000,19.4,19.5,19.4,19.5,957,0
CAI,5,20210204,150000,18.9,18.9,18.7,18.7,657,0
CAI,5,20210204,154500,18.7,19.3,18.7,19.3,163,0
CAI,5,20210204,155000,19.2,19.2,19.2,19.2,32,0
CAI,5,20210205,090000,19.3,19.3,19.3,19.3,19,0
CAI,5,20210205,140500,19.3,20.2,19.3,20.2,228,0
CAI,5,20210205,141000,20.2,20.2,20.2,20.2,5,0
CAI,5,20210205,143000,18.8,18.8,18.8,18.8,54,0
CAI,5,20210205,161000,19,20,19,20,1137,0
CAI,5,20210205,163000,19.9,20,19.9,20,372,0
CAI,5,20210205,163500,20,20.2,20,20.2,1079,0
CAI,5,20210205,164000,20.2,20.2,20.2,20.2,56,0
CAI,5,20210205,164500,20.2,20.2,20,20.2,1035,0
CAI,5,20210208,111500,20.2,20.2,20.2,20.2,10,0
CAI,5,20210209,090000,20,20,20,20,550,0
CAI,5,20210209,095000,18.9,19.9,18.9,19.9,140,0
CAI,5,20210210,090000,20,20,20,20,500,0
CAI,5,20210210,101500,20,20,20,20,28,0
CAI,5,20210210,141000,20,20,20,20,28,0
CAI,5,20210210,155000,20,20,20,20,26,0
CAI,5,20210210,164500,19.9,20,19.9,20,2345,0
CAI,5,20210211,090000,20.2,20.2,20.2,20.2,37,0
CAI,5,20210211,112000,20.2,20.2,20.2,20.2,92,0
CAI,5,20210211,115000,20,20.2,20,20.2,1047,0
CAI,5,20210211,142000,20.2,20.2,20.2,20.2,19,0
CAI,5,20210211,151000,20,20.2,20,20.2,539,0
CAI,5,20210212,102000,20,20,20,20,19,0
CAI,5,20210212,102500,20,20,20,20,10,0
