<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CAM,5,20210204,150000,0.65,0.65,0.65,0.65,2305,0
CAM,5,20210205,110000,0.695,0.695,0.695,0.695,1020,0
CAM,5,20210208,110000,0.7,0.7,0.7,0.7,2209,0
CAM,5,20210208,150000,0.71,0.71,0.71,0.71,1440,0
CAM,5,20210209,110000,0.71,0.71,0.71,0.71,134,0
CAM,5,20210209,150000,0.655,0.655,0.655,0.655,121,0
CAM,5,20210210,110000,0.71,0.71,0.71,0.71,750,0
CAM,5,20210210,111000,0.71,0.71,0.71,0.71,2450,0
CAM,5,20210211,110000,0.66,0.66,0.66,0.66,500,0
CAM,5,20210211,150000,0.705,0.705,0.705,0.705,900,0
CAM,5,20210212,110000,0.705,0.705,0.705,0.705,400,0
CAM,5,20210215,110000,0.71,0.71,0.71,0.71,20,0
CAM,5,20210215,150000,0.71,0.71,0.71,0.71,700,0
CAM,5,20210216,110000,0.71,0.71,0.71,0.71,20,0
CAM,5,20210217,110000,0.71,0.71,0.71,0.71,20,0
CAM,5,20210218,110000,0.71,0.71,0.71,0.71,20,0
CAM,5,20210218,150000,0.71,0.71,0.71,0.71,4730,0
CAM,5,20210219,110000,0.71,0.71,0.71,0.71,20,0
CAM,5,20210219,150000,0.71,0.71,0.71,0.71,2000,0
CAM,5,20210222,110000,0.71,0.71,0.71,0.71,500,0
CAM,5,20210222,111500,0.71,0.71,0.71,0.71,2480,0
CAM,5,20210222,150000,0.71,0.71,0.71,0.71,3910,0
CAM,5,20210223,110000,0.7,0.7,0.7,0.7,4000,0
CAM,5,20210223,112500,0.7,0.7,0.7,0.7,20,0
CAM,5,20210223,150000,0.69,0.69,0.69,0.69,2800,0
CAM,5,20210224,110000,0.685,0.685,0.685,0.685,20,0
CAM,5,20210224,110500,0.685,0.685,0.685,0.685,2000,0
CAM,5,20210225,110000,0.685,0.685,0.685,0.685,20,0
CAM,5,20210226,110000,0.685,0.685,0.685,0.685,3620,0
CAM,5,20210226,150000,0.62,0.62,0.62,0.62,1000,0
CAM,5,20210301,110000,0.685,0.685,0.685,0.685,20,0
CAM,5,20210302,110000,0.63,0.63,0.63,0.63,1626,0
CAM,5,20210302,150000,0.62,0.62,0.62,0.62,550,0
CAM,5,20210303,110000,0.63,0.63,0.63,0.63,972,0
CAM,5,20210303,112000,0.63,0.63,0.63,0.63,3800,0
CAM,5,20210303,150000,0.61,0.61,0.61,0.61,5000,0
CAM,5,20210304,110000,0.605,0.605,0.605,0.605,7287,0
CAM,5,20210304,150000,0.635,0.635,0.635,0.635,100,0
CAM,5,20210304,152000,0.635,0.635,0.635,0.635,11,0
CAM,5,20210305,110000,0.665,0.665,0.665,0.665,20,0
CAM,5,20210305,150000,0.665,0.665,0.665,0.665,8855,0
CAM,5,20210308,110000,0.675,0.675,0.675,0.675,20,0
CAM,5,20210309,110000,0.675,0.675,0.675,0.675,20,0
CAM,5,20210309,150000,0.62,0.62,0.62,0.62,400,0
CAM,5,20210310,110000,0.62,0.62,0.62,0.62,650,0
CAM,5,20210310,150000,0.62,0.62,0.62,0.62,808,0
CAM,5,20210311,110000,0.645,0.645,0.645,0.645,20,0
CAM,5,20210311,150000,0.645,0.645,0.645,0.645,1000,0
CAM,5,20210311,150500,0.645,0.645,0.645,0.645,5500,0
CAM,5,20210311,151500,0.645,0.645,0.645,0.645,3562,0
CAM,5,20210312,110000,0.645,0.645,0.645,0.645,5,0
CAM,5,20210315,110000,0.645,0.645,0.645,0.645,20,0
CAM,5,20210315,112000,0.645,0.645,0.645,0.645,3975,0
CAM,5,20210315,151500,0.645,0.645,0.645,0.645,400,0
CAM,5,20210316,110000,0.72,0.72,0.72,0.72,5225,0
CAM,5,20210316,111000,0.72,0.72,0.72,0.72,500,0
CAM,5,20210316,151500,0.9,0.9,0.9,0.9,1280,0
CAM,5,20210316,152000,0.9,0.9,0.9,0.9,500,0
CAM,5,20210316,152500,0.9,0.9,0.9,0.9,320,0
CAM,5,20210317,110000,0.9,0.9,0.9,0.9,1000,0
CAM,5,20210317,111500,0.9,0.9,0.9,0.9,1000,0
CAM,5,20210317,112500,0.9,0.9,0.9,0.9,919,0
CAM,5,20210318,110000,0.72,0.72,0.72,0.72,2483,0
CAM,5,20210319,110000,0.85,0.85,0.85,0.85,70,0
CAM,5,20210322,110000,0.85,0.85,0.85,0.85,120,0
CAM,5,20210323,110000,0.845,0.845,0.845,0.845,20,0
CAM,5,20210324,110000,0.835,0.835,0.835,0.835,20,0
CAM,5,20210325,110000,0.835,0.835,0.835,0.835,20,0
CAM,5,20210326,110000,0.83,0.83,0.83,0.83,20,0
