<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CBD,5,20210204,090000,1.265,1.265,1.265,1.265,1300,0
CBD,5,20210204,091000,1.265,1.265,1.265,1.265,1,0
CBD,5,20210204,091500,1.27,1.27,1.27,1.27,1650,0
CBD,5,20210204,092000,1.265,1.265,1.265,1.265,131,0
CBD,5,20210204,100500,1.265,1.265,1.265,1.265,400,0
CBD,5,20210204,101500,1.265,1.265,1.265,1.265,100,0
CBD,5,20210204,140500,1.23,1.23,1.23,1.23,10003,0
CBD,5,20210204,153500,1.23,1.23,1.23,1.23,3150,0
CBD,5,20210204,163000,1.23,1.23,1.23,1.23,1600,0
CBD,5,20210205,115000,1.235,1.235,1.235,1.235,538,0
CBD,5,20210205,115500,1.235,1.235,1.235,1.235,600,0
CBD,5,20210205,121500,1.255,1.255,1.255,1.255,738,0
CBD,5,20210205,123500,1.26,1.26,1.26,1.26,766,0
CBD,5,20210205,150500,1.26,1.26,1.26,1.26,500,0
CBD,5,20210205,151000,1.26,1.26,1.26,1.26,762,0
CBD,5,20210205,151500,1.27,1.27,1.27,1.27,938,0
CBD,5,20210205,162500,1.27,1.27,1.27,1.27,319,0
CBD,5,20210205,163000,1.26,1.26,1.245,1.245,1000,0
CBD,5,20210208,090000,1.3,1.33,1.3,1.33,12923,0
CBD,5,20210208,090500,1.33,1.33,1.33,1.33,25050,0
CBD,5,20210208,091000,1.35,1.4,1.33,1.4,17317,0
CBD,5,20210208,091500,1.4,1.4,1.4,1.4,10,0
CBD,5,20210208,092500,1.39,1.4,1.33,1.33,3230,0
CBD,5,20210208,093000,1.33,1.33,1.33,1.33,1280,0
CBD,5,20210208,093500,1.38,1.4,1.38,1.4,2319,0
CBD,5,20210208,094500,1.39,1.39,1.39,1.39,218,0
CBD,5,20210208,095500,1.39,1.39,1.39,1.39,24,0
CBD,5,20210208,100000,1.39,1.39,1.39,1.39,1350,0
CBD,5,20210208,100500,1.39,1.49,1.39,1.48,17078,0
CBD,5,20210208,101000,1.45,1.45,1.45,1.45,1000,0
CBD,5,20210208,101500,1.45,1.45,1.445,1.45,14975,0
CBD,5,20210208,102000,1.41,1.41,1.41,1.41,931,0
CBD,5,20210208,102500,1.45,1.49,1.45,1.49,23356,0
CBD,5,20210208,103000,1.5,1.54,1.5,1.54,11056,0
CBD,5,20210208,103500,1.53,1.53,1.5,1.5,2336,0
CBD,5,20210208,104000,1.52,1.52,1.52,1.52,2,0
CBD,5,20210208,104500,1.515,1.515,1.48,1.48,1350,0
CBD,5,20210208,105000,1.48,1.49,1.45,1.49,2059,0
CBD,5,20210208,110000,1.45,1.45,1.45,1.45,883,0
CBD,5,20210208,111000,1.45,1.45,1.45,1.45,1317,0
CBD,5,20210208,112500,1.43,1.43,1.4,1.4,650,0
