<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CDA,5,20210204,102500,27,27,27,27,10,0
CDA,5,20210204,145500,26.8,27,26.8,27,51,0
CDA,5,20210205,090000,27,27,27,27,4,0
CDA,5,20210205,115500,26.5,26.5,26.5,26.5,22,0
CDA,5,20210208,091500,27,27,27,27,147,0
CDA,5,20210208,115500,26.995,27,26.995,27,88,0
CDA,5,20210208,144000,27.15,27.5,27.15,27.5,221,0
CDA,5,20210208,145500,27.15,27.15,27.15,27.15,284,0
CDA,5,20210208,164500,27.5,27.5,27.5,27.5,2,0
CDA,5,20210209,111500,27.005,27.005,27.005,27.005,1,0
CDA,5,20210209,135000,27.495,27.495,27.495,27.495,5,0
CDA,5,20210209,144500,27.495,27.495,27.495,27.495,4,0
CDA,5,20210209,153000,27.005,27.005,27.005,27.005,27,0
CDA,5,20210209,164500,27.5,27.5,27.5,27.5,15,0
CDA,5,20210210,090000,27.5,27.5,27.5,27.5,38,0
CDA,5,20210210,090500,26.8,27.5,26.8,27.5,21,0
CDA,5,20210210,131500,27,27,26.5,27,502,0
CDA,5,20210210,145000,27,27,27,27,28,0
CDA,5,20210210,151000,27.2,27.2,27.2,27.2,1,0
CDA,5,20210211,100500,27.2,27.2,27.2,27.2,19,0
CDA,5,20210211,111500,27.45,27.45,27.45,27.45,2,0
CDA,5,20210211,121000,27.2,27.2,27.2,27.2,1,0
CDA,5,20210211,164500,26.8,27.3,26.8,27.3,2,0
CDA,5,20210212,090000,27,27,27,27,2,0
CDA,5,20210212,095000,27,27.39,27,27.39,6,0
CDA,5,20210212,095500,27.39,27.39,27.39,27.39,10,0
CDA,5,20210212,121500,27,27,27,27,3,0
CDA,5,20210212,142000,27,27,27,27,120,0
CDA,5,20210212,142500,27.38,27.38,27.38,27.38,10,0
CDA,5,20210215,095500,27.1,27.1,27.1,27.1,1,0
CDA,5,20210215,102000,27.1,27.1,27.1,27.1,180,0
CDA,5,20210215,105500,27.1,27.1,27.1,27.1,9,0
CDA,5,20210215,115500,27.1,27.1,27.1,27.1,18,0
CDA,5,20210215,131000,27.1,27.1,27.1,27.1,2,0
CDA,5,20210215,142500,27.1,27.1,27.1,27.1,200,0
CDA,5,20210216,090500,27,27,27,27,5,0
CDA,5,20210216,091000,27,27,27,27,114,0
CDA,5,20210216,093500,26.85,26.85,26.85,26.85,40,0
CDA,5,20210216,115000,27,27,27,27,10,0
CDA,5,20210216,161500,27,27,27,27,50,0
CDA,5,20210216,162500,27,27,27,27,10,0
CDA,5,20210217,121500,26.9,26.9,26.9,26.9,1,0
CDA,5,20210218,090000,27,27.1,27,27.1,75,0
CDA,5,20210218,094500,27.1,27.2,27.1,27.2,122,0
CDA,5,20210218,095500,27.2,28,27.2,28,1199,0
CDA,5,20210218,100500,28,28,28,28,1,0
CDA,5,20210218,101500,28,28.4,28,28.4,39,0
CDA,5,20210218,111000,28.49,28.49,28.49,28.49,53,0
CDA,5,20210218,164000,28.195,28.195,28.195,28.195,220,0
CDA,5,20210218,164500,27.4,28.12,27.12,28.12,349,0
CDA,5,20210219,090000,28.09,28.09,28.09,28.09,1,0
CDA,5,20210219,092000,28,28,28,28,10,0
CDA,5,20210219,093000,27.02,27.02,27.02,27.02,10,0
CDA,5,20210219,101500,27.99,27.99,27.99,27.99,50,0
CDA,5,20210222,090500,27.99,27.99,27.99,27.99,35,0
CDA,5,20210222,091500,28.18,28.18,28.18,28.18,6,0
CDA,5,20210222,095000,28,28,28,28,5,0
CDA,5,20210222,095500,28,28,28,28,50,0
CDA,5,20210222,110500,27.6,27.6,27.5,27.5,474,0
CDA,5,20210222,113000,27.5,27.5,27.5,27.5,43,0
CDA,5,20210222,113500,27.5,27.5,27.5,27.5,151,0
CDA,5,20210222,142500,27.5,27.5,27.5,27.5,197,0
CDA,5,20210223,100000,27.5,27.5,27.5,27.5,43,0
CDA,5,20210223,112500,27.5,27.5,27.5,27.5,5,0
CDA,5,20210223,114500,27.1,27.1,27.1,27.1,4,0
CDA,5,20210224,090000,27.5,27.5,27.5,27.5,5,0
CDA,5,20210224,115500,27.51,27.51,27.51,27.51,13,0
CDA,5,20210224,145500,27.51,27.51,27.51,27.51,10,0
CDA,5,20210224,152000,27.97,27.98,27.97,27.98,35,0
CDA,5,20210224,153500,27.51,27.51,27.51,27.51,17,0
CDA,5,20210225,111500,27.2,27.2,27.2,27.2,111,0
CDA,5,20210225,113500,27.1,27.1,27.1,27.1,759,0
CDA,5,20210225,114000,27.1,27.1,27.1,27.1,30,0
CDA,5,20210225,120000,27.1,27.1,27.1,27.1,100,0
CDA,5,20210225,121500,27.1,27.1,27.1,27.1,55,0
CDA,5,20210225,123500,27.1,27.1,27.1,27.1,1,0
CDA,5,20210225,155000,27.1,27.1,27.1,27.1,20,0
CDA,5,20210225,163000,27.2,27.2,27.2,27.2,20,0
CDA,5,20210226,093500,28,28.1,28,28.1,403,0
CDA,5,20210226,095000,28.1,28.1,28.1,28.1,1,0
CDA,5,20210226,095500,28,28,27.2,27.2,151,0
CDA,5,20210226,100500,27.2,27.2,27.2,27.2,8,0
CDA,5,20210226,101000,26.8,26.8,26.51,26.51,104,0
CDA,5,20210226,101500,27.2,27.2,27.2,27.2,37,0
CDA,5,20210226,102000,27.81,28,27.81,28,300,0
CDA,5,20210226,102500,28.3,28.4,28.3,28.4,500,0
CDA,5,20210226,114000,28,28,28,28,50,0
CDA,5,20210226,120000,27.9,28,27.9,28,200,0
CDA,5,20210226,122500,27.45,27.45,27.45,27.45,50,0
CDA,5,20210226,123000,27.77,27.77,27.77,27.77,32,0
CDA,5,20210226,125500,27.76,27.76,27,27,70,0
CDA,5,20210226,134500,27,27,27,27,40,0
CDA,5,20210226,141000,27.4,27.4,27.4,27.4,30,0
CDA,5,20210226,142500,27.4,27.4,27.4,27.4,13,0
CDA,5,20210226,154000,27.28,27.28,27.28,27.28,30,0
CDA,5,20210226,154500,27.29,27.3,27.29,27.3,242,0
CDA,5,20210301,093500,26.7,26.7,26.7,26.7,125,0
CDA,5,20210301,094000,27.2,27.2,27.2,27.2,37,0
CDA,5,20210301,094500,26.62,26.62,26.62,26.62,50,0
CDA,5,20210301,115000,26.2,26.2,26.2,26.2,70,0
CDA,5,20210301,115500,26.1,26.2,26.1,26.2,145,0
CDA,5,20210301,120000,26.2,26.2,26.2,26.2,8,0
CDA,5,20210301,120500,26.2,26.2,26.2,26.2,37,0
CDA,5,20210301,122000,26.99,26.99,26.99,26.99,1,0
CDA,5,20210301,133000,26.99,26.99,26.99,26.99,6,0
CDA,5,20210301,152000,26.1,26.1,26.1,26.1,50,0
CDA,5,20210301,160000,26.99,27.17,26.99,27.17,14,0
CDA,5,20210302,115000,27.17,27.17,27.17,27.17,2,0
CDA,5,20210302,121500,27.1,27.1,27.1,27.1,40,0
CDA,5,20210302,135500,26.1,26.1,26,26,88,0
CDA,5,20210302,164000,26.1,26.1,26.1,26.1,38,0
CDA,5,20210302,164500,26,26,26,26,125,0
CDA,5,20210303,090000,25.96,25.96,25.96,25.96,100,0
CDA,5,20210303,092000,26.6,26.6,26.6,26.6,20,0
CDA,5,20210303,094000,26.6,26.6,26.6,26.6,38,0
CDA,5,20210303,095500,26,26,26,26,10,0
CDA,5,20210303,100000,25.855,25.855,25.855,25.855,42,0
CDA,5,20210303,102500,25.8,25.8,23.105,25,497,0
CDA,5,20210303,103000,25,25.3,25,25.3,188,0
CDA,5,20210303,104000,25.495,25.495,25.495,25.495,20,0
CDA,5,20210303,115000,25.5,25.5,25.5,25.5,39,0
CDA,5,20210303,153000,25.49,25.49,25.49,25.49,24,0
CDA,5,20210303,164500,25,25.4,24.7,25.4,137,0
CDA,5,20210304,090000,25.29,25.29,24.4,24.6,110,0
CDA,5,20210304,091000,24.9,24.9,24.9,24.9,53,0
CDA,5,20210304,091500,24.3,24.4,24.3,24.4,36,0
CDA,5,20210304,094000,24.9,25,24.9,25,75,0
CDA,5,20210304,131500,25,25,25,25,669,0
CDA,5,20210304,133000,24.7,24.7,24.7,24.7,17,0
CDA,5,20210304,133500,24.7,24.7,24,24.31,1007,0
CDA,5,20210304,135500,23.7,23.7,23.3,23.3,80,0
CDA,5,20210304,141000,23.5,23.5,23.5,23.5,10,0
CDA,5,20210304,142500,24.2,24.2,24.2,24.2,30,0
CDA,5,20210304,143000,24.3,24.3,24.2,24.2,93,0
CDA,5,20210304,145000,24.3,24.3,24.3,24.3,98,0
CDA,5,20210305,090500,24.3,24.3,24.3,24.3,20,0
CDA,5,20210305,102000,24.5,24.5,24.5,24.5,30,0
CDA,5,20210308,090000,25,25,25,25,168,0
CDA,5,20210308,090500,25.25,25.25,25.25,25.25,25,0
CDA,5,20210308,091500,26.9,26.9,26.9,26.9,1,0
CDA,5,20210308,113000,26.4,26.4,26.4,26.4,1,0
CDA,5,20210308,113500,25.5,25.5,25.5,25.5,87,0
CDA,5,20210308,125000,26.4,26.43,26.4,26.43,40,0
CDA,5,20210308,142000,26.39,26.44,26.39,26.44,200,0
CDA,5,20210308,143500,26.44,27,26.44,27,141,0
CDA,5,20210308,144000,27.15,28.1,27.15,28.1,1125,0
CDA,5,20210308,144500,28.1,28.1,28.1,28.1,11,0
CDA,5,20210308,145000,28.1,28.1,28.1,28.1,22,0
CDA,5,20210308,145500,28.1,28.5,28.1,28.5,304,0
CDA,5,20210308,150000,28.4,28.4,28,28,168,0
CDA,5,20210308,150500,28,28,28,28,16,0
CDA,5,20210308,151000,28.38,28.4,28.38,28.4,150,0
CDA,5,20210308,152000,28.2,28.2,28.2,28.2,80,0
CDA,5,20210308,152500,28.19,28.2,28.19,28.2,43,0
CDA,5,20210308,153000,28.4,28.4,28.4,28.4,5,0
CDA,5,20210308,153500,28.4,28.4,28.4,28.4,370,0
CDA,5,20210308,154000,27.7,27.7,27.7,27.7,100,0
CDA,5,20210308,154500,27.7,27.7,27.7,27.7,54,0
CDA,5,20210308,155500,28.4,28.6,28.4,28.6,401,0
CDA,5,20210308,163000,28.4,28.4,28.4,28.4,23,0
CDA,5,20210308,163500,28.4,28.4,28.4,28.4,27,0
CDA,5,20210309,090000,30.9,31.7,30,30.5,4069,0
CDA,5,20210309,090500,31,31,31,31,136,0
CDA,5,20210309,091000,31,31.7,31,31.7,599,0
CDA,5,20210309,091500,32,32,29.9,30,956,0
CDA,5,20210309,092000,30,30.9,29.9,30,482,0
CDA,5,20210309,092500,30.9,31.5,30.9,31.5,974,0
CDA,5,20210309,093000,31.6,31.6,31.5,31.5,225,0
CDA,5,20210309,094000,30.1,30.1,30.1,30.1,70,0
CDA,5,20210309,094500,30.95,31.7,30.95,31,355,0
CDA,5,20210309,095000,31,31.6,31,31.6,64,0
CDA,5,20210309,095500,31,31,31,31,37,0
CDA,5,20210309,100000,31,31,31,31,50,0
CDA,5,20210309,100500,31,31,31,31,200,0
CDA,5,20210309,101500,31,31,31,31,62,0
CDA,5,20210309,102000,30.4,30.4,30.4,30.4,29,0
CDA,5,20210309,102500,31,31,31,31,170,0
CDA,5,20210309,103500,30.995,31,30.995,31,72,0
CDA,5,20210309,104000,31,31,31,31,30,0
CDA,5,20210309,110000,31,31,31,31,43,0
CDA,5,20210309,110500,30.41,31,30.4,31,87,0
CDA,5,20210309,111000,31,31,31,31,4,0
CDA,5,20210309,113500,30.9,30.9,30.9,30.9,2,0
CDA,5,20210309,114000,30.9,30.9,30.9,30.9,48,0
CDA,5,20210309,114500,31,31,31,31,160,0
CDA,5,20210309,115000,31,31,31,31,65,0
CDA,5,20210309,115500,31,31,31,31,8,0
CDA,5,20210309,120000,31,31,31,31,214,0
CDA,5,20210309,120500,31.1,31.1,31,31,153,0
CDA,5,20210309,121000,31,31,31,31,73,0
CDA,5,20210309,121500,31,31,31,31,20,0
CDA,5,20210309,122000,31,31,31,31,57,0
CDA,5,20210309,122500,31,31,30.9,30.9,77,0
CDA,5,20210309,125000,30.9,31,30,31,383,0
CDA,5,20210309,131500,30.98,31,30.98,31,50,0
CDA,5,20210309,132000,31,31,31,31,100,0
CDA,5,20210309,132500,30.21,30.21,30.21,30.21,50,0
CDA,5,20210309,133500,30.9,30.9,30.9,30.9,1,0
CDA,5,20210309,134500,30.9,30.9,30.9,30.9,2,0
CDA,5,20210309,142000,30.2,30.2,30,30,229,0
CDA,5,20210309,144500,30.9,30.9,30.9,30.9,96,0
CDA,5,20210309,153000,30.895,30.895,30.895,30.895,1,0
CDA,5,20210309,161500,30.88,30.88,30.88,30.88,71,0
CDA,5,20210309,162000,30.6,30.6,30.6,30.6,14,0
CDA,5,20210309,164500,30.6,30.6,30.6,30.6,23,0
CDA,5,20210309,165500,30.6,30.6,30.6,30.6,88,0
CDA,5,20210310,090000,30.79,30.79,30.79,30.79,55,0
CDA,5,20210310,090500,30.7,30.7,30.7,30.7,40,0
CDA,5,20210310,091000,30.79,30.79,30.79,30.79,134,0
CDA,5,20210310,091500,30.79,30.79,30.79,30.79,200,0
CDA,5,20210310,092000,30.7,30.79,30.7,30.79,175,0
CDA,5,20210310,092500,30.8,30.8,30.8,30.8,100,0
CDA,5,20210310,093000,30.8,30.8,30.5,30.5,74,0
CDA,5,20210310,094000,30.895,30.9,30.895,30.9,39,0
CDA,5,20210310,095500,30.9,30.9,30.35,30.35,69,0
CDA,5,20210310,101000,30.35,30.35,30.3,30.3,72,0
CDA,5,20210310,101500,30.1,30.1,30,30,247,0
CDA,5,20210310,104000,30.1,30.1,30,30,21,0
CDA,5,20210310,111500,30,30,30,30,1,0
CDA,5,20210310,112500,30.01,30.01,30,30,363,0
CDA,5,20210310,120000,30,30,30,30,83,0
CDA,5,20210310,122000,29,29,29,29,25,0
CDA,5,20210310,123000,29.99,29.99,29.99,29.99,3,0
CDA,5,20210310,125500,29,29,29,29,31,0
CDA,5,20210310,132500,29.2,29.5,29.2,29.5,200,0
CDA,5,20210310,142500,29.99,29.99,29.99,29.99,50,0
CDA,5,20210310,144000,29,29,29,29,186,0
CDA,5,20210310,151500,29,29,29,29,270,0
CDA,5,20210310,152000,28.8,29.5,28.8,29.5,184,0
CDA,5,20210310,155000,29.2,29.2,29.2,29.2,49,0
CDA,5,20210310,161000,29,29,29,29,15,0
CDA,5,20210311,090000,30,30,30,30,70,0
CDA,5,20210311,093500,29.1,29.1,29.1,29.1,50,0
CDA,5,20210311,100000,29,29,29,29,280,0
CDA,5,20210311,101000,29.1,29.1,29.1,29.1,50,0
CDA,5,20210311,104000,30,30,30,30,1,0
CDA,5,20210311,111500,29.5,29.5,29.5,29.5,50,0
CDA,5,20210311,114500,29.6,29.6,29.5,29.5,123,0
CDA,5,20210311,115500,29.5,29.5,29.5,29.5,20,0
CDA,5,20210311,120000,29.1,29.1,29.1,29.1,3,0
CDA,5,20210311,120500,29.01,29.01,29.01,29.01,30,0
CDA,5,20210311,122000,29.01,29.01,29.01,29.01,35,0
CDA,5,20210311,122500,29.01,29.01,29.01,29.01,75,0
CDA,5,20210311,124500,29,29,29,29,20,0
CDA,5,20210311,125500,29,29,29,29,45,0
CDA,5,20210311,130500,29,29,29,29,403,0
CDA,5,20210311,143500,29,29,29,29,5,0
CDA,5,20210311,161500,29,29.1,29,29.1,50,0
CDA,5,20210311,163000,29.1,29.1,29.1,29.1,6,0
CDA,5,20210311,163500,29.1,29.5,29.1,29.5,175,0
CDA,5,20210311,164000,29.995,30,29.995,30,75,0
CDA,5,20210312,090000,30,30,30,30,48,0
CDA,5,20210312,091500,30,30,30,30,70,0
CDA,5,20210312,092500,29.97,29.97,29.97,29.97,20,0
CDA,5,20210312,094500,29.97,30,29.97,30,200,0
CDA,5,20210312,102000,29.9,29.9,29.9,29.9,9,0
CDA,5,20210312,114000,29.9,30,29.9,30,40,0
CDA,5,20210312,121000,30,30,30,30,30,0
CDA,5,20210312,133000,29.9,29.9,29.9,29.9,17,0
CDA,5,20210312,143500,29.9,30,29.15,29.15,2420,0
CDA,5,20210315,090000,29.5,29.5,29.5,29.5,4,0
CDA,5,20210315,102000,30,30,30,30,254,0
CDA,5,20210315,102500,30,30,30,30,247,0
CDA,5,20210315,114000,29.9,29.9,29.9,29.9,18,0
CDA,5,20210315,114500,30.1,30.1,30.1,30.1,50,0
CDA,5,20210315,131000,29.9,29.9,29.9,29.9,81,0
CDA,5,20210315,133000,29.8,29.8,29.8,29.8,34,0
CDA,5,20210315,134000,29.65,29.65,29.6,29.6,160,0
CDA,5,20210315,141500,29.5,29.5,29.5,29.5,109,0
CDA,5,20210315,142000,29.2,29.4,29.15,29.15,247,0
CDA,5,20210315,143500,29.2,29.2,29.2,29.2,66,0
CDA,5,20210315,144000,29.2,29.2,29.2,29.2,3,0
CDA,5,20210315,152000,29.5,29.5,29.5,29.5,51,0
CDA,5,20210316,093500,29.9,29.9,29.9,29.9,50,0
CDA,5,20210316,104000,29.9,29.9,29.9,29.9,40,0
CDA,5,20210316,104500,30,30,29.9,29.9,170,0
