<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CDT,5,20210204,090000,3.82,3.82,3.82,3.82,285,0
CDT,5,20210204,090500,3.82,3.82,3.82,3.82,1,0
CDT,5,20210204,092500,3.9,3.9,3.9,3.9,100,0
CDT,5,20210204,093000,3.9,3.9,3.9,3.9,180,0
CDT,5,20210204,102000,3.9,3.9,3.9,3.9,20,0
CDT,5,20210204,103000,3.9,3.9,3.9,3.9,6,0
CDT,5,20210204,110000,3.94,3.94,3.94,3.94,400,0
CDT,5,20210204,112500,3.94,3.94,3.94,3.94,198,0
CDT,5,20210204,115000,3.9,4.02,3.9,4.02,1871,0
CDT,5,20210204,115500,4.02,4.02,4.02,4.02,198,0
CDT,5,20210204,120000,4.06,4.06,4.06,4.06,600,0
CDT,5,20210204,122500,4.08,4.08,4.08,4.08,250,0
CDT,5,20210204,123000,4.14,4.16,4.14,4.16,992,0
CDT,5,20210204,124000,4.06,4.06,4.06,4.06,1251,0
CDT,5,20210204,130500,4,4,4,4,100,0
CDT,5,20210204,133000,4.02,4.02,4.02,4.02,508,0
CDT,5,20210204,134000,4,4,4,4,250,0
CDT,5,20210204,140500,4,4,4,4,250,0
CDT,5,20210204,152500,4.02,4.02,4.02,4.02,500,0
CDT,5,20210204,153000,4.02,4.02,4.02,4.02,209,0
CDT,5,20210204,154000,4,4,3.9,3.9,4635,0
CDT,5,20210204,162500,3.92,3.92,3.9,3.9,3704,0
CDT,5,20210204,164500,4,4,4,4,20,0
CDT,5,20210205,100000,4,4,4,4,200,0
CDT,5,20210205,113500,3.9,3.9,3.74,3.74,1511,0
CDT,5,20210205,120000,4,4,4,4,80,0
CDT,5,20210205,125500,4,4,4,4,570,0
CDT,5,20210205,141500,3.8,3.8,3.8,3.8,250,0
CDT,5,20210205,150500,4,4,4,4,231,0
CDT,5,20210205,152000,3.8,3.8,3.8,3.8,250,0
CDT,5,20210205,155500,4.02,4.02,4.02,4.02,500,0
CDT,5,20210205,164500,4.1,4.1,4.1,4.1,100,0
CDT,5,20210208,090500,3.84,3.84,3.84,3.84,250,0
CDT,5,20210208,100000,3.9,3.9,3.9,3.9,77,0
CDT,5,20210208,104500,4,4,4,4,1100,0
CDT,5,20210208,110000,4,4,4,4,100,0
CDT,5,20210208,110500,4.1,4.12,4.1,4.12,100,0
CDT,5,20210208,111000,4.24,4.26,4.24,4.26,615,0
CDT,5,20210208,111500,4.02,4.02,3.9,3.9,2000,0
CDT,5,20210208,112500,3.9,3.9,3.9,3.9,32,0
CDT,5,20210208,113500,4.04,4.04,4.04,4.04,1000,0
CDT,5,20210208,141500,4.1,4.1,4.1,4.1,1,0
CDT,5,20210208,152000,4.1,4.1,4.1,4.1,245,0
CDT,5,20210208,162000,4,4,4,4,710,0
CDT,5,20210208,162500,4.22,4.22,4.22,4.22,1,0
CDT,5,20210208,164000,4.2,4.2,4.2,4.2,2748,0
CDT,5,20210208,164500,4.2,4.2,4.2,4.2,690,0
CDT,5,20210209,090000,4.1,4.1,4.1,4.1,50,0
CDT,5,20210209,101500,4,4,4,4,1000,0
CDT,5,20210209,120500,4.1,4.1,4.1,4.1,1303,0
CDT,5,20210209,155000,4.02,4.02,4.02,4.02,162,0
CDT,5,20210209,155500,4,4,3.9,3.9,1396,0
CDT,5,20210209,160000,3.88,3.88,3.86,3.86,3172,0
CDT,5,20210209,160500,3.9,3.9,3.9,3.9,55,0
CDT,5,20210209,162500,3.9,3.9,3.88,3.88,1800,0
CDT,5,20210209,163000,3.88,3.88,3.88,3.88,500,0
CDT,5,20210209,164500,4.04,4.04,4.04,4.04,50,0
CDT,5,20210210,092500,4.1,4.1,4.1,4.1,100,0
CDT,5,20210210,104000,4.04,4.04,4.04,4.04,1000,0
CDT,5,20210210,131500,4,4,4,4,100,0
CDT,5,20210210,143000,4,4,4,4,1550,0
CDT,5,20210210,152500,4,4.04,4,4.04,1000,0
