<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CFG,5,20210204,090000,39,39,38.5,38.5,111,0
CFG,5,20210204,090500,39,39.6,39,39.6,132,0
CFG,5,20210204,105000,39.5,39.6,39.5,39.6,50,0
CFG,5,20210204,113000,39.6,40,39.6,40,300,0
CFG,5,20210204,114500,40,40,40,40,100,0
CFG,5,20210204,115500,40,40,40,40,50,0
CFG,5,20210204,120000,40,40,40,40,20,0
CFG,5,20210204,135500,39.9,39.9,39.9,39.9,50,0
CFG,5,20210204,143500,39.9,39.9,39.9,39.9,50,0
CFG,5,20210204,150000,39.9,39.9,39.9,39.9,15,0
CFG,5,20210204,161500,39.9,39.9,39.9,39.9,61,0
CFG,5,20210204,164000,39.3,39.3,39.3,39.3,103,0
CFG,5,20210204,164500,39.3,39.9,39.3,39.9,153,0
CFG,5,20210205,090000,40,40,40,40,1,0
CFG,5,20210205,091500,39.8,39.9,39.8,39.9,146,0
CFG,5,20210205,093000,39.1,39.1,39.1,39.1,4,0
CFG,5,20210205,093500,39.1,39.1,39.1,39.1,25,0
CFG,5,20210205,094500,39.1,39.1,39.1,39.1,20,0
CFG,5,20210205,100500,39.1,39.1,39.1,39.1,50,0
CFG,5,20210205,103000,39.5,39.5,39.5,39.5,112,0
CFG,5,20210205,111000,39.5,39.7,39.2,39.7,256,0
CFG,5,20210205,111500,39.7,39.7,39.7,39.7,20,0
CFG,5,20210205,112000,39.5,39.7,39.5,39.7,80,0
CFG,5,20210205,131000,39.8,39.9,39.8,39.9,45,0
CFG,5,20210205,144000,39.8,39.9,39.8,39.9,312,0
CFG,5,20210205,152500,39.8,39.8,39.8,39.8,90,0
CFG,5,20210205,160000,39.8,39.8,39.8,39.8,59,0
CFG,5,20210205,161500,39.9,39.9,39.9,39.9,125,0
CFG,5,20210205,163500,39.9,39.9,39.9,39.9,90,0
CFG,5,20210205,164500,39.9,40,39.9,40,330,0
CFG,5,20210208,090000,39.9,39.9,39.9,39.9,1,0
CFG,5,20210208,092000,39.9,39.9,39.9,39.9,49,0
CFG,5,20210208,100000,39.5,39.5,39.5,39.5,168,0
CFG,5,20210208,104500,39.1,39.1,39.1,39.1,60,0
CFG,5,20210208,105500,40,40,40,40,161,0
CFG,5,20210208,110500,39.5,39.5,39.5,39.5,45,0
CFG,5,20210208,111500,39.5,39.5,39.5,39.5,80,0
CFG,5,20210208,114500,39.5,39.5,39.5,39.5,31,0
CFG,5,20210208,115000,39.5,39.5,39.5,39.5,44,0
CFG,5,20210208,115500,39.5,39.5,39.5,39.5,25,0
CFG,5,20210208,125500,39.5,39.5,39.5,39.5,125,0
CFG,5,20210208,140000,39.5,39.5,39.5,39.5,25,0
CFG,5,20210208,141000,39.5,39.5,39.5,39.5,50,0
CFG,5,20210208,142500,39.9,40,39.9,40,322,0
CFG,5,20210208,145500,39.6,39.6,39.6,39.6,207,0
CFG,5,20210208,161000,39.6,39.6,39.6,39.6,17,0
CFG,5,20210208,162500,39.6,39.6,39.6,39.6,176,0
CFG,5,20210208,164500,40,40,40,40,3,0
CFG,5,20210209,090000,40,40,39.1,39.1,92,0
CFG,5,20210209,093500,39.3,39.3,39.2,39.2,80,0
CFG,5,20210209,094000,39.2,39.2,39.1,39.1,10,0
CFG,5,20210209,094500,39.1,39.1,39,39,50,0
CFG,5,20210209,095500,39.1,39.1,39,39,24,0
CFG,5,20210209,100000,39,39,39,39,18,0
CFG,5,20210209,100500,39,39,39,39,50,0
CFG,5,20210209,111000,39.9,39.9,39.9,39.9,30,0
CFG,5,20210209,124000,39.9,40,39.9,40,99,0
CFG,5,20210209,124500,39.5,39.5,39.5,39.5,3,0
CFG,5,20210209,134500,39.9,40,39.9,40,580,0
CFG,5,20210209,141000,39.9,39.9,39.9,39.9,27,0
CFG,5,20210209,143500,39.9,39.9,39.9,39.9,4,0
CFG,5,20210209,151000,39.9,39.9,39.9,39.9,18,0
CFG,5,20210209,151500,39.3,39.3,39.3,39.3,33,0
CFG,5,20210209,153000,39.9,39.9,39.9,39.9,20,0
CFG,5,20210209,161000,39.9,39.9,39.9,39.9,44,0
CFG,5,20210209,162500,39.3,39.3,39.3,39.3,59,0
CFG,5,20210209,164500,39.9,40,39.9,40,529,0
CFG,5,20210210,090000,40,40,40,40,350,0
CFG,5,20210210,090500,39.9,39.9,39.1,39.2,620,0
CFG,5,20210210,100000,39.2,39.2,39.2,39.2,25,0
CFG,5,20210210,102500,39.3,39.3,39.3,39.3,15,0
CFG,5,20210210,103500,39.3,39.3,39.3,39.3,355,0
CFG,5,20210210,104000,39.3,39.3,39.3,39.3,59,0
CFG,5,20210210,110000,39.4,40,39.4,40,40,0
CFG,5,20210210,111500,39.5,39.5,39.5,39.5,40,0
CFG,5,20210210,114000,39.5,39.5,39.5,39.5,460,0
CFG,5,20210210,124000,39.9,39.9,39.9,39.9,88,0
CFG,5,20210210,125000,39.5,39.5,39.5,39.5,33,0
CFG,5,20210210,154000,39.5,39.5,39.5,39.5,100,0
CFG,5,20210210,164500,39.5,39.5,39.5,39.5,20,0
CFG,5,20210211,090000,40,40,40,40,1,0
CFG,5,20210211,102500,39.2,39.2,39.2,39.2,51,0
CFG,5,20210211,103000,39.2,39.2,39.2,39.2,30,0
CFG,5,20210211,103500,39.2,39.2,39,39,159,0
CFG,5,20210211,105000,39,39,39,39,14,0
CFG,5,20210211,111000,39.2,39.2,39.2,39.2,80,0
CFG,5,20210211,114500,39.6,39.7,39.6,39.7,70,0
CFG,5,20210211,121000,39.5,39.5,39.5,39.5,10,0
CFG,5,20210211,122000,39.5,39.5,39.5,39.5,50,0
CFG,5,20210211,122500,39.5,39.5,39.5,39.5,2,0
CFG,5,20210211,123500,39.6,39.6,39.6,39.6,60,0
CFG,5,20210211,124000,39.5,39.5,39.5,39.5,18,0
CFG,5,20210211,130500,39,39,39,39,92,0
CFG,5,20210211,142000,39,39,39,39,385,0
CFG,5,20210211,160500,39.1,39.1,39,39,100,0
CFG,5,20210211,163000,39.3,39.3,39.3,39.3,197,0
CFG,5,20210211,164500,39.5,39.5,39.5,39.5,3,0
CFG,5,20210212,090000,39.7,39.7,39.7,39.7,1,0
CFG,5,20210212,090500,39.5,39.5,39.5,39.5,25,0
CFG,5,20210212,092000,39.5,39.5,39,39,229,0
CFG,5,20210212,092500,39,39,39,39,57,0
CFG,5,20210212,101500,39.5,39.5,39.5,39.5,25,0
CFG,5,20210212,114500,39.5,39.5,39.5,39.5,10,0
CFG,5,20210212,122000,39.4,39.5,39.4,39.5,42,0
CFG,5,20210212,123000,39,39,39,39,33,0
CFG,5,20210212,134500,39,39,39,39,30,0
CFG,5,20210212,160500,38.9,38.9,38.9,38.9,40,0
CFG,5,20210212,161000,39,39,39,39,250,0
CFG,5,20210215,090000,39,39.2,38.5,39,1266,0
CFG,5,20210215,091000,39.6,39.6,39.6,39.6,44,0
CFG,5,20210215,092000,39.7,39.8,39.7,39.8,40,0
CFG,5,20210215,092500,39.8,40,39.8,40,1367,0
CFG,5,20210215,093000,39.9,40,39.9,40,503,0
CFG,5,20210215,094000,39.9,39.9,39.3,39.3,55,0
CFG,5,20210215,101000,39.5,40,39.5,40,223,0
CFG,5,20210215,101500,40,40,39.5,39.5,220,0
CFG,5,20210215,102000,40,40,40,40,5,0
CFG,5,20210215,102500,40,40,40,40,23,0
CFG,5,20210215,103000,40,40,40,40,1225,0
CFG,5,20210215,104000,40,40,40,40,225,0
CFG,5,20210215,105000,40,40,40,40,175,0
CFG,5,20210215,110000,40,40,40,40,75,0
CFG,5,20210215,113000,40,40.5,40,40.5,113,0
CFG,5,20210215,121000,40.4,40.4,40.4,40.4,46,0
CFG,5,20210215,122500,40.4,40.4,40.4,40.4,25,0
CFG,5,20210215,124000,40.2,40.2,40.2,40.2,34,0
CFG,5,20210215,125000,40,40,40,40,13,0
CFG,5,20210215,125500,40,40,40,40,57,0
CFG,5,20210215,135000,40,40,40,40,1,0
CFG,5,20210215,140000,40,40,40,40,362,0
CFG,5,20210215,141500,39.8,39.8,39.5,39.5,200,0
CFG,5,20210215,143500,40.2,40.2,40.2,40.2,22,0
CFG,5,20210215,151000,40.2,40.4,40.2,40.4,200,0
CFG,5,20210215,153500,40.4,40.6,40.2,40.2,874,0
CFG,5,20210215,154500,40.2,40.2,40.2,40.2,26,0
CFG,5,20210215,155000,40.4,40.4,40.4,40.4,100,0
CFG,5,20210215,160000,40.4,40.4,40.4,40.4,4,0
CFG,5,20210215,161000,40.3,40.3,39.5,39.5,804,0
CFG,5,20210215,162000,40.4,40.4,40.4,40.4,47,0
CFG,5,20210215,164000,40.5,40.5,40.5,40.5,30,0
CFG,5,20210215,164500,40.4,40.5,40.4,40.5,156,0
CFG,5,20210216,090000,41,41,41,41,251,0
CFG,5,20210216,090500,41.4,41.4,41.4,41.4,75,0
CFG,5,20210216,091000,41.4,41.4,41.4,41.4,100,0
CFG,5,20210216,091500,41,41,41,41,220,0
CFG,5,20210216,093500,41,41,41,41,55,0
CFG,5,20210216,094500,40.6,40.6,40.6,40.6,5,0
CFG,5,20210216,095000,41,41.4,41,41.4,123,0
CFG,5,20210216,100000,41.4,41.4,41,41,744,0
CFG,5,20210216,101000,41.4,41.4,41.4,41.4,65,0
CFG,5,20210216,101500,41.4,41.5,41.4,41.5,96,0
CFG,5,20210216,103500,41.4,41.4,41.3,41.3,30,0
CFG,5,20210216,105000,41.3,41.3,41.3,41.3,40,0
CFG,5,20210216,110500,41.3,41.3,41.3,41.3,1,0
CFG,5,20210216,113500,41.1,41.1,41.1,41.1,10,0
CFG,5,20210216,125500,41.3,41.3,41.3,41.3,249,0
CFG,5,20210216,130500,41.3,41.3,41.3,41.3,35,0
CFG,5,20210216,131500,41.3,41.3,41.3,41.3,511,0
CFG,5,20210216,132500,41.4,41.5,41.4,41.5,114,0
CFG,5,20210216,134500,41.2,41.2,41.2,41.2,77,0
CFG,5,20210216,135000,41.2,41.2,41.2,41.2,150,0
CFG,5,20210216,140000,41.2,41.2,41.2,41.2,6,0
CFG,5,20210216,144000,41,41,41,41,93,0
CFG,5,20210216,151500,41,41,41,41,51,0
CFG,5,20210216,153500,41.2,41.2,41.2,41.2,48,0
CFG,5,20210217,090000,41.5,41.5,41.2,41.2,187,0
CFG,5,20210217,090500,41,41,39.5,39.5,790,0
CFG,5,20210217,091000,39.5,39.5,39.5,39.5,70,0
CFG,5,20210217,091500,39.5,39.5,39.5,39.5,379,0
CFG,5,20210217,093000,39.5,39.5,39.5,39.5,450,0
CFG,5,20210217,093500,39.5,39.5,39.5,39.5,67,0
CFG,5,20210217,094500,39.5,39.5,39.5,39.5,102,0
CFG,5,20210217,095000,39.5,39.5,39.5,39.5,631,0
CFG,5,20210217,095500,39.5,39.5,39.5,39.5,250,0
CFG,5,20210217,102500,39.5,39.5,39.5,39.5,70,0
CFG,5,20210217,103500,39.5,39.5,39.5,39.5,82,0
CFG,5,20210217,104000,39.5,39.5,39.5,39.5,69,0
CFG,5,20210217,105000,39.5,39.5,39.5,39.5,280,0
CFG,5,20210217,111500,39.5,39.5,39.5,39.5,156,0
CFG,5,20210217,121500,39.5,39.5,39.3,39.3,83,0
CFG,5,20210217,122000,39.4,39.4,39.4,39.4,20,0
CFG,5,20210217,123000,39.5,39.5,39.5,39.5,917,0
CFG,5,20210217,124000,39.5,39.5,39.5,39.5,173,0
CFG,5,20210217,124500,39.4,39.4,39.1,39.1,75,0
CFG,5,20210217,130500,39.2,39.2,39.2,39.2,30,0
CFG,5,20210217,131500,39.5,39.5,39.5,39.5,50,0
CFG,5,20210217,135000,39.5,39.5,39.5,39.5,36,0
CFG,5,20210217,140500,39.2,39.2,39.2,39.2,30,0
CFG,5,20210217,143500,39.5,39.5,39.5,39.5,652,0
CFG,5,20210217,144000,39.5,39.5,39.5,39.5,1805,0
CFG,5,20210217,152000,39.3,39.3,39.3,39.3,3,0
CFG,5,20210217,153000,39.3,39.5,39.3,39.5,500,0
CFG,5,20210217,161000,39.3,39.3,39.2,39.2,250,0
CFG,5,20210217,164000,39.2,39.2,39.1,39.1,586,0
CFG,5,20210217,164500,39.5,39.5,39.5,39.5,3,0
CFG,5,20210218,090000,39.5,39.5,39.5,39.5,1,0
CFG,5,20210218,090500,39.4,39.5,39.4,39.5,251,0
CFG,5,20210218,093000,39.5,39.5,39.5,39.5,50,0
CFG,5,20210218,113000,39.1,39.1,39,39,415,0
CFG,5,20210218,115500,39,39,39,39,227,0
CFG,5,20210218,120000,39.1,39.1,39.1,39.1,85,0
CFG,5,20210218,130500,39.5,39.5,39.5,39.5,100,0
CFG,5,20210218,133000,39.5,39.5,39.5,39.5,19,0
CFG,5,20210218,133500,39.2,39.2,35.4,37.5,6886,0
CFG,5,20210218,134000,37.5,38.3,37.5,38.2,333,0
CFG,5,20210218,134500,38.3,38.3,38.3,38.3,27,0
