<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CHP,5,20210204,090000,45,45,45,45,2,0
CHP,5,20210204,135000,44.9,44.9,44.9,44.9,11,0
CHP,5,20210204,153000,44.8,44.8,44.8,44.8,11,0
CHP,5,20210205,090000,45,45,45,45,2,0
CHP,5,20210205,101000,44.8,44.8,44.8,44.8,59,0
CHP,5,20210205,121000,44.9,44.9,44.9,44.9,22,0
CHP,5,20210205,124000,44.9,44.9,44.9,44.9,61,0
CHP,5,20210205,131000,44.9,45,44.9,45,194,0
CHP,5,20210205,133000,45.5,45.5,45.5,45.5,89,0
CHP,5,20210205,134500,46,46,45.5,45.5,68,0
CHP,5,20210205,141000,45.5,45.5,45.5,45.5,2,0
CHP,5,20210205,141500,46,46,46,46,3,0
CHP,5,20210205,144000,46,46,46,46,27,0
CHP,5,20210205,163000,47,47,47,47,185,0
CHP,5,20210205,163500,48,48,48,48,30,0
CHP,5,20210205,164500,48.5,48.5,48.5,48.5,25,0
CHP,5,20210208,090000,48.5,48.5,48.5,48.5,5,0
CHP,5,20210209,090000,48.5,48.5,48.5,48.5,60,0
CHP,5,20210209,152500,47.9,47.9,47.9,47.9,30,0
CHP,5,20210209,153500,48,48,48,48,110,0
CHP,5,20210209,164500,47,47,47,47,20,0
CHP,5,20210210,090000,48.4,48.4,48.4,48.4,5,0
CHP,5,20210210,095500,48.4,48.4,48.4,48.4,29,0
CHP,5,20210210,115000,47.5,47.5,47.5,47.5,50,0
CHP,5,20210210,132500,48.4,48.4,48.4,48.4,10,0
CHP,5,20210210,135000,48.1,48.1,48.1,48.1,77,0
CHP,5,20210210,142000,47.5,47.5,47.5,47.5,19,0
CHP,5,20210210,143000,47,47,47,47,50,0
CHP,5,20210210,144500,48,48,48,48,50,0
CHP,5,20210210,164000,48.1,48.1,48.1,48.1,23,0
CHP,5,20210210,164500,46.9,46.9,46,46,105,0
CHP,5,20210211,090000,48.4,48.4,48.4,48.4,2,0
CHP,5,20210211,093500,46,46,46,46,50,0
CHP,5,20210212,090000,48,48,48,48,5,0
CHP,5,20210212,105500,47.9,47.9,47.9,47.9,10,0
CHP,5,20210212,111500,47.9,48,47.9,48,250,0
CHP,5,20210212,112000,47.9,47.9,47.9,47.9,105,0
CHP,5,20210212,114500,47.9,47.9,47.9,47.9,105,0
CHP,5,20210212,115000,48,48,48,48,44,0
CHP,5,20210212,143500,47.7,47.7,47.7,47.7,25,0
CHP,5,20210212,144000,47.7,47.7,47.7,47.7,85,0
CHP,5,20210212,152000,47,47,47,47,55,0
CHP,5,20210212,153500,46.6,46.6,46.6,46.6,11,0
CHP,5,20210212,155500,47,47.6,47,47.6,2750,0
CHP,5,20210212,164500,47,47,47,47,70,0
CHP,5,20210215,090000,47,47,47,47,70,0
CHP,5,20210215,090500,46.9,46.9,46.9,46.9,24,0
CHP,5,20210215,091500,46.9,46.9,46.9,46.9,16,0
CHP,5,20210215,092000,46.9,46.9,46.9,46.9,34,0
CHP,5,20210215,100000,46.9,47,46.9,47,100,0
CHP,5,20210215,100500,47,47,47,47,150,0
CHP,5,20210215,113500,47,47,47,47,50,0
CHP,5,20210215,115500,47,47,47,47,25,0
CHP,5,20210215,120000,47,47,47,47,100,0
CHP,5,20210215,121500,47,47,47,47,25,0
CHP,5,20210215,122000,47.8,48,47.8,48,200,0
CHP,5,20210215,123000,47.5,47.5,47.5,47.5,250,0
CHP,5,20210215,125000,47.5,47.5,47.5,47.5,193,0
CHP,5,20210215,131000,47.5,47.5,47.5,47.5,7,0
CHP,5,20210215,163000,47.5,47.5,47.5,47.5,500,0
CHP,5,20210216,090000,48,48,48,48,3,0
CHP,5,20210216,104000,48,48,47.5,47.5,24,0
CHP,5,20210216,105000,47.5,48.3,47.5,48.3,153,0
CHP,5,20210216,110000,48.1,48.4,48.1,48.4,380,0
CHP,5,20210216,110500,48.3,48.8,48.3,48.8,559,0
CHP,5,20210216,111000,48.8,49.7,48.8,48.9,756,0
CHP,5,20210216,112000,48.9,48.9,48.9,48.9,20,0
CHP,5,20210216,112500,48.9,48.9,48.9,48.9,230,0
CHP,5,20210216,114000,49.6,49.6,49.6,49.6,25,0
CHP,5,20210216,114500,48.9,48.9,48.9,48.9,402,0
CHP,5,20210216,115500,49.7,51,49.7,51,192,0
CHP,5,20210216,121000,50.2,50.8,50,50.8,320,0
CHP,5,20210216,130500,50.6,50.6,50.6,50.6,10,0
CHP,5,20210216,132000,50,50,50,50,50,0
CHP,5,20210216,140500,50,50,50,50,25,0
CHP,5,20210216,153000,49.4,49.4,49.4,49.4,1499,0
CHP,5,20210216,153500,50,50,50,50,100,0
CHP,5,20210216,154500,49.4,49.4,49.4,49.4,25,0
CHP,5,20210216,155500,49.3,49.3,49.3,49.3,141,0
CHP,5,20210216,160500,49.1,49.1,49,49,191,0
CHP,5,20210217,090000,50.2,50.2,50.2,50.2,5,0
CHP,5,20210217,093000,49.1,49.1,49,49,204,0
CHP,5,20210217,103000,48.9,48.9,48.9,48.9,55,0
CHP,5,20210217,122000,48.1,48.1,48,48,201,0
CHP,5,20210217,130500,46.6,46.6,46.6,46.6,19,0
CHP,5,20210217,132000,46.7,46.7,46.7,46.7,10,0
CHP,5,20210217,164500,46.7,46.7,46.7,46.7,1,0
CHP,5,20210218,090000,48.5,48.5,48.5,48.5,5,0
CHP,5,20210218,133500,46.1,46.1,46.1,46.1,22,0
CHP,5,20210218,142500,46,46,46,46,100,0
CHP,5,20210218,143500,45.5,45.5,45.4,45.4,50,0
CHP,5,20210218,164000,46,46,46,46,8,0
CHP,5,20210219,090000,48.4,48.4,48.4,48.4,5,0
CHP,5,20210219,105500,47.7,48.2,47.7,48.2,66,0
CHP,5,20210219,110000,48.3,48.3,48.3,48.3,55,0
CHP,5,20210219,111500,48.5,48.5,48.5,48.5,25,0
CHP,5,20210219,115000,48.3,48.3,48.3,48.3,30,0
CHP,5,20210219,120500,48.3,48.3,47,47,89,0
CHP,5,20210219,150500,45,45,44.9,44.9,50,0
CHP,5,20210222,090000,44.2,44.2,42.4,42.4,132,0
CHP,5,20210222,095000,44,44,44,44,29,0
CHP,5,20210222,105500,43,43,43,43,100,0
CHP,5,20210222,121500,42.6,42.6,42.5,42.5,32,0
CHP,5,20210222,162500,43.1,43.1,43,43,50,0
CHP,5,20210223,090000,43.7,43.7,43.7,43.7,5,0
