<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CLC,5,20210204,090000,44,44.35,44,44.2,251,0
CLC,5,20210204,090500,44.2,44.2,44,44,734,0
CLC,5,20210204,091000,44,44.2,43.6,43.6,1792,0
CLC,5,20210204,091500,43.65,43.65,43.6,43.6,147,0
CLC,5,20210204,092000,43.55,43.55,43.55,43.55,4,0
CLC,5,20210204,092500,43.55,43.6,43.55,43.6,106,0
CLC,5,20210204,093000,43.9,43.9,43.6,43.6,181,0
CLC,5,20210204,095500,43.9,43.9,43.7,43.7,122,0
CLC,5,20210204,100000,43.8,43.9,43.8,43.9,60,0
CLC,5,20210204,101000,43.9,43.9,43.9,43.9,14,0
CLC,5,20210204,101500,43.9,43.9,43.9,43.9,100,0
CLC,5,20210204,102000,43.9,43.95,43.9,43.95,37,0
CLC,5,20210204,103500,43.95,43.95,43.95,43.95,33,0
CLC,5,20210204,104000,43.9,43.9,43.9,43.9,59,0
CLC,5,20210204,104500,43.95,43.95,43.95,43.95,25,0
CLC,5,20210204,105000,43.9,43.9,43.9,43.9,795,0
CLC,5,20210204,105500,43.95,43.95,43.95,43.95,12,0
CLC,5,20210204,110000,43.85,43.85,43.85,43.85,31,0
CLC,5,20210204,110500,43.9,43.9,43.9,43.9,3,0
CLC,5,20210204,111000,43.85,43.85,43.8,43.8,12,0
CLC,5,20210204,112000,43.8,43.8,43.8,43.8,50,0
CLC,5,20210204,112500,43.8,43.85,43.8,43.85,52,0
CLC,5,20210204,113000,43.85,43.85,43.85,43.85,1,0
CLC,5,20210204,114500,43.8,43.8,43.7,43.7,31,0
CLC,5,20210204,115500,43.9,43.9,43.9,43.9,5,0
CLC,5,20210204,121500,43.95,43.95,43.95,43.95,58,0
CLC,5,20210204,122000,43.75,43.95,43.75,43.95,55,0
CLC,5,20210204,122500,43.9,43.95,43.9,43.95,29,0
CLC,5,20210204,123000,43.95,43.95,43.95,43.95,49,0
CLC,5,20210204,124500,43.95,43.95,43.9,43.9,137,0
CLC,5,20210204,130000,43.9,43.9,43.9,43.9,62,0
CLC,5,20210204,130500,43.9,43.9,43.9,43.9,147,0
CLC,5,20210204,132500,43.9,43.9,43.9,43.9,9,0
CLC,5,20210204,133500,43.9,43.9,43.9,43.9,140,0
CLC,5,20210204,134500,43.9,43.9,43.9,43.9,2,0
CLC,5,20210204,135000,43.95,43.95,43.95,43.95,339,0
CLC,5,20210204,140500,43.9,43.9,43.9,43.9,102,0
CLC,5,20210204,141000,43.9,43.9,43.9,43.9,120,0
CLC,5,20210204,143000,43.9,43.9,43.9,43.9,12,0
CLC,5,20210204,144000,43.9,43.9,43.9,43.9,50,0
CLC,5,20210204,145000,43.9,43.9,43.9,43.9,5,0
CLC,5,20210204,145500,43.85,43.85,43.85,43.85,12,0
CLC,5,20210204,150000,43.85,43.85,43.85,43.85,100,0
CLC,5,20210204,150500,43.9,43.9,43.8,43.8,145,0
CLC,5,20210204,151000,43.9,43.95,43.9,43.95,100,0
CLC,5,20210204,152000,43.8,43.8,43.8,43.8,1,0
CLC,5,20210204,152500,43.95,43.95,43.95,43.95,12,0
CLC,5,20210204,153000,43.9,44,43.9,44,186,0
CLC,5,20210204,154500,43.65,43.65,43.65,43.65,60,0
CLC,5,20210204,162000,43.8,43.8,43.8,43.8,10,0
CLC,5,20210204,163500,43.75,43.75,43.75,43.75,20,0
CLC,5,20210204,164500,43.8,43.95,43.8,43.8,64,0
CLC,5,20210205,090000,44.2,44.2,43.95,43.95,84,0
CLC,5,20210205,090500,43.95,43.95,43.8,43.95,26,0
CLC,5,20210205,091000,43.95,43.95,43.95,43.95,20,0
CLC,5,20210205,091500,43.95,44.15,43.85,43.85,153,0
CLC,5,20210205,092500,43.85,43.9,43.85,43.9,75,0
CLC,5,20210205,093000,43.8,43.8,43.8,43.8,190,0
CLC,5,20210205,093500,43.75,43.75,43.7,43.7,66,0
CLC,5,20210205,094000,43.6,43.7,43.6,43.7,26,0
CLC,5,20210205,095000,43.7,43.7,43.65,43.65,219,0
CLC,5,20210205,095500,43.65,43.65,43.65,43.65,69,0
CLC,5,20210205,100500,43.65,43.65,43.65,43.65,52,0
CLC,5,20210205,101000,43.65,43.65,43.6,43.6,228,0
CLC,5,20210205,102000,43.5,43.5,43.5,43.5,24,0
CLC,5,20210205,102500,43.55,43.55,43.55,43.55,83,0
