<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CLD,5,20210204,090000,16,16,16,16,2,0
CLD,5,20210204,090500,15,15,15,15,349,0
CLD,5,20210204,113000,15.8,15.8,15.8,15.8,33,0
CLD,5,20210204,120000,15.8,16,15.8,16,1636,0
CLD,5,20210204,122500,15.7,15.7,15.5,15.5,700,0
CLD,5,20210204,163000,15.9,16,15.9,16,1191,0
CLD,5,20210205,090000,16.4,16.4,16.4,16.4,2,0
CLD,5,20210205,090500,16.4,16.4,15.8,15.8,83,0
CLD,5,20210205,132500,15.8,15.8,15.8,15.8,10,0
CLD,5,20210205,134500,15.8,15.8,15.8,15.8,200,0
CLD,5,20210205,135000,15.8,15.8,15.8,15.8,100,0
CLD,5,20210205,142000,15.8,15.8,15.8,15.8,1000,0
CLD,5,20210205,164500,16.1,16.1,16.1,16.1,1,0
CLD,5,20210208,090000,16.1,16.1,16.1,16.1,175,0
CLD,5,20210208,092000,16.1,16.1,15.1,15.1,324,0
CLD,5,20210208,143000,16,16,16,16,500,0
CLD,5,20210209,090000,16.15,16.15,16.15,16.15,160,0
CLD,5,20210209,113000,16.15,16.2,16.15,16.2,508,0
CLD,5,20210209,143000,16,16,16,16,500,0
CLD,5,20210209,164500,16.2,16.2,16.2,16.2,100,0
CLD,5,20210210,090000,16.4,16.4,16.4,16.4,2,0
CLD,5,20210210,105000,16,16,16,16,100,0
CLD,5,20210210,114500,16,16,16,16,289,0
CLD,5,20210210,122500,16.35,16.45,16.35,16.4,599,0
CLD,5,20210210,124500,16.35,16.35,16.05,16.05,350,0
CLD,5,20210210,143000,17,17,17,17,310,0
CLD,5,20210210,143500,16.8,16.8,16.8,16.8,64,0
CLD,5,20210210,144000,16.4,16.4,16.2,16.2,1188,0
CLD,5,20210210,160500,16.2,16.5,16.2,16.5,1001,0
CLD,5,20210210,162000,16.2,16.2,16.2,16.2,100,0
CLD,5,20210211,090000,16.2,17.5,16.2,17.5,1271,0
CLD,5,20210211,091500,16.8,16.8,16.8,16.8,63,0
CLD,5,20210211,094000,16.4,16.5,16.4,16.5,122,0
CLD,5,20210211,094500,17.75,17.75,17.75,17.75,10,0
CLD,5,20210211,102000,17.5,17.7,17.5,17.7,337,0
CLD,5,20210211,102500,17.7,17.75,17.7,17.75,350,0
CLD,5,20210211,103500,17.3,17.3,17.3,17.3,65,0
CLD,5,20210211,110500,16.7,16.7,16.3,16.5,646,0
CLD,5,20210211,112000,17,17,17,17,147,0
CLD,5,20210211,112500,17,17,16.7,16.7,398,0
CLD,5,20210211,114000,17,17,17,17,54,0
CLD,5,20210211,121500,17,17,17,17,100,0
CLD,5,20210211,124000,16.7,16.7,16.7,16.7,501,0
CLD,5,20210211,125500,17,17,17,17,100,0
CLD,5,20210211,130500,17,17,17,17,75,0
CLD,5,20210211,131500,17,17,17,17,125,0
CLD,5,20210211,132500,17.4,17.4,17.4,17.4,600,0
CLD,5,20210211,133000,17.4,17.4,17.4,17.4,250,0
CLD,5,20210211,135500,16.7,17,16.7,16.7,1100,0
CLD,5,20210211,140000,16.7,16.7,16.7,16.7,500,0
CLD,5,20210211,140500,17,17.2,17,17.2,750,0
CLD,5,20210211,142000,16.7,16.7,16.7,16.7,30,0
CLD,5,20210211,144000,16.7,16.7,16.7,16.7,470,0
