<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CMC,5,20210204,090000,0.43,0.43,0.43,0.43,23937,0
CMC,5,20210204,090500,0.438,0.438,0.438,0.438,5000,0
CMC,5,20210204,091500,0.438,0.438,0.438,0.438,2000,0
CMC,5,20210204,092500,0.438,0.44,0.438,0.44,9676,0
CMC,5,20210204,093000,0.44,0.44,0.44,0.44,324,0
CMC,5,20210204,093500,0.438,0.438,0.438,0.438,1000,0
CMC,5,20210204,094000,0.438,0.438,0.438,0.438,500,0
CMC,5,20210204,095000,0.42,0.42,0.42,0.42,7840,0
CMC,5,20210204,095500,0.42,0.42,0.42,0.42,5000,0
CMC,5,20210204,100000,0.42,0.42,0.42,0.42,1160,0
CMC,5,20210204,103000,0.42,0.438,0.42,0.438,1258,0
CMC,5,20210204,113000,0.438,0.438,0.438,0.438,250,0
CMC,5,20210204,123500,0.416,0.438,0.416,0.416,4550,0
CMC,5,20210204,124500,0.43,0.43,0.43,0.43,500,0
CMC,5,20210204,131500,0.416,0.43,0.416,0.416,4400,0
CMC,5,20210204,132500,0.416,0.416,0.416,0.416,600,0
CMC,5,20210204,133500,0.428,0.428,0.428,0.428,500,0
CMC,5,20210204,141000,0.416,0.416,0.416,0.416,299,0
CMC,5,20210204,142500,0.416,0.426,0.41,0.426,15500,0
CMC,5,20210204,160500,0.406,0.406,0.404,0.404,2000,0
CMC,5,20210204,161000,0.418,0.418,0.418,0.418,3000,0
CMC,5,20210204,161500,0.404,0.404,0.404,0.404,500,0
CMC,5,20210204,163000,0.428,0.428,0.428,0.428,200,0
CMC,5,20210205,090000,0.438,0.438,0.438,0.438,500,0
CMC,5,20210205,091500,0.438,0.438,0.438,0.438,1200,0
CMC,5,20210205,104000,0.436,0.438,0.436,0.438,2464,0
CMC,5,20210205,104500,0.438,0.438,0.438,0.438,36,0
CMC,5,20210205,115500,0.4,0.4,0.4,0.4,2000,0
CMC,5,20210205,120500,0.42,0.42,0.42,0.42,11,0
CMC,5,20210205,132000,0.42,0.42,0.42,0.42,200,0
CMC,5,20210205,133000,0.42,0.42,0.42,0.42,220,0
CMC,5,20210205,141000,0.394,0.42,0.394,0.42,23001,0
CMC,5,20210205,145500,0.396,0.396,0.394,0.394,30000,0
CMC,5,20210205,150000,0.398,0.398,0.398,0.398,9000,0
CMC,5,20210205,151500,0.418,0.418,0.418,0.418,11,0
CMC,5,20210205,163500,0.396,0.396,0.396,0.396,2000,0
CMC,5,20210205,164500,0.396,0.418,0.394,0.418,8401,0
CMC,5,20210208,090000,0.42,0.42,0.42,0.42,300,0
CMC,5,20210208,095000,0.394,0.418,0.392,0.418,411,0
CMC,5,20210208,124000,0.392,0.392,0.382,0.382,1200,0
CMC,5,20210208,124500,0.418,0.418,0.418,0.418,11,0
CMC,5,20210209,090000,0.412,0.412,0.412,0.412,251,0
CMC,5,20210209,100000,0.372,0.372,0.372,0.372,1500,0
CMC,5,20210209,100500,0.408,0.408,0.408,0.408,11,0
CMC,5,20210209,101000,0.372,0.372,0.37,0.37,7953,0
CMC,5,20210209,101500,0.37,0.39,0.37,0.39,2555,0
CMC,5,20210209,105500,0.39,0.39,0.39,0.39,800,0
CMC,5,20210209,122000,0.37,0.37,0.37,0.37,220,0
CMC,5,20210209,122500,0.39,0.39,0.39,0.39,111,0
CMC,5,20210209,142500,0.39,0.39,0.39,0.39,2000,0
CMC,5,20210209,163000,0.37,0.37,0.34,0.34,15136,0
